energy_ev,total_up,Au_p_up,Au_d_up,B_p_up,B_d_up,Se_s_up,Se_p_up
-6.00000000,3.00597959,0.53412543,2.13568322,0.29692160,0.00000000,0.03605712,0.49172603
-5.99399700,2.96341086,0.52217776,2.11046578,0.29239045,0.00000000,0.03539195,0.48418298
-5.98799400,2.92816611,0.51167029,2.09020704,0.28902867,0.00000000,0.03484607,0.47798349
-5.98199100,2.90133503,0.50289365,2.07571836,0.28698329,0.00000000,0.03442978,0.47319284
-5.97598799,2.88377720,0.49609065,2.06766164,0.28637525,0.00000000,0.03414968,0.46982640
-5.96998499,2.87609930,0.49144970,2.06653025,0.28729589,0.00000000,0.03400845,0.46785088
-5.96398199,2.87864147,0.48910024,2.07263577,0.28980436,0.00000000,0.03400480,0.46718757
-5.95797899,2.89147293,0.48911029,2.08610098,0.29392610,0.00000000,0.03413347,0.46771723
-5.95197599,2.91439696,0.49148618,2.10685934,0.29965231,0.00000000,0.03438553,0.46928651
-5.94597299,2.94696467,0.49617428,2.13466073,0.30694050,0.00000000,0.03474865,0.47171549
-5.93996998,2.98849678,0.50306469,2.16908318,0.31571599,0.00000000,0.03520759,0.47480600
-5.93396698,3.03811235,0.51199655,2.20954998,0.32587427,0.00000000,0.03574476,0.47835037
-5.92796398,3.09476298,0.52276471,2.25535129,0.33728419,0.00000000,0.03634081,0.48214006
-5.92196098,3.15727104,0.53512749,2.30566938,0.34979165,0.00000000,0.03697534,0.48597403
-5.91595798,3.22437025,0.54881509,2.35960633,0.36322384,0.00000000,0.03762755,0.48966628
-5.90995498,3.29474697,0.56353835,2.41621304,0.37739375,0.00000000,0.03827689,0.49305243
-5.90395198,3.36708056,0.57899752,2.47451852,0.39210472,0.00000000,0.03890374,0.49599496
-5.89794897,3.44008134,0.59489069,2.53355811,0.40715509,0.00000000,0.03948994,0.49838711
-5.89194597,3.51252486,0.61092164,2.59239985,0.42234255,0.00000000,0.04001926,0.50015517
-5.88594297,3.58328144,0.62680692,2.65016794,0.43746827,0.00000000,0.04047785,0.50125931
-5.87993997,3.65134018,0.64228192,2.70606272,0.45234060,0.00000000,0.04085446,0.50169292
-5.87393697,3.71582693,0.65710587,2.75937650,0.46677828,0.00000000,0.04114063,0.50148052
-5.86793397,3.77601607,0.67106568,2.80950518,0.48061324,0.00000000,0.04133078,0.50067460
-5.86193097,3.83133615,0.68397868,2.85595523,0.49369273,0.00000000,0.04142213,0.49935143
-5.85592796,3.88136976,0.69569419,2.89834652,0.50588104,0.00000000,0.04141461,0.49760615
