energy_ev,total_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.43495800,0.59347133,0.48903683,0.01209443,0.50136291,0.24953197,0.00000000
-5.99399700,1.33607342,0.54816134,0.45293447,0.01075853,0.47245676,0.22527033,0.00000000
-5.98799400,1.24181533,0.50460712,0.41879220,0.00951273,0.44468203,0.20237853,0.00000000
-5.98199100,1.15302017,0.46329342,0.38682788,0.00836001,0.41836033,0.18099110,0.00000000
-5.97598799,1.07034202,0.42461901,0.35719907,0.00730174,0.39375146,0.16120670,0.00000000
-5.96998499,0.99425293,0.38889423,0.33000507,0.00633778,0.37105238,0.14308907,0.00000000
-5.96398199,0.92505005,0.35634205,0.30529086,0.00546666,0.35039848,0.12666920,0.00000000
-5.95797899,0.86286852,0.32710233,0.28305265,0.00468566,0.33186722,0.11194847,0.00000000
-5.95197599,0.80769919,0.30123878,0.26324477,0.00399108,0.31548355,0.09890261,0.00000000
-5.94597299,0.75941007,0.27874802,0.24578748,0.00337840,0.30122683,0.08748623,0.00000000
-5.93996998,0.71777018,0.25957031,0.23057544,0.00284247,0.28903877,0.07763775,0.00000000
-5.93396698,0.68247486,0.24360108,0.21748637,0.00237775,0.27883199,0.06928449,0.00000000
-5.92796398,0.65317127,0.23070299,0.20638984,0.00197849,0.27049873,0.06234777,0.00000000
-5.92196098,0.62948310,0.22071776,0.19715562,0.00163893,0.26391942,0.05674788,0.00000000
-5.91595798,0.61103377,0.21347743,0.18966164,0.00135340,0.25897058,0.05240873,0.00000000
-5.90995498,0.59746717,0.20881469,0.18380125,0.00111656,0.25553198,0.04926217,0.00000000
-5.90395198,0.58846566,0.20657199,0.17948962,0.00092344,0.25349265,0.04725179,0.00000000
-5.89794897,0.58376482,0.20660926,0.17666927,0.00076955,0.25275576,0.04633630,0.00000000
-5.89194597,0.58316482,0.20881016,0.17531463,0.00065100,0.25324214,0.04649236,0.00000000
-5.88594297,0.58653830,0.21308687,0.17543551,0.00056450,0.25489253,0.04771680,0.00000000
-5.87993997,0.59383504,0.21938356,0.17707960,0.00050745,0.25766864,0.05002841,0.00000000
-5.87393697,0.60508345,0.22767854,0.18033397,0.00047788,0.26155298,0.05346903,0.00000000
-5.86793397,0.62038927,0.23798542,0.18532541,0.00047454,0.26654790,0.05810418,0.00000000
-5.86193097,0.63993187,0.25035326,0.19221986,0.00049682,0.27267377,0.06402303,0.00000000
-5.85592796,0.66395846,0.26486611,0.20122080,0.00054473,0.27996661,0.07133775,0.00000000
