energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,8.95724747,0.00128740,2.05651680,0.12458450,2.64230458,4.66749074,0.07711158,1.69615059
-5.99399700,8.81102045,0.00140844,2.00449461,0.12788976,2.63280112,4.56561524,0.07542436,1.69578396
-5.98799400,8.64724324,0.00153876,1.95030841,0.13097165,2.61796577,4.45824307,0.07335202,1.68989400
-5.98199100,8.47049836,0.00167814,1.89529714,0.13378331,2.59896714,4.34827502,0.07092375,1.67894842
-5.97598799,8.28554395,0.00182619,1.84079701,0.13628300,2.57704853,4.23861408,0.06817642,1.66349520
-5.96998499,8.09714020,0.00198221,1.78809697,0.13843430,2.55347482,4.13206685,0.06515317,1.64413665
-5.96398199,7.90987489,0.00214527,1.73839481,0.14020632,2.52947844,4.03124644,0.06190190,1.62150230
-5.95797899,7.72799564,0.00231413,1.69275597,0.14157375,2.50620694,3.93848067,0.05847363,1.59622211
-5.95197599,7.55525643,0.00248732,1.65207647,0.14251691,2.48467455,3.85572954,0.05492083,1.56890133
-5.94597299,7.39478553,0.00266310,1.61705166,0.14302184,2.46572048,3.78451566,0.05129584,1.54009846
-5.93996998,7.24898112,0.00283953,1.58815226,0.14308043,2.44997584,3.72587088,0.04764934,1.51030742
-5.93396698,7.11943977,0.00301451,1.56560873,0.14269065,2.43784129,3.68030187,0.04402910,1.47994493
-5.92796398,7.00692149,0.00318586,1.54940495,0.14185688,2.42947681,3.64777659,0.04047886,1.44934353
-5.92196098,6.91135336,0.00335136,1.53928170,0.14059032,2.42480428,3.62773276,0.03703749,1.41875075
-5.91595798,6.83187209,0.00350892,1.53474986,0.13890957,2.42352334,3.61910872,0.03373848,1.38833426
-5.90995498,6.76690383,0.00365657,1.53511327,0.13684119,2.42513997,3.62039551,0.03060962,1.35819260
-5.90395198,6.71427792,0.00379267,1.53950016,0.13442035,2.42900667,3.62970870,0.02767293,1.32837082
-5.89794897,6.67136941,0.00391596,1.54690223,0.13169150,2.43437271,3.64487701,0.02494493,1.29888020
-5.89194597,6.63526391,0.00402568,1.55621955,0.12870895,2.44044196,3.66354414,0.02243699,1.26972057
-5.88594297,6.60293699,0.00412167,1.56630963,0.12553737,2.44643568,3.68327948,0.02015587,1.24090427
-5.87993997,6.57143960,0.00420444,1.57603834,0.12225214,2.45165715,3.70169281,0.01810442,1.21248007
-5.87393697,6.53808072,0.00427526,1.58433060,0.11893947,2.45555481,3.71654794,0.01628232,1.18455580
-5.86793397,6.50059815,0.00433619,1.59021840,0.11569628,2.45778056,3.72586988,0.01468679,1.15731831
-5.86193097,6.45730929,0.00439010,1.59288415,0.11262973,2.45824008,3.72804087,0.01331338,1.13104950
-5.85592796,6.40723408,0.00444068,1.59169719,0.10985649,2.45713207,3.72188037,0.01215666,1.10613748
-5.84992496,6.35018397,0.00449236,1.58624180,0.10750147,2.45497401,3.70670550,0.01121081,1.08308190
-5.84392196,6.28681208,0.00455028,1.57633556,0.10569633,2.45261246,3.68236870,0.01047012,1.06249308
-5.83791896,6.21862164,0.00462015,1.56203699,0.10457741,2.45121653,3.64927098,0.00992942,1.04508452
-5.83191596,6.14793153,0.00470810,1.54364222,0.10428334,2.45225404,3.60834968,0.00958428,1.03165883
-5.82591296,6.07779996,0.00482058,1.52167089,0.10495220,2.45745065,3.56104139,0.00943116,1.02308748
-5.81990995,6.01190906,0.00496405,1.49684186,0.10671833,2.46873286,3.50922152,0.00946739,1.02028477
-5.81390695,5.95441514,0.00514487,1.47003998,0.10970879,2.48815685,3.45512316,0.00969103,1.02417704
-5.80790395,5.90977068,0.00536899,1.44227530,0.11403963,2.51782573,3.40123885,0.01010068,1.03566802
-5.80190095,5.88252591,0.00564176,1.41463689,0.11981192,2.55979816,3.35020965,0.01069508,1.05560166
-5.79589795,5.87711819,0.00596765,1.38824310,0.12710779,2.61599231,3.30470641,0.01147280,1.08472386
-5.78989495,5.89765861,0.00635005,1.36419075,0.13598646,2.68808903,3.26730859,0.01243175,1.12364445
-5.78389195,5.94772502,0.00679102,1.34350534,0.14648061,2.77743860,3.24038587,0.01356875,1.17280129
-5.77788894,6.03017069,0.00729115,1.32709471,0.15859295,2.88497531,3.22598776,0.01487910,1.23242772
-5.77188594,6.14695724,0.00784939,1.31570792,0.17229346,3.01114397,3.22574605,0.01635617,1.30252517
-5.76588294,6.29901936,0.00846297,1.30990128,0.18751723,3.15584232,3.24079419,0.01799101,1.38284214
-5.75987994,6.48616786,0.00912733,1.31001283,0.20416316,3.31838237,3.27170707,0.01977213,1.47286090
-5.75387694,6.70703573,0.00983617,1.31614628,0.22209363,3.49747348,3.31846371,0.02168532,1.57179286
-5.74787394,6.95907034,0.01058152,1.32816504,0.24113525,3.69122875,3.38043424,0.02371355,1.67858334
-5.74187094,7.23857302,0.01135390,1.34569638,0.26108076,3.89719564,3.45639178,0.02583710,1.79192610
-5.73586793,7.54078497,0.01214250,1.36814538,0.28169209,4.11241045,3.54454848,0.02803371,1.91028758
-5.72986493,7.86001701,0.01293550,1.39471799,0.30270467,4.33347542,3.64261415,0.03027892,2.03194054
-5.72386193,8.18981821,0.01372035,1.42445209,0.32383274,4.55665603,3.74787485,0.03254652,2.15500609
-5.71785893,8.52317721,0.01448417,1.45625500,0.34477575,4.77799507,3.85728819,0.03480910,2.27750303
-5.71185593,8.85274826,0.01521412,1.48894583,0.36522544,4.99343933,3.96759119,0.03703873,2.39740273
-5.70585293,9.17109307,0.01589778,1.52130087,0.38487364,5.19897375,4.07541623,0.03920764,2.51268768
-5.69984992,9.47092870,0.01652361,1.55209994,0.40342027,5.39075770,4.17741036,0.04128899,2.62141151
-5.69384692,9.74537146,0.01708123,1.58017193,0.42058148,5.56525769,4.27035303,0.04325769,2.72175807
-5.68784392,9.98816678,0.01756186,1.60443751,0.43609739,5.71937062,4.35126753,0.04509110,2.81209714
-5.68184092,10.19389587,0.01795850,1.62394751,0.44973938,5.85053242,4.41752180,0.04676977,2.89103457
-5.67583792,10.35815068,0.01826622,1.63791536,0.46131637,5.95680723,4.46691484,0.04827804,2.95745452
-5.66983492,10.47767030,0.01848225,1.64574257,0.47068005,6.03695306,4.49774541,0.04960458,3.01055211
-5.66383192,10.55043372,0.01860602,1.64703639,0.47772866,6.09046123,4.50886084,0.05074280,3.04985491
-5.65782891,10.57570557,0.01863919,1.64161920,0.48240935,6.11756782,4.49968447,0.05169101,3.07523240
-5.65182591,10.55403394,0.01858544,1.62952948,0.48471881,6.11923678,4.47022138,0.05245261,3.08689307
-5.64582291,10.48720133,0.01845034,1.61101489,0.48470228,6.09711570,4.42104271,0.05303593,3.08536914
-5.63981991,10.37813189,0.01824109,1.58651766,0.48245101,6.05346652,4.35325009,0.05345401,3.07148983
-5.63381691,10.23075995,0.01796616,1.55665366,0.47809821,5.99107440,4.26842246,0.05372423,3.04634439
-5.62781391,10.04986646,0.01763498,1.52218587,0.47181362,5.91313938,4.16854784,0.05386777,3.01123671
-5.62181091,9.84089131,0.01725756,1.48399378,0.46379720,5.82315551,4.05594377,0.05390896,2.96763344
-5.61580790,9.60972989,0.01684414,1.44304008,0.45427188,5.72478326,3.93316983,0.05387452,2.91710832
-5.60980490,9.36252308,0.01640480,1.40033602,0.44347596,5.62172061,3.80293632,0.05379282,2.86128488
-5.60380190,9.10544931,0.01594919,1.35690679,0.43165527,5.51757831,3.66801264,0.05369294,2.80178024
-5.59779890,8.84452713,0.01548625,1.31375827,0.41905561,5.41576437,3.53113910,0.05360387,2.74015228
-5.59179590,8.58543545,0.01502396,1.27184627,0.40591557,5.31938205,3.39494540,0.05355365,2.67785230
-5.58579290,8.33335770,0.01456923,1.23204920,0.39246007,5.23114493,3.26187821,0.05356851,2.61618492
-5.57978989,8.09285453,0.01412779,1.19514476,0.37889489,5.15331146,3.13414034,0.05367218,2.55627651
-5.57378689,7.86776812,0.01370418,1.16179147,0.36540224,5.08764055,3.01364265,0.05388515,2.49905306
-5.56778389,7.66115973,0.01330176,1.13251499,0.35213756,5.03536869,2.90196978,0.05422413,2.44522783
-5.56178089,7.47528030,0.01292278,1.10769957,0.33922756,4.99720791,2.80035979,0.05470155,2.39529866
-5.55577789,7.31157289,0.01256856,1.08758437,0.32676944,4.97336343,2.70969741,0.05532521,2.34955435
-5.54977489,7.17070424,0.01223958,1.07226451,0.31483139,4.96356873,2.63052011,0.05609809,2.30808939
-5.54377189,7.05262198,0.01193567,1.06169642,0.30345404,4.96713548,2.56303555,0.05701823,2.27082548
-5.53776888,6.95663325,0.01165621,1.05570703,0.29265291,4.98301535,2.50714908,0.05807884,2.23753881
-5.53176588,6.88150011,0.01140024,1.05400626,0.28242157,5.00987051,2.46249923,0.05926847,2.20789124
-5.52576288,6.82554690,0.01116668,1.05620225,0.27273548,5.04614958,2.42849956,0.06057144,2.18146393
-5.51975988,6.78677471,0.01095445,1.06181875,0.26355611,5.09016590,2.40438459,0.06196831,2.15779189
-5.51375688,6.76297841,0.01076256,1.07031408,0.25483534,5.14017525,2.38925820,0.06343654,2.13639792
-5.50775388,6.75186189,0.01059022,1.08110097,0.24651990,5.19445028,2.38214238,0.06495133,2.11682467
-5.50175088,6.75114779,0.01043692,1.09356685,0.23855563,5.25134936,2.38202473,0.06648645,2.09866370
-5.49574787,6.75867812,0.01030241,1.10709391,0.23089154,5.30937779,2.38790323,0.06801528,2.08158057
-5.48974487,6.77250302,0.01018676,1.12107839,0.22348343,5.36723967,2.39882669,0.06951182,2.06533529
-5.48374187,6.79095517,0.01009032,1.13494859,0.21629694,5.42387911,2.41392986,0.07095177,2.04979750
-5.47773887,6.81270804,0.01001370,1.14818110,0.20931014,5.47850970,2.43246219,0.07231360,2.03495618
-5.47173587,6.83681630,0.00995775,1.16031474,0.20251533,5.53063143,2.45380936,0.07357947,2.02092353
-5.46573287,6.86273779,0.00992349,1.17096182,0.19592019,5.58003490,2.47750724,0.07473612,2.00793321
-5.45972986,6.89033627,0.00991208,1.17981632,0.18954823,5.62679240,2.50324779,0.07577561,1.99633286
-5.45372686,6.91986527,0.00992474,1.18665883,0.18343844,5.67123656,2.53087690,0.07669575,1.98657143
-5.44772386,6.95193357,0.00996274,1.19135796,0.17764428,5.71392696,2.56038448,0.07750043,1.97918154
-5.44172086,6.98745362,0.01002731,1.19386827,0.17223198,5.75560608,2.59188710,0.07819953,1.97475760
-5.43571786,7.02757460,0.01011964,1.19422478,0.16727817,5.79714598,2.62560409,0.07880870,1.97393023
-5.42971486,7.07360276,0.01024077,1.19253432,0.16286707,5.83948795,2.66182797,0.07934871,1.97733799
-5.42371186,7.12691195,0.01039162,1.18896411,0.15908710,5.88357726,2.70089061,0.07984462,1.98559726
-5.41770885,7.18884791,0.01057290,1.18372810,0.15602729,5.93029612,2.74312641,0.08032466,1.99927137
-5.41170585,7.26063036,0.01078507,1.17707168,0.15377335,5.98039760,2.78883435,0.08081887,2.01884022
-5.40570285,7.34325706,0.01102835,1.16925557,0.15240375,6.03444373,2.83824045,0.08135769,2.04467145
-5.39969985,7.43741441,0.01130259,1.16053953,0.15198584,6.09275097,2.89146262,0.08197033,2.07699445
-5.39369685,7.54339858,0.01160733,1.15116692,0.15257215,6.15534580,2.94847946,0.08268326,2.11587837
-5.38769385,7.66105150,0.01194169,1.14135059,0.15419713,6.22193301,3.00910475,0.08351862,2.16121523
-5.38169085,7.78971481,0.01230433,1.13126107,0.15687427,6.29187875,3.07296898,0.08449293,2.21270883
-5.37568784,7.92820472,0.01269347,1.12101738,0.16059392,6.36420944,3.13950899,0.08561589,2.26987037
-5.36968484,8.07480944,0.01310682,1.11068111,0.16532175,6.43762709,3.20796659,0.08688951,2.33202113
-5.36368184,8.22730993,0.01354157,1.10025384,0.17099806,6.51054072,3.27739630,0.08830760,2.39830212
-5.35767884,8.38302365,0.01399440,1.08967806,0.17753785,6.58111255,3.34668226,0.08985551,2.46769088
-5.35167584,8.53886966,0.01446146,1.07884142,0.18483179,6.64731685,3.41456373,0.09151037,2.53902452
-5.34567284,8.69145266,0.01493841,1.06758397,0.19274800,6.70700879,3.47966813,0.09324165,2.61102844
-5.33966983,8.83716226,0.01542047,1.05570792,0.20113463,6.75799998,3.54055038,0.09501204,2.68234953
-5.33366683,8.97228343,0.01590247,1.04298943,0.20982312,6.79813696,3.59573679,0.09677869,2.75159262
-5.32766383,9.09311303,0.01637892,1.02919147,0.21863210,6.82537899,3.64377166,0.09849467,2.81735858
-5.32166083,9.19607772,0.01684412,1.01407739,0.22737174,6.83787144,3.68326460,0.10011065,2.87828284
-5.31565783,9.27784793,0.01729228,0.99742409,0.23584850,6.83401153,3.71293652,0.10157662,2.93307251
-5.30965483,9.33544335,0.01771760,0.97903437,0.24386991,6.81250357,3.73166233,0.10284372,2.98054101
-5.30365183,9.36632570,0.01811450,0.95874783,0.25124957,6.77240171,3.73850867,0.10386597,3.01963867
-5.29764882,9.36847533,0.01847765,0.93644967,0.25781182,6.71313880,3.73276520,0.10460189,3.04947859
-5.29164582,9.34044923,0.01880221,0.91207725,0.26339624,6.63454092,3.71396824,0.10501590,3.06935666
