energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.58888138,1.35727653,0.00000000,0.00958142,0.28343951,1.38141492,0.98478672,1.12555900,0.00000000
-5.99399700,2.58715936,1.32955557,0.00000000,0.00926102,0.28352436,1.38826658,1.00187626,1.10514396,0.00000000
-5.98799400,2.58627452,1.30098146,0.00000000,0.00894404,0.28309582,1.39383672,1.02034712,1.08501645,0.00000000
-5.98199100,2.58616508,1.27194269,0.00000000,0.00863059,0.28214177,1.39800874,1.03994156,1.06540303,0.00000000
-5.97598799,2.58660417,1.24277848,0.00000000,0.00832046,0.28065191,1.40062483,1.06030587,1.04645217,0.00000000
-5.96998499,2.58720897,1.21377276,0.00000000,0.00801313,0.27861830,1.40148868,1.08100006,1.02823211,0.00000000
-5.96398199,2.58745734,1.18515089,0.00000000,0.00770798,0.27603587,1.40037079,1.10151175,1.01073256,0.00000000
-5.95797899,2.58671138,1.15707919,0.00000000,0.00740431,0.27290304,1.39701617,1.12127364,0.99386989,0.00000000
-5.95197599,2.58424699,1.12966726,0.00000000,0.00710149,0.26922226,1.39115427,1.13968400,0.97749577,0.00000000
-5.94597299,2.57928826,1.10297295,0.00000000,0.00679899,0.26500065,1.38251083,1.15612937,0.96140879,0.00000000
-5.93996998,2.57104513,1.07700958,0.00000000,0.00649648,0.26025058,1.37082123,1.17000835,0.94536858,0.00000000
-5.93396698,2.55875267,1.05175498,0.00000000,0.00619385,0.25499020,1.35584457,1.18075555,0.92911167,0.00000000
-5.92796398,2.54170998,1.02716194,0.00000000,0.00589122,0.24924396,1.33737815,1.18786457,0.91236846,0.00000000
-5.92196098,2.51931707,1.00316920,0.00000000,0.00558897,0.24304300,1.31527132,1.19090883,0.89488041,0.00000000
-5.91595798,2.49110763,0.97971260,0.00000000,0.00528775,0.23642542,1.28943824,1.18955938,0.87641653,0.00000000
-5.90995498,2.45677634,0.95673565,0.00000000,0.00498841,0.22943640,1.25986875,1.18359879,0.85678859,0.00000000
-5.90395198,2.41619924,0.93419890,0.00000000,0.00469204,0.22212814,1.22663670,1.17293045,0.83586418,0.00000000
-5.89794897,2.36944626,0.91208771,0.00000000,0.00439988,0.21455958,1.18990534,1.15758296,0.81357694,0.00000000
-5.89194597,2.31678530,0.89041797,0.00000000,0.00411336,0.20679592,1.14992940,1.13770935,0.78993383,0.00000000
-5.88594297,2.25867791,0.86923964,0.00000000,0.00383398,0.19890791,1.10705356,1.11358133,0.76501873,0.00000000
-5.87993997,2.19576677,0.84863786,0.00000000,0.00356332,0.19097100,1.06170741,1.08557901,0.73899265,0.00000000
-5.87393697,2.12885589,0.82873181,0.00000000,0.00330302,0.18306421,1.01439707,1.05417652,0.71209037,0.00000000
-5.86793397,2.05888458,0.80967154,0.00000000,0.00305468,0.17526902,0.96569374,1.01992457,0.68461389,0.00000000
-5.86193097,1.98689672,0.79163287,0.00000000,0.00281990,0.16766811,0.91621963,0.98343067,0.65692303,0.00000000
-5.85592796,1.91400684,0.77481097,0.00000000,0.00260020,0.16034403,0.86663204,0.94533819,0.62942359,0.00000000
-5.84992496,1.84136468,0.75941296,0.00000000,0.00239700,0.15337807,0.81760604,0.90630523,0.60255386,0.00000000
-5.84392196,1.77012000,0.74564992,0.00000000,0.00221160,0.14684907,0.76981658,0.86698415,0.57676981,0.00000000
-5.83791896,1.70138898,0.73372877,0.00000000,0.00204516,0.14083244,0.72392066,0.82800287,0.55252986,0.00000000
-5.83191596,1.63622355,0.72384451,0.00000000,0.00189866,0.13539935,0.68054025,0.78994832,0.53027957,0.00000000
-5.82591296,1.57558466,0.71617288,0.00000000,0.00177289,0.13061606,0.64024651,0.75335285,0.51043699,0.00000000
-5.81990995,1.52032021,0.71086393,0.00000000,0.00166844,0.12654342,0.60354577,0.71868372,0.49337904,0.00000000
-5.81390695,1.47114789,0.70803643,0.00000000,0.00158569,0.12323658,0.57086764,0.68633583,0.47942931,0.00000000
-5.80790395,1.42864312,0.70777333,0.00000000,0.00152478,0.12074474,0.54255560,0.65662765,0.46884771,0.00000000
-5.80190095,1.39323183,0.71011820,0.00000000,0.00148566,0.11911097,0.51885995,0.62980001,0.46182195,0.00000000
-5.79589795,1.36518759,0.71507260,0.00000000,0.00146803,0.11837207,0.49993356,0.60601753,0.45846135,0.00000000
-5.78989495,1.34463272,0.72259434,0.00000000,0.00147141,0.11855834,0.48582997,0.58537201,0.45879276,0.00000000
-5.78389195,1.33154263,0.73259656,0.00000000,0.00149514,0.11969323,0.47650411,0.56788749,0.46275879,0.00000000
-5.77788894,1.32575271,0.74494747,0.00000000,0.00153842,0.12179290,0.47181513,0.55352637,0.47021838,0.00000000
