energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.48826128,0.00652144,0.03605210,0.05111157,0.08036599,0.01378250,0.22982007,0.01139185,0.05026384
-5.99399700,0.53675961,0.00716316,0.03962801,0.05619045,0.08837731,0.01515179,0.25267141,0.01256343,0.05523245
-5.98799400,0.58596279,0.00781159,0.04325335,0.06134657,0.09651680,0.01654089,0.27586605,0.01376997,0.06026275
-5.98199100,0.63524909,0.00845758,0.04688144,0.06651644,0.10468533,0.01793216,0.29911483,0.01500257,0.06528765
-5.97598799,0.68395696,0.00909130,0.05046250,0.07163319,0.11277785,0.01930674,0.32211084,0.01625282,0.07023522
-5.96998499,0.73140521,0.00970239,0.05394503,0.07662889,0.12068669,0.02064515,0.34453899,0.01751349,0.07503073
-5.96398199,0.77691617,0.01028027,0.05727751,0.08143727,0.12830545,0.02192789,0.36608720,0.01877940,0.07959887
-5.95797899,0.81984121,0.01081447,0.06041027,0.08599681,0.13553315,0.02313610,0.38645861,0.02004828,0.08386630
-5.95197599,0.85958756,0.01129487,0.06329735,0.09025393,0.14227866,0.02425233,0.40538447,0.02132179,0.08776430
-5.94597299,0.89564558,0.01171209,0.06589854,0.09416643,0.14846506,0.02526118,0.42263721,0.02260646,0.09123147
-5.93996998,0.92761502,0.01205776,0.06818122,0.09770685,0.15403387,0.02615002,0.43804315,0.02391472,0.09421637
-5.93396698,0.95522937,0.01232484,0.07012210,0.10086574,0.15894886,0.02690959,0.45149420,0.02526575,0.09667998
-5.92796398,0.97837691,0.01250780,0.07170877,0.10365466,0.16319920,0.02753453,0.46295806,0.02668638,0.09859786
-5.92196098,0.99711745,0.01260292,0.07294084,0.10610881,0.16680189,0.02802369,0.47248639,0.02821169,0.09996186
-5.91595798,1.01169382,0.01260834,0.07383079,0.10828914,0.16980321,0.02838043,0.48022041,0.02988559,0.10078147
-5.90995498,1.02253721,0.01252418,0.07440431,0.11028389,0.17227904,0.02861261,0.48639359,0.03176099,0.10108448
-5.90395198,1.03026608,0.01235254,0.07470025,0.11220935,0.17433406,0.02873247,0.49133125,0.03389987,0.10091708
-5.89794897,1.03567808,0.01209744,0.07477000,0.11420994,0.17609971,0.02875631,0.49544672,0.03637295,0.10034338
-5.89194597,1.03973529,0.01176468,0.07467644,0.11645739,0.17773103,0.02870397,0.49923428,0.03925908,0.09944428
-5.88594297,1.04354285,0.01136168,0.07449245,0.11914904,0.17940231,0.02859815,0.50325886,0.04264432,0.09831570
-5.87993997,1.04832180,0.01089722,0.07429893,0.12250531,0.18130182,0.02846362,0.50814280,0.04662061,0.09706637
-5.87393697,1.05537680,0.01038116,0.07418258,0.12676626,0.18362579,0.02832630,0.51455006,0.05128424,0.09581510
