energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,6.90855207,0.04472629,0.94641354,3.07229083,2.52382538,1.54085142,0.55447167,0.08115292,2.82113020
-5.99399700,6.88939951,0.04606895,0.93352143,3.06451614,2.49653054,1.55284008,0.55873063,0.08118588,2.82880843
-5.98799400,6.86428678,0.04740299,0.92010933,3.05909284,2.46516606,1.56373726,0.56292381,0.08116023,2.83453755
-5.98199100,6.83390002,0.04872430,0.90642510,3.05656922,2.43022258,1.57348606,0.56702309,0.08109383,2.83836293
-5.97598799,6.79900162,0.05002922,0.89271058,3.05737432,2.39223268,1.58206351,0.57100650,0.08100384,2.84036110
-5.96998499,6.76037962,0.05131414,0.87919225,3.06178277,2.35175303,1.58947424,0.57485561,0.08090574,2.84062278
-5.96398199,6.71879846,0.05257522,0.86607290,3.06988597,2.30934709,1.59574308,0.57855275,0.08081246,2.83923615
-5.95797899,6.67495468,0.05380812,0.85352473,3.08157186,2.26556974,1.60090738,0.58207843,0.08073371,2.83627177
-5.95197599,6.62944072,0.05500788,0.84168443,3.09651481,2.22095443,1.60500975,0.58540915,0.08067546,2.83177058
-5.94597299,6.58271955,0.05616888,0.83065034,3.11417694,2.17600366,1.60809192,0.58851574,0.08063970,2.82573599
-5.93996998,6.53511190,0.05728489,0.82048198,3.13382111,2.13118318,1.61019024,0.59136256,0.08062445,2.81813086
-5.93396698,6.48679695,0.05834929,0.81120173,3.15453536,2.08692001,1.61133321,0.59390759,0.08062406,2.80887990
-5.92796398,6.43782643,0.05935534,0.80279877,3.17526798,2.04360410,1.61154120,0.59610341,0.08062975,2.79787739
-5.92196098,6.38815091,0.06029656,0.79523472,3.19487130,2.00159311,1.61082848,0.59789920,0.08063033,2.78499981
-5.91595798,6.33765627,0.06116706,0.78845062,3.21215224,1.96121978,1.60920717,0.59924343,0.08061319,2.77012269
-5.90995498,6.28620757,0.06196202,0.78237492,3.22592684,1.92280067,1.60669289,0.60008734,0.08056534,2.75314031
-5.90395198,6.23369681,0.06267800,0.77693158,3.23507589,1.88664551,1.60331153,0.60038878,0.08047453,2.73398714
-5.89794897,6.18009095,0.06331328,0.77204801,3.23859856,1.85306593,1.59910653,0.60011630,0.08033035,2.71265911
-5.89194597,6.12547634,0.06386804,0.76766215,3.23566128,1.82238245,1.59414599,0.59925308,0.08012526,2.68923336
-5.88594297,6.07009606,0.06434449,0.76372824,3.22563890,1.79492898,1.58852896,0.59780060,0.07985544,2.66388475
-5.87993997,6.01437693,0.06474681,0.76022078,3.20814619,1.77105383,1.58239026,0.59578164,0.07952145,2.63689776
-5.87393697,5.95894373,0.06508095,0.75713671,3.18305777,1.75111685,1.57590338,0.59324233,0.07912862,2.60867261
-5.86793397,5.90461910,0.06535440,0.75449523,3.15051564,1.73548237,1.56928098,0.59025330,0.07868716,2.57972484
-5.86193097,5.85240833,0.06557572,0.75233571,3.11092378,1.72450813,1.56277284,0.58690950,0.07821197,2.55067786
-5.85592796,5.80346930,0.06575408,0.75071351,3.06493045,1.71853046,1.55666115,0.58332878,0.07772211,2.52224853
-5.84992496,5.75906897,0.06589871,0.74969425,3.01339912,1.71784641,1.55125331,0.57964928,0.07724004,2.49522612
-5.84392196,5.72052847,0.06601838,0.74934669,2.95736981,1.72269385,1.54687255,0.57602546,0.07679057,2.47044564
-5.83791896,5.68915979,0.06612085,0.74973494,2.89801283,1.73323065,1.54384672,0.57262319,0.07639966,2.44875652
-5.83191596,5.66619745,0.06621247,0.75091033,2.83657773,1.74951414,1.54249599,0.56961390,0.07609308,2.43098830
-5.82591296,5.65272923,0.06629781,0.75290364,2.77433975,1.77148241,1.54311990,0.56716812,0.07589497,2.41791496
-5.81990995,5.64962975,0.06637948,0.75571811,2.71254691,1.79893859,1.54598469,0.56544869,0.07582649,2.41021973
-5.81390695,5.65750103,0.06645806,0.75932387,2.65236995,1.83153939,1.55131145,0.56460396,0.07590456,2.40846213
-5.80790395,5.67662339,0.06653223,0.76365397,2.59485773,1.86878908,1.55926586,0.56476127,0.07614071,2.41304920
-5.80190095,5.70692000,0.06659898,0.76860259,2.54089990,1.91003955,1.56995002,0.56602120,0.07654026,2.42421224
-5.79589795,5.74793717,0.06665405,0.77402530,2.49119839,1.95449700,1.58339697,0.56845261,0.07710168,2.44199059
-5.78989495,5.79884204,0.06669239,0.77974173,2.44624869,2.00123551,1.59956809,0.57208901,0.07781639,2.46622330
-5.78389195,5.85843813,0.06670875,0.78554027,2.40633127,2.04921710,1.61835372,0.57692631,0.07866882,2.49654922
-5.77788894,5.92519830,0.06669831,0.79118476,2.37151325,2.09731786,1.63957677,0.58292214,0.07963684,2.53241584
-5.77188594,5.99731384,0.06665724,0.79642285,2.34165951,2.14435903,1.66299936,0.58999674,0.08069253,2.57309634
-5.76588294,6.07275723,0.06658331,0.80099537,2.31645238,2.18914206,1.68833192,0.59803553,0.08180325,2.61771426
-5.75987994,6.14935582,0.06647629,0.80464654,2.29541854,2.23048589,1.71524435,0.60689303,0.08293290,2.66527466
-5.75387694,6.22487253,0.06633836,0.80713422,2.27796141,2.26726504,1.74337869,0.61639820,0.08404346,2.71470018
-5.74787394,6.29708983,0.06617425,0.80823977,2.26339747,2.29844664,1.77236231,0.62636062,0.08509652,2.76487045
-5.74187094,6.36389279,0.06599131,0.80777698,2.25099441,2.32312482,1.80182124,0.63657752,0.08605494,2.81466281
-5.73586793,6.42334719,0.06579934,0.80559965,2.24000962,2.34055081,1.83139261,0.64684107,0.08688442,2.86299258
-5.72986493,6.47376896,0.06561035,0.80160735,2.22972710,2.35015745,1.86073573,0.65694561,0.08755492,2.90885078
-5.72386193,6.51378185,0.06543805,0.79574921,2.21949138,2.35157695,1.88954119,0.66669450,0.08804201,2.95133792
-5.71785893,6.54236084,0.06529740,0.78802547,2.20873728,2.34465125,1.91753761,0.67590626,0.08832780,2.98969201
-5.71185593,6.55885977,0.06520393,0.77848688,2.19701445,2.32943457,1.94449579,0.68441961,0.08840174,3.02331016
-5.70585293,6.56302236,0.06517311,0.76723197,2.18400596,2.30618821,1.97023031,0.69209745,0.08826102,3.05176254
-5.69984992,6.55497700,0.06521971,0.75440242,2.16954071,2.27536804,1.99459873,0.69882930,0.08791068,3.07479896
-5.69384692,6.53521645,0.06535721,0.74017691,2.15359945,2.23760550,2.01749860,0.70453255,0.08736342,3.09234769
-5.68784392,6.50456412,0.06559729,0.72476371,2.13631456,2.19368313,2.03886307,0.70915229,0.08663903,3.10450749
-5.68184092,6.46412973,0.06594947,0.70839258,2.11796403,2.14450604,2.05865531,0.71265998,0.08576367,3.11153345
-5.67583792,6.41525700,0.06642084,0.69130632,2.09896010,2.09107065,2.07686263,0.71505123,0.08476888,3.11381781
-5.66983492,6.35946648,0.06701598,0.67375253,2.07983331,2.03443228,2.09349076,0.71634269,0.08369040,3.11186721
-5.66383192,6.29839669,0.06773705,0.65597579,2.06121265,1.97567295,2.10855887,0.71656869,0.08256692,3.10627745
-5.65782891,6.23374619,0.06858390,0.63821080,2.04380259,1.91587076,2.12209563,0.71577752,0.08143877,3.09770735
-5.65182591,6.16721906,0.06955447,0.62067659,2.02835784,1.85607185,2.13413660,0.71402791,0.08034661,3.08685274
-5.64582291,6.10047555,0.07064508,0.60357193,2.01565650,1.79726586,2.14472296,0.71138571,0.07933015,3.07442165
-5.63981991,6.03508908,0.07185089,0.58707212,2.00647235,1.74036542,2.15390139,0.70792106,0.07842699,3.06111137
