energy_ev,total_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,2.25119626,0.71709378,1.01736665,0.05641488,1.54946285,0.04969432,0.00000000
-5.99399700,2.32164155,0.74224955,1.04723122,0.05692100,1.59898262,0.05163265,0.00000000
-5.98799400,2.38907130,0.76779474,1.07429378,0.05719183,1.64587751,0.05358165,0.00000000
-5.98199100,2.45248472,0.79328453,1.09814815,0.05722244,1.68947471,0.05552274,0.00000000
-5.97598799,2.51087200,0.81824530,1.11841666,0.05701183,1.72910698,0.05743465,0.00000000
-5.96998499,2.56323115,0.84218480,1.13475607,0.05656282,1.76412326,0.05929364,0.00000000
-5.96398199,2.60858796,0.86460394,1.14686380,0.05588173,1.79390120,0.06107386,0.00000000
-5.95797899,2.64601871,0.88500991,1.15448442,0.05497806,1.81786139,0.06274785,0.00000000
-5.95197599,2.67467511,0.90293027,1.15741631,0.05386421,1.83548286,0.06428725,0.00000000
-5.94597299,2.69381053,0.91792755,1.15551805,0.05255505,1.84631938,0.06566367,0.00000000
-5.93996998,2.70280668,0.92961393,1.14871447,0.05106755,1.85001590,0.06684959,0.00000000
-5.93396698,2.70119952,0.93766529,1.13700185,0.04942043,1.84632442,0.06781950,0.00000000
-5.92796398,2.68870318,0.94183410,1.12045215,0.04763381,1.83511849,0.06855088,0.00000000
-5.92196098,2.66523070,0.94196062,1.09921575,0.04572884,1.81640552,0.06902538,0.00000000
-5.91595798,2.63091024,0.93798177,1.07352268,0.04372743,1.79033612,0.06922972,0.00000000
-5.90995498,2.58609591,0.92993727,1.04368186,0.04165198,1.75720992,0.06915664,0.00000000
-5.90395198,2.53137212,0.91797254,1.01007837,0.03952507,1.71747707,0.06880555,0.00000000
-5.89794897,2.46755094,0.90233828,0.97316867,0.03736933,1.67173529,0.06818304,0.00000000
-5.89194597,2.39566202,0.88338644,0.93347372,0.03520714,1.62072205,0.06730310,0.00000000
-5.88594297,2.31693523,0.86156268,0.89157017,0.03306053,1.56530210,0.06618707,0.00000000
-5.87993997,2.23277609,0.83739549,0.84807981,0.03095094,1.50645038,0.06486329,0.00000000
-5.87393697,2.14473489,0.81148226,0.80365762,0.02889910,1.44523092,0.06336649,0.00000000
-5.86793397,2.05447027,0.78447281,0.75897862,0.02692482,1.38277232,0.06173690,0.00000000
-5.86193097,1.96370844,0.75705089,0.71472410,0.02504687,1.32024049,0.06001910,0.00000000
-5.85592796,1.87419962,0.72991433,0.67156749,0.02328280,1.25880980,0.05826074,0.00000000
-5.84992496,1.78767296,0.70375455,0.63016036,0.02164879,1.19963336,0.05651102,0.00000000
-5.84392196,1.70579169,0.67923622,0.59111895,0.02015948,1.14381371,0.05481923,0.00000000
-5.83791896,1.63010996,0.65697760,0.55501160,0.01882782,1.09237470,0.05323313,0.00000000
-5.83191596,1.56203288,0.63753260,0.52234738,0.01766492,1.04623574,0.05179744,0.00000000
-5.82591296,1.50278106,0.62137478,0.49356626,0.01667994,1.00618904,0.05055250,0.00000000
-5.81990995,1.45336088,0.60888421,0.46903101,0.01587993,0.97288077,0.04953296,0.00000000
-5.81390695,1.41454123,0.60033731,0.44902098,0.01526978,0.94679662,0.04876680,0.00000000
-5.80790395,1.38683758,0.59590018,0.43372790,0.01485209,0.92825216,0.04827456,0.00000000
-5.80190095,1.37050366,0.59562553,0.42325383,0.01462717,0.91738828,0.04806879,0.00000000
-5.79589795,1.36553096,0.59945327,0.41761110,0.01459299,0.91417181,0.04815391,0.00000000
-5.78989495,1.37165584,0.60721461,0.41672446,0.01474521,0.91840114,0.04852627,0.00000000
-5.78389195,1.38837398,0.61863959,0.42043517,0.01507723,0.92971659,0.04917447,0.00000000
-5.77788894,1.41496148,0.63336761,0.42850703,0.01558026,0.94761525,0.05008006,0.00000000
-5.77188594,1.45050193,0.65096059,0.44063426,0.01624348,0.97146952,0.05121831,0.00000000
-5.76588294,1.49391838,0.67091821,0.45645097,0.01705417,1.00054895,0.05255929,0.00000000
-5.75987994,1.54400911,0.69269474,0.47554203,0.01799794,1.03404445,0.05406902,0.00000000
-5.75387694,1.59948617,0.71571676,0.49745511,0.01905897,1.07109425,0.05571075,0.00000000
-5.74787394,1.65901516,0.73940122,0.52171358,0.02022023,1.11081056,0.05744624,0.00000000
-5.74187094,1.72125518,0.76317317,0.54782992,0.02146385,1.15230634,0.05923711,0.00000000
-5.73586793,1.78489758,0.78648264,0.57531916,0.02277136,1.19472103,0.06104603,0.00000000
-5.72986493,1.84870235,0.80882001,0.60371216,0.02412408,1.23724478,0.06283795,0.00000000
-5.72386193,1.91153096,0.82972960,0.63256804,0.02550339,1.27914018,0.06458110,0.00000000
-5.71785893,1.97237486,0.84882092,0.66148551,0.02689110,1.31976099,0.06624790,0.00000000
-5.71185593,2.03037867,0.86577743,0.69011262,0.02826974,1.35856735,0.06781572,0.00000000
-5.70585293,2.08485761,0.88036258,0.71815454,0.02962286,1.39513703,0.06926741,0.00000000
-5.69984992,2.13530877,0.89242316,0.74537918,0.03093528,1.42917258,0.07059175,0.00000000
-5.69384692,2.18141614,0.90188994,0.77162030,0.03219330,1.46050422,0.07178359,0.00000000
-5.68784392,2.22304951,0.90877575,0.79677809,0.03338490,1.48908863,0.07284399,0.00000000
-5.68184092,2.26025756,0.91317135,0.82081722,0.03449984,1.51500382,0.07378008,0.00000000
-5.67583792,2.29325578,0.91523929,0.84376247,0.03552976,1.53844046,0.07460489,0.00000000
-5.66983492,2.32240984,0.91520610,0.86569218,0.03646819,1.55969021,0.07533694,0.00000000
-5.66383192,2.34821527,0.91335328,0.88672988,0.03731057,1.57913145,0.07599986,0.00000000
-5.65782891,2.37127444,0.91000739,0.90703453,0.03805413,1.59721318,0.07662176,0.00000000
-5.65182591,2.39227164,0.90552964,0.92678983,0.03869785,1.61443762,0.07723467,0.00000000
-5.64582291,2.41194728,0.90030521,0.94619318,0.03924231,1.63134215,0.07787377,0.00000000
-5.63981991,2.43107202,0.89473280,0.96544478,0.03968951,1.64848107,0.07857658,0.00000000
-5.63381691,2.45042151,0.88921434,0.98473730,0.04004274,1.66640778,0.07938208,0.00000000
-5.62781391,2.47075242,0.88414527,1.00424666,0.04030640,1.68565778,0.08032978,0.00000000
-5.62181091,2.49278024,0.87990546,1.02412415,0.04048579,1.70673267,0.08145861,0.00000000
-5.61580790,2.51715909,0.87685078,1.04449015,0.04058693,1.73008558,0.08280587,0.00000000
-5.60980490,2.54446393,0.87530540,1.06542965,0.04061640,1.75610807,0.08440606,0.00000000
-5.60380190,2.57517507,0.87555500,1.08698950,0.04058119,1.78511868,0.08628972,0.00000000
-5.59779890,2.60966530,0.87784074,1.10917735,0.04048849,1.81735312,0.08848219,0.00000000
-5.59179590,2.64818949,0.88235411,1.13196209,0.04034561,1.85295628,0.09100254,0.00000000
-5.58579290,2.69087683,0.88923282,1.15527570,0.04015979,1.89197601,0.09386247,0.00000000
-5.57978989,2.73772571,0.89855767,1.17901603,0.03993817,1.93435892,0.09706541,0.00000000
-5.57378689,2.78860142,0.91035073,1.20305054,0.03968759,1.97994819,0.10060581,0.00000000
-5.56778389,2.84323696,0.92457472,1.22722054,0.03941462,2.02848377,0.10446870,0.00000000
-5.56178089,2.90123700,0.94113399,1.25134581,0.03912541,2.07960497,0.10862949,0.00000000
-5.55577789,2.96208546,0.95987708,1.27522959,0.03882569,2.13285587,0.11305428,0.00000000
-5.54977489,3.02515688,0.98060105,1.29866357,0.03852074,2.18769363,0.11770039,0.00000000
-5.54377189,3.08973171,1.00305760,1.32143311,0.03821539,2.24349997,0.12251742,0.00000000
-5.53776888,3.15501570,1.02696107,1.34332256,0.03791403,2.29959576,0.12744870,0.00000000
-5.53176588,3.22016317,1.05199805,1.36412076,0.03762067,2.35525876,0.13243314,0.00000000
-5.52576288,3.28430395,1.07783857,1.38362667,0.03733899,2.40974426,0.13740734,0.00000000
-5.51975988,3.34657327,1.10414849,1.40165534,0.03707240,2.46230816,0.14230806,0.00000000
-5.51375688,3.40614389,1.13060259,1.41804394,0.03682421,2.51223183,0.14707483,0.00000000
-5.50775388,3.46225920,1.15689805,1.43265804,0.03659763,2.55884809,0.15165255,0.00000000
-5.50175088,3.51426615,1.18276745,1.44539781,0.03639597,2.60156714,0.15599409,0.00000000
-5.49574787,3.56164627,1.20799089,1.45620403,0.03622268,2.63990140,0.16006264,0.00000000
-5.48974487,3.60404340,1.23240645,1.46506362,0.03608149,2.67348808,0.16383369,0.00000000
-5.48374187,3.64128628,1.25591831,1.47201439,0.03597640,2.70210816,0.16729655,0.00000000
-5.47773887,3.67340477,1.27850221,1.47714860,0.03591180,2.72570077,0.17045532,0.00000000
-5.47173587,3.70063812,1.30020749,1.48061507,0.03589239,2.74437194,0.17332914,0.00000000
-5.46573287,3.72343457,1.32115571,1.48261946,0.03592317,2.75839683,0.17595178,0.00000000
-5.45972986,3.74244165,1.34153555,1.48342245,0.03600935,2.76821512,0.17837046,0.00000000
-5.45372686,3.75848700,1.36159416,1.48333575,0.03615617,2.77441937,0.18064403,0.00000000
-5.44772386,3.77255031,1.38162532,1.48271567,0.03636877,2.77773644,0.18284049,0.00000000
-5.44172086,3.78572731,1.40195476,1.48195463,0.03665193,2.77900284,0.18503404,0.00000000
-5.43571786,3.79918718,1.42292344,1.48147051,0.03700987,2.77913466,0.18730167,0.00000000
-5.42971486,3.81412544,1.44486958,1.48169443,0.03744596,2.77909364,0.18971964,0.00000000
-5.42371186,3.83171438,1.46811041,1.48305734,0.03796249,2.77985080,0.19235988,0.00000000
-5.41770885,3.85305367,1.49292451,1.48597603,0.03856047,2.78234932,0.19528653,0.00000000
-5.41170585,3.87912358,1.51953583,1.49083921,0.03923938,2.78746857,0.19855287,0.00000000
-5.40570285,3.91074325,1.54810026,1.49799438,0.03999709,2.79599100,0.20219874,0.00000000
-5.39969985,3.94853632,1.57869548,1.50773616,0.04082973,2.80857360,0.20624859,0.00000000
-5.39369685,3.99290578,1.61131479,1.52029670,0.04173172,2.82572531,0.21071034,0.00000000
-5.38769385,4.04401941,1.64586523,1.53583879,0.04269582,2.84779155,0.21557501,0.00000000
-5.38169085,4.10180661,1.68217015,1.55445195,0.04371329,2.87494656,0.22081724,0.00000000
-5.37568784,4.16596680,1.71997619,1.57615178,0.04477414,2.90719394,0.22639659,0.00000000
-5.36968484,4.23598896,1.75896422,1.60088262,0.04586737,2.94437507,0.23225959,0.00000000
-5.36368184,4.31118103,1.79876365,1.62852346,0.04698138,2.98618506,0.23834246,0.00000000
-5.35767884,4.39070759,1.83896940,1.65889644,0.04810432,3.03219497,0.24457421,0.00000000
-5.35167584,4.47363357,1.87916039,1.69177784,0.04922449,3.08187915,0.25088012,0.00000000
-5.34567284,4.55897136,1.91891868,1.72691051,0.05033072,3.13464585,0.25718522,0.00000000
-5.33966983,4.64572866,1.95784796,1.76401717,0.05141277,3.18986943,0.26341777,0.00000000
-5.33366683,4.73295428,1.99559053,1.80281369,0.05246158,3.24692221,0.26951227,0.00000000
-5.32766383,4.81977905,2.03184163,1.84302148,0.05346955,3.30520411,0.27541216,0.00000000
-5.32166083,4.90544981,2.06636037,1.88437830,0.05443068,3.36416844,0.28107173,0.00000000
-5.31565783,4.98935434,2.09897670,1.92664676,0.05534060,3.42334232,0.28645738,0.00000000
-5.30965483,5.07103601,2.12959400,1.96961997,0.05619655,3.48234088,0.29154803,0.00000000
-5.30365183,5.15019758,2.15818723,2.01312418,0.05699724,3.54087429,0.29633472,0.00000000
-5.29764882,5.22669408,2.18479688,2.05701819,0.05774261,3.59874781,0.30081941,0.00000000
-5.29164582,5.30051566,2.20951912,2.10118974,0.05843355,3.65585477,0.30501314,0.00000000
-5.28564282,5.37176173,2.23249288,2.14554921,0.05907155,3.71216354,0.30893353,0.00000000
-5.27963982,5.44060844,2.25388471,2.19002128,0.05965834,3.76769936,0.31260200,0.00000000
-5.27363682,5.50727173,2.27387253,2.23453511,0.06019555,3.82252259,0.31604068,0.00000000
-5.26763382,5.57196882,2.29262919,2.27901404,0.06068431,3.87670504,0.31926937,0.00000000
-5.26163082,5.63488054,2.31030703,2.32336547,0.06112506,3.93030596,0.32230272,0.00000000
-5.25562781,5.69611742,2.32702439,2.36747194,0.06151729,3.98334955,0.32514781,0.00000000
-5.24962481,5.75569153,2.34285489,2.41118399,0.06185945,4.03580549,0.32780221,0.00000000
-5.24362181,5.81349623,2.35782013,2.45431544,0.06214892,4.08757377,0.33025288,0.00000000
-5.23761881,5.86929486,2.37188623,2.49664154,0.06238213,4.13847477,0.33247573,0.00000000
