energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,16.19309916,0.03938848,1.60076133,6.93879367,7.09094406,0.09092475,5.04868895,2.22065059,0.79472822
-5.99399700,16.20766716,0.03934323,1.59978835,7.04358559,7.07017198,0.08990044,5.06341494,2.21173941,0.79779194
-5.98799400,16.19665098,0.03931708,1.59754794,7.13675370,7.03771372,0.08896192,5.07009798,2.19728645,0.79999673
-5.98199100,16.16143742,0.03931655,1.59411685,7.21773430,6.99432260,0.08811735,5.06920422,2.17776249,0.80141715
-5.97598799,16.10322651,0.03934477,1.58953001,7.28591545,6.94069882,0.08736969,5.06112769,2.15365738,0.80210155
-5.96998499,16.02296322,0.03940138,1.58377573,7.34061922,6.87746256,0.08671647,5.04616688,2.12546037,0.80206924
-5.96398199,15.92129127,0.03948246,1.57679374,7.38109203,6.80513469,0.08614981,5.02450947,2.09364278,0.80130942
-5.95797899,15.79853219,0.03958077,1.56847616,7.40650464,6.72412627,0.08565665,4.99622616,2.05864377,0.79978204
-5.95197599,15.65469127,0.03968614,1.55867150,7.41596323,6.63473741,0.08521924,4.96127416,2.02085988,0.79742063
-5.94597299,15.48949053,0.03978602,1.54719173,7.40853169,6.53716539,0.08481578,4.91951023,1.98063864,0.79413682
-5.93996998,15.30242700,0.03986621,1.53382198,7.38326507,6.43152164,0.08442132,4.87071258,1.93827630,0.78982663
-5.93396698,15.09285322,0.03991165,1.51833248,7.33925287,6.31785629,0.08400877,4.81461054,1.89401962,0.78437796
-5.92796398,14.86007517,0.03990729,1.50049214,7.27567015,6.19618886,0.08355003,4.75092015,1.84807122,0.77767905
-5.92196098,14.60346188,0.03983903,1.48008305,7.19183380,6.06654296,0.08301723,4.67938368,1.80059790,0.76962745
-5.91595798,14.32255990,0.03969456,1.45691500,7.08726073,5.92898280,0.08238384,4.59981066,1.75174124,0.76013904
-5.90995498,14.01720561,0.03946417,1.43083941,6.96172432,5.78364911,0.08162589,4.51211790,1.70162949,0.74915649
