energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-6.00000000,2.36564662,0.63359514,1.49426253,0.00468275,0.07069092,0.75654649,0.21243961,0.00594265,0.57368388
-5.99399700,2.32214439,0.58926341,1.49445504,0.00444174,0.06533343,0.70935717,0.20378462,0.00605386,0.54765452
-5.98799400,2.28033947,0.54616670,1.49516699,0.00422180,0.06018004,0.66326298,0.19527207,0.00616974,0.52229675
-5.98199100,2.24012113,0.50461808,1.49609663,0.00402255,0.05524984,0.61861583,0.18691996,0.00628642,0.49772392
-5.97598799,2.20135520,0.46490093,1.49694796,0.00384307,0.05056155,0.57572533,0.17873874,0.00640005,0.47403004
-5.96998499,2.16388211,0.42726149,1.49743211,0.00368200,0.04613252,0.53485279,0.17073211,0.00650690,0.45128794
-5.96398199,2.12751644,0.39190305,1.49726892,0.00353768,0.04197783,0.49620709,0.16289805,0.00660346,0.42954839
-5.95797899,2.09204795,0.35898179,1.49618836,0.00340818,0.03810954,0.45994270,0.15523021,0.00668652,0.40884010
-5.95197599,2.05724397,0.32860447,1.49393193,0.00329150,0.03453612,0.42615956,0.14771938,0.00675328,0.38917069
-5.94597299,2.02285271,0.30082779,1.49025389,0.00318556,0.03126204,0.39490484,0.14035506,0.00680136,0.37052832
-5.93996998,1.98860748,0.27565952,1.48492229,0.00308835,0.02828758,0.36617615,0.13312692,0.00682892,0.35288382
-5.93396698,1.95423135,0.25306104,1.47771985,0.00299796,0.02560880,0.33992607,0.12602614,0.00683462,0.33619339
-5.92796398,1.91944220,0.23295116,1.46844471,0.00291265,0.02321769,0.31606758,0.11904649,0.00681764,0.32040137
-5.92196098,1.88395799,0.21521101,1.45691130,0.00283088,0.02110247,0.29448021,0.11218516,0.00677768,0.30544325
-5.91595798,1.84750211,0.19968968,1.44295124,0.00275133,0.01924803,0.27501646,0.10544329,0.00671491,0.29124847
-5.90995498,1.80980895,0.18621037,1.42641463,0.00267289,0.01763638,0.25750839,0.09882608,0.00662992,0.27774326
-5.90395198,1.77062957,0.17457681,1.40717185,0.00259471,0.01624730,0.24177399,0.09234272,0.00652367,0.26485315
-5.89794897,1.72973756,0.16457980,1.38511585,0.00251614,0.01505890,0.22762329,0.08600594,0.00639741,0.25250525
-5.89194597,1.68693509,0.15600348,1.36016510,0.00243671,0.01404829,0.21486396,0.07983143,0.00625260,0.24063022
-5.88594297,1.64205909,0.14863131,1.33226723,0.00235617,0.01319212,0.20330632,0.07383700,0.00609089,0.22916395
-5.87993997,1.59498752,0.14225166,1.30140301,0.00227438,0.01246724,0.19276777,0.06804173,0.00591398,0.21804898
-5.87393697,1.54564550,0.13666268,1.26759083,0.00219138,0.01185118,0.18307647,0.06246504,0.00572364,0.20723555
-5.86793397,1.49401114,0.13167659,1.23089111,0.00210729,0.01132263,0.17407439,0.05712584,0.00552162,0.19668244
-5.86193097,1.44012072,0.12712316,1.19141048,0.00202234,0.01086184,0.16561964,0.05204166,0.00530963,0.18635754
-5.85592796,1.38407295,0.12285250,1.14930536,0.00193687,0.01045096,0.15758817,0.04722805,0.00508932,0.17623815
-5.84992496,1.32603191,0.11873696,1.10478459,0.00185127,0.01007425,0.14987482,0.04269802,0.00486226,0.16631108
-5.84392196,1.26622849,0.11467235,1.05811073,0.00176603,0.00971826,0.14239380,0.03846170,0.00462998,0.15657248
-5.83791896,1.20495994,0.11057834,1.00959985,0.00168168,0.00937190,0.13507862,0.03452613,0.00439390,0.14702749
-5.83191596,1.14258743,0.10639818,0.95961956,0.00159887,0.00902648,0.12788149,0.03089528,0.00415541,0.13768967
-5.82591296,1.07953147,0.10209779,0.90858523,0.00151829,0.00867563,0.12077236,0.02757014,0.00391586,0.12858022
-5.81990995,1.01626536,0.09766420,0.85695439,0.00144072,0.00831516,0.11373749,0.02454898,0.00367654,0.11972706
-5.81390695,0.95330664,0.09310365,0.80521944,0.00136703,0.00794293,0.10677777,0.02182766,0.00343876,0.11116369
-5.80790395,0.89120691,0.08843914,0.75389893,0.00129814,0.00755860,0.09990671,0.01940000,0.00320378,0.10292802
-5.80190095,0.83054030,0.08370784,0.70352766,0.00123508,0.00716341,0.09314834,0.01725823,0.00297285,0.09506100
-5.79589795,0.77189100,0.07895821,0.65464599,0.00117890,0.00675990,0.08653491,0.01539333,0.00274721,0.08760527
-5.78989495,0.71584029,0.07424708,0.60778871,0.00113073,0.00635161,0.08010466,0.01379546,0.00252805,0.08060378
-5.78389195,0.66295355,0.06963676,0.56347391,0.00109172,0.00594286,0.07389948,0.01245420,0.00231652,0.07409839
-5.77788894,0.61376762,0.06519223,0.52219225,0.00106303,0.00553842,0.06796283,0.01135888,0.00211370,0.06812858
-5.77188594,0.56877888,0.06097847,0.48439682,0.00104581,0.00514326,0.06233772,0.01049871,0.00192061,0.06273023
-5.76588294,0.52843252,0.05705810,0.45049411,0.00104118,0.00476236,0.05706491,0.00986289,0.00173811,0.05793450
-5.75987994,0.49311304,0.05348927,0.42083599,0.00105017,0.00440046,0.05218141,0.00944061,0.00156699,0.05376685
-5.75387694,0.46313633,0.05032381,0.39571319,0.00107372,0.00406192,0.04771914,0.00922105,0.00140785,0.05024627
-5.74787394,0.43874338,0.04760586,0.37535003,0.00111261,0.00375054,0.04370404,0.00919321,0.00126117,0.04738461
-5.74187094,0.42009557,0.04537063,0.35990067,0.00116747,0.00346950,0.04015529,0.00934578,0.00112724,0.04518610
-5.73586793,0.40727169,0.04364372,0.34944670,0.00123871,0.00322127,0.03708490,0.00966698,0.00100618,0.04364701
-5.72986493,0.40026653,0.04244057,0.34399612,0.00132651,0.00300754,0.03449758,0.01014436,0.00089795,0.04275556
-5.72386193,0.39899097,0.04176632,0.34348356,0.00143079,0.00282927,0.03239074,0.01076460,0.00080235,0.04249186
-5.71785893,0.40327356,0.04161591,0.34777170,0.00155116,0.00268663,0.03075479,0.01151338,0.00071901,0.04282816
-5.71185593,0.41286350,0.04197440,0.35665390,0.00168695,0.00257910,0.02957353,0.01237528,0.00064744,0.04372909
-5.70585293,0.42743484,0.04281755,0.36985781,0.00183716,0.00250548,0.02882473,0.01333372,0.00058703,0.04515219
-5.69984992,0.44659211,0.04411254,0.38705012,0.00200048,0.00246396,0.02848076,0.01437100,0.00053704,0.04704848
-5.69384692,0.46987706,0.04581891,0.40784231,0.00217528,0.00245221,0.02850937,0.01546841,0.00049670,0.04936326
-5.68784392,0.49677667,0.04788961,0.43179739,0.00235964,0.00246745,0.02887441,0.01660641,0.00046513,0.05203694
-5.68184092,0.52673230,0.05027217,0.45843767,0.00255135,0.00250654,0.02953671,0.01776496,0.00044146,0.05500613
-5.67583792,0.55915003,0.05290998,0.48725347,0.00274798,0.00256606,0.03045488,0.01892379,0.00042478,0.05820473
-5.66983492,0.59341192,0.05574361,0.51771273,0.00294689,0.00264241,0.03158611,0.02006292,0.00041419,0.06156519
-5.66383192,0.62888826,0.05871229,0.54927149,0.00314529,0.00273188,0.03288707,0.02116305,0.00040881,0.06501983
