energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.71171632,-1.61439263,0.00489526,-0.00155026,0.10323550,-0.09469708,0.57699648,-0.53463637,0.15852246,-0.15663021,0.81692676,-0.74171852,0.22754041,-0.21006493,0.96806268,-0.91981506,0.00000000,-0.00000000
-5.99399700,1.66661230,-1.56114810,0.00457769,-0.00144724,0.10101966,-0.09105650,0.56153047,-0.51705250,0.15381065,-0.15123294,0.79861815,-0.71503064,0.22168484,-0.20375186,0.94182642,-0.89020692,0.00000000,-0.00000000
-5.98799400,1.61211299,-1.49938742,0.00427337,-0.00135157,0.09817532,-0.08695937,0.54292826,-0.49662778,0.14834985,-0.14506089,0.77536481,-0.68454614,0.21450526,-0.19627383,0.91037378,-0.85568158,0.00000000,-0.00000000
-5.98199100,1.54908096,-1.43025590,0.00398005,-0.00126107,0.09475364,-0.08247834,0.52148366,-0.47374573,0.14220569,-0.13822217,0.74759855,-0.65084312,0.20613100,-0.18777119,0.87419246,-0.81688524,0.00000000,-0.00000000
-5.97598799,1.47856029,-1.35502780,0.00369617,-0.00117427,0.09081728,-0.07769162,0.49755124,-0.44883234,0.13546085,-0.13083828,0.71583890,-0.61454473,0.19671508,-0.17840329,0.83387201,-0.77453999,0.00000000,-0.00000000
-5.96998499,1.40173894,-1.27506467,0.00342087,-0.00109025,0.08643812,-0.07268036,0.47153368,-0.42234211,0.12821186,-0.12304004,0.68067546,-0.57630010,0.18642873,-0.16834302,0.79008265,-0.72942017,0.00000000,-0.00000000
-5.96398199,1.31990772,-1.19177352,0.00315383,-0.00100855,0.08169483,-0.06752620,0.44386806,-0.39474416,0.12056556,-0.11496358,0.64274852,-0.53676566,0.17545563,-0.15777134,0.74355210,-0.68232864,0.00000000,-0.00000000
-5.95797899,1.23441789,-1.10656667,0.00289521,-0.00092905,0.07667030,-0.06230899,0.41501157,-0.36650879,0.11263535,-0.10674646,0.60272892,-0.49658742,0.16398609,-0.14687188,0.69504165,-0.63407384,0.00000000,-0.00000000
-5.95197599,1.14663920,-1.02082471,0.00264551,-0.00085191,0.07144901,-0.05710473,0.38542749,-0.33809510,0.10453743,-0.09852427,0.56129785,-0.45638501,0.15221133,-0.13582588,0.64532258,-0.58544851,0.00000000,-0.00000000
-5.94597299,1.05792026,-0.93586390,0.00240550,-0.00077742,0.06611460,-0.05198384,0.35557189,-0.30994000,0.09638727,-0.09042757,0.51912772,-0.41673792,0.14031813,-0.12480769,0.59515387,-0.53721086,0.00000000,-0.00000000
-5.93996998,0.96955270,-0.85290896,0.00217609,-0.00070602,0.06074755,-0.04700978,0.32588163,-0.28244911,0.08829631,-0.08257945,0.47686459,-0.37817440,0.12848415,-0.11398088,0.54526216,-0.49006875,0.00000000,-0.00000000
-5.93396698,0.88274047,-0.77307191,0.00195825,-0.00063817,0.05542323,-0.04223809,0.29676410,-0.25598954,0.08036922,-0.07509366,0.43511296,-0.34116315,0.11687391,-0.10349512,0.49632451,-0.44466729,0.00000000,-0.00000000
-5.92796398,0.79857506,-0.69733721,0.00175290,-0.00057434,0.05021020,-0.03771575,0.26858890,-0.23088486,0.07270162,-0.06807337,0.39442328,-0.30610799,0.10563565,-0.09348393,0.44895465,-0.40157997,0.00000000,-0.00000000
-5.92196098,0.71801728,-0.62655319,0.00156090,-0.00051495,0.04516897,-0.03348096,0.24168171,-0.20741206,0.06537835,-0.06161053,0.35528253,-0.27334528,0.09489908,-0.08406321,0.40369286,-0.36130336,0.00000000,-0.00000000
-5.91595798,0.64188569,-0.56142925,0.00138294,-0.00046040,0.04035116,-0.02956324,0.21632043,-0.18580053,0.05847251,-0.05578581,0.31810792,-0.24314409,0.08477406,-0.07533058,0.36099959,-0.32425519,0.00000000,-0.00000000
-5.90995498,0.57085158,-0.50253846,0.00121954,-0.00041099,0.03579901,-0.02598383,0.19273338,-0.16623279,0.05204491,-0.05066895,0.28324379,-0.21570857,0.07535013,-0.06736545,0.32125281,-0.29077536,0.00000000,-0.00000000
-5.90395198,0.50543993,-0.45032435,0.00107102,-0.00036694,0.03154537,-0.02275631,0.17109952,-0.14884669,0.04614425,-0.04631954,0.25096131,-0.19118236,0.06669685,-0.06022974,0.28474865,-0.26112961,0.00000000,-0.00000000
-5.89794897,0.44603567,-0.40511132,0.00093750,-0.00032842,0.02761393,-0.01988746,0.15155043,-0.13373878,0.04080765,-0.04278811,0.22146090,-0.16965437,0.05886489,-0.05396912,0.25170503,-0.23551507,0.00000000,-0.00000000
-5.89194597,0.39289444,-0.36711726,0.00081891,-0.00029548,0.02401983,-0.01737816,0.13417365,-0.12096854,0.03606177,-0.04011725,0.19487680,-0.15116565,0.05188760,-0.04861457,0.22226772,-0.21406723,0.00000000,-0.00000000
-5.88594297,0.34615667,-0.33646755,0.00071496,-0.00026814,0.02077050,-0.01522438,0.11901711,-0.11056310,0.03192410,-0.03834289,0.17128338,-0.13571679,0.04578308,-0.04418426,0.19651830,-0.19686774,0.00000000,-0.00000000
-5.87993997,0.30586408,-0.31320931,0.00062521,-0.00024632,0.01786664,-0.01341822,0.10609440,-0.10252212,0.02840461,-0.03749549,0.15070271,-0.12327547,0.04055650,-0.04068550,0.17448334,-0.18395238,0.00000000,-0.00000000
-5.87393697,0.27197748,-0.29732514,0.00054908,-0.00022992,0.01530335,-0.01194885,0.09539027,-0.09682265,0.02550741,-0.03760101,0.13311289,-0.11378367,0.03620266,-0.03811671,0.15614435,-0.17531876,0.00000000,-0.00000000
