energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-3.93496748,2.31900462,0.01337091,0.08823444,0.82181697,0.57937580,0.00378885,1.30510548,0.28777860,0.05662799
-3.92896448,2.30207138,0.01219680,0.08930736,0.83731726,0.56651245,0.00372758,1.30143420,0.29689013,0.05402507
-3.92296148,2.29375841,0.01113486,0.09076169,0.85659233,0.55496306,0.00373998,1.30255590,0.30774757,0.05174502
-3.91695848,2.29491994,0.01017984,0.09263385,0.87979430,0.54497280,0.00382768,1.30901075,0.32040692,0.04978733
-3.91095548,2.30626445,0.00932792,0.09495279,0.90699571,0.53675598,0.00399270,1.32124907,0.33489531,0.04815190
-3.90495248,2.32830505,0.00857661,0.09773795,0.93817188,0.53048453,0.00423731,1.33960224,0.35120413,0.04683812
-3.89894947,2.36131848,0.00792459,0.10099745,0.97318771,0.52627861,0.00456398,1.36425878,0.36928379,0.04584397
-3.89294647,2.40531511,0.00737154,0.10472689,1.01178963,0.52419975,0.00497515,1.39524680,0.38904028,0.04516525
-3.88694347,2.46002137,0.00691800,0.10890866,1.05360338,0.52424713,0.00547316,1.43242373,0.41033379,0.04479498
-3.88094047,2.52487583,0.00656527,0.11351179,1.09813773,0.52635693,0.00606000,1.47547397,0.43297949,0.04472303
-3.87493747,2.59903911,0.00631528,0.11849241,1.14479407,0.53040506,0.00673722,1.52391450,0.45675046,0.04493593
-3.86893447,2.68141739,0.00617057,0.12379480,1.19288158,0.53621293,0.00750574,1.57710847,0.48138274,0.04541702
-3.86293147,2.77069853,0.00613423,0.12935297,1.24163737,0.54355624,0.00836572,1.63428603,0.50658227,0.04614675
-3.85692846,2.86539933,0.00620998,0.13509273,1.29025061,0.55217623,0.00931650,1.69457175,0.53203352,0.04710327
-3.85092546,2.96392207,0.00640219,0.14093412,1.33788982,0.56179295,0.01035650,1.75701745,0.55740949,0.04826319
-3.84492246,3.06461799,0.00671600,0.14679419,1.38373196,0.57212005,0.01148319,1.82063918,0.58238257,0.04960248
-3.83891946,3.16585520,0.00715742,0.15258999,1.42699224,0.58288047,0.01269318,1.88445690,0.60663610,0.05109759
