energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.40998072,-1.19225979,0.00149461,-0.00186793,0.03912223,-0.04091174,0.63510322,-0.51871209,0.21388106,-0.15758537,0.00435195,-0.00415444,0.85746640,-0.73380735,0.47240310,-0.38842543,0.12602359,-0.10720651
-5.99399700,1.47729390,-1.22539504,0.00147029,-0.00168264,0.04056130,-0.04217296,0.66524457,-0.54347161,0.22487383,-0.15949337,0.00460675,-0.00370089,0.89920535,-0.75556362,0.49531639,-0.40412653,0.13249517,-0.11079056
-5.98799400,1.54493926,-1.26052853,0.00145700,-0.00153436,0.04189625,-0.04345427,0.69443858,-0.56813296,0.23624108,-0.16182592,0.00493871,-0.00333907,0.94116460,-0.77851315,0.51799944,-0.42029153,0.13905499,-0.11456317
-5.98199100,1.61216382,-1.29714258,0.00145154,-0.00141663,0.04310140,-0.04472302,0.72235459,-0.59239150,0.24788170,-0.16456306,0.00534121,-0.00306192,0.98289814,-0.80235311,0.54021177,-0.43672922,0.14564993,-0.11847716
-5.97598799,1.67829213,-1.33472696,0.00145143,-0.00132395,0.04415483,-0.04594846,0.74870842,-0.61595572,0.25969858,-0.16768137,0.00580762,-0.00286304,1.02400630,-0.82678360,0.56174235,-0.45324843,0.15223477,-0.12248911
-5.96998499,1.74273547,-1.37279586,0.00145496,-0.00125167,0.04503887,-0.04710237,0.77326785,-0.63855672,0.27159942,-0.17115520,0.00633120,-0.00273679,1.06414104,-0.85151827,0.58241302,-0.46966420,0.15877265,-0.12656089
-5.96398199,1.80499595,-1.41090511,0.00146113,-0.00119591,0.04574048,-0.04815965,0.79585534,-0.65995735,0.28349711,-0.17495820,0.00690505,-0.00267837,1.10300824,-0.87629516,0.60207997,-0.48580429,0.16523489,-0.13066105
-5.95797899,1.86466535,-1.44866850,0.00146970,-0.00115345,0.04625138,-0.04909874,0.81634801,-0.67996035,0.29530929,-0.17906494,0.00752200,-0.00268388,1.14036666,-0.90088702,0.62063336,-0.50151555,0.17160041,-0.13476597
-5.95197599,1.92141916,-1.48577213,0.00148113,-0.00112173,0.04656800,-0.04990216,0.83467494,-0.69841511,0.30695748,-0.18345249,0.00817467,-0.00275023,1.17602409,-0.92511036,0.63799506,-0.51666966,0.17785461,-0.13886076
-5.94597299,1.97500642,-1.52198575,0.00149664,-0.00109874,0.04669131,-0.05055671,0.85081192,-0.71522254,0.31836580,-0.18810180,0.00885547,-0.00287519,1.20983092,-0.94883251,0.65411478,-0.53116794,0.18398792,-0.14293968
-5.93996998,2.02523645,-1.55716999,0.00151815,-0.00108300,0.04662637,-0.05105372,0.86477434,-0.73033769,0.32945940,-0.19299866,0.00955668,-0.00305725,1.24167191,-0.97197623,0.66896491,-0.54494471,0.18999405,-0.14700614
-5.93396698,2.07196360,-1.59127882,0.00154830,-0.00107354,0.04638185,-0.05138900,0.87660839,-0.74376984,0.34016286,-0.19813429,0.01027061,-0.00329553,1.27145672,-0.99452118,0.68253443,-0.55796909,0.19586814,-0.15107224
-5.92796398,2.11507137,-1.62435666,0.00159042,-0.00106987,0.04596940,-0.05156274,0.88638153,-0.75557991,0.35039871,-0.20350523,0.01098979,-0.00358963,1.29911018,-1.01650209,0.69482243,-0.57024479,0.20160486,-0.15515771
-5.92196098,2.15445734,-1.65653003,0.00164855,-0.00107200,0.04540296,-0.05157916,0.89417279,-0.76587528,0.36008639,-0.20911260,0.01170719,-0.00393955,1.32456305,-1.03800347,0.70583169,-0.58180798,0.20719677,-0.15928849
-5.91595798,2.19002004,-1.68799389,0.00172737,-0.00108041,0.04469804,-0.05144608,0.90006353,-0.77480220,0.36914154,-0.21496078,0.01241646,-0.00434545,1.34774414,-1.05915093,0.71556287,-0.59272313,0.21263290,-0.16349475
-5.90995498,2.22164910,-1.71899334,0.00183222,-0.00109610,0.04387109,-0.05117431,0.90412944,-0.78253600,0.37747614,-0.22105539,0.01311225,-0.00480756,1.36857436,-1.08009963,0.72400960,-0.60307707,0.21789777,-0.16780867
