energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.30356480,0.03647771,0.19999157,1.37836094,0.00000000,1.93385724,0.55193901
-5.99399700,2.36845536,0.03519440,0.20581137,1.41913987,0.00000000,2.02052477,0.56289414
-5.98799400,2.43188493,0.03377093,0.21165473,1.45902679,0.00000000,2.10783887,0.57306897
-5.98199100,2.49334782,0.03223498,0.21748479,1.49767693,0.00000000,2.19499510,0.58241997
-5.97598799,2.55224482,0.03061539,0.22324862,1.53469665,0.00000000,2.28105234,0.59088788
-5.96998499,2.60789035,0.02894140,0.22887735,1.56964902,0.00000000,2.36494719,0.59839741
-5.96398199,2.65952620,0.02724198,0.23428726,1.60206294,0.00000000,2.44551604,0.60485846
-5.95797899,2.70634203,0.02554520,0.23938179,1.63144583,0.00000000,2.52152455,0.61016897
-5.95197599,2.74750164,0.02387772,0.24405446,1.65729939,0.00000000,2.59170351,0.61421907
-5.94597299,2.78217426,0.02226429,0.24819249,1.67913786,0.00000000,2.65478980,0.61689657
-5.93996998,2.80956919,0.02072747,0.25168112,1.69650790,0.00000000,2.70957055,0.61809332
-5.93396698,2.82897200,0.01928734,0.25440814,1.70900918,0.00000000,2.75492867,0.61771213
-5.92796398,2.83978057,0.01796135,0.25626875,1.71631449,0.00000000,2.78988723,0.61567380
-5.92196098,2.84153854,0.01676428,0.25717014,1.71818816,0.00000000,2.81365075,0.61192382
-5.91595798,2.83396447,0.01570821,0.25703591,1.71450181,0.00000000,2.82564079,0.60643835
-5.90995498,2.81697464,0.01480262,0.25580973,1.70524620,0.00000000,2.82552430,0.59922892
-5.90395198,2.79069810,0.01405446,0.25345831,1.69053852,0.00000000,2.81323280,0.59034570
-5.89794897,2.75548275,0.01346834,0.24997350,1.67062439,0.00000000,2.78897132,0.57987889
-5.89194597,2.71189187,0.01304666,0.24537319,1.64587422,0.00000000,2.75321662,0.56795829
-5.88594297,2.66069094,0.01278980,0.23970128,1.61677402,0.00000000,2.70670439,0.55475077
-5.87993997,2.60282525,0.01269628,0.23302650,1.58391092,0.00000000,2.65040621,0.54045593
-5.87393697,2.53938928,0.01276295,0.22544022,1.54795397,0.00000000,2.58549717,0.52530004
-5.86793397,2.47158923,0.01298512,0.21705342,1.50963112,0.00000000,2.51331585,0.50952856
-5.86193097,2.40070064,0.01335671,0.20799288,1.46970358,0.00000000,2.43531854,0.49339765
-5.85592796,2.32802310,0.01387039,0.19839689,1.42893865,0.00000000,2.35302991,0.47716508
-5.84992496,2.25483433,0.01451766,0.18841065,1.38808253,0.00000000,2.26799244,0.46108108
-5.84392196,2.18234589,0.01528899,0.17818153,1.34783426,0.00000000,2.18171700,0.44537941
-5.83791896,2.11166256,0.01617389,0.16785450,1.30882220,0.00000000,2.09563666,0.43026938
-5.83191596,2.04374734,0.01716097,0.15756790,1.27158400,0.00000000,2.01106570,0.41592890
-5.82591296,1.97939351,0.01823806,0.14744965,1.23655099,0.00000000,1.92916534,0.40249918
-5.81990995,1.91920488,0.01939222,0.13761412,1.20403768,0.00000000,1.85091730,0.39008102
