energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.78046486,0.72625866,0.55777894,0.00274561,0.21276611,0.00061087,0.50677455,0.29086217,0.06410524
-5.99399700,1.81053786,0.73546866,0.56798878,0.00284572,0.21617973,0.00062606,0.51438705,0.29704989,0.06495999
-5.98799400,1.82863045,0.73970321,0.57446996,0.00292840,0.21815199,0.00063783,0.51856980,0.30131908,0.06537807
-5.98199100,1.83435848,0.73887631,0.57708347,0.00299196,0.21864228,0.00064578,0.51923342,0.30357707,0.06535061
-5.97598799,1.82759183,0.73300591,0.57576986,0.00303505,0.21764023,0.00064966,0.51636120,0.30377262,0.06487792
-5.96998499,1.80845816,0.72221317,0.57055096,0.00305675,0.21516602,0.00064928,0.51000936,0.30189744,0.06396950
-5.96398199,1.77733800,0.70671819,0.56152897,0.00305660,0.21126973,0.00064457,0.50030504,0.29798637,0.06264369
-5.95797899,1.73485141,0.68683249,0.54888277,0.00303459,0.20602954,0.00063558,0.48744175,0.29211602,0.06092698
-5.95197599,1.68183688,0.66294858,0.53286182,0.00299119,0.19954918,0.00062245,0.47167285,0.28440211,0.05885317
-5.94597299,1.61932337,0.63552704,0.51377776,0.00292733,0.19195447,0.00060542,0.45330312,0.27499554,0.05646223
-5.93996998,1.54849679,0.60508181,0.49199418,0.00284433,0.18338925,0.00058479,0.43267886,0.26407733,0.05379902
-5.93396698,1.47066247,0.57216423,0.46791502,0.00274392,0.17401088,0.00056095,0.41017703,0.25185276,0.05091187
-5.92796398,1.38720513,0.53734663,0.44197211,0.00262811,0.16398545,0.00053436,0.38619379,0.23854488,0.04785116
-5.92196098,1.29954823,0.50120600,0.41461226,0.00249917,0.15348293,0.00050548,0.36113304,0.22438775,0.04466783
-5.91595798,1.20911413,0.46430857,0.38628467,0.00235955,0.14267251,0.00047482,0.33539527,0.20961960,0.04141207
-5.90995498,1.11728679,0.42719568,0.35742887,0.00221178,0.13171814,0.00044292,0.30936733,0.19447626,0.03813201
-5.90395198,1.02537807,0.39037149,0.32846385,0.00205843,0.12077467,0.00041027,0.28341322,0.17918508,0.03487262
-5.89794897,0.93459906,0.35429292,0.29977861,0.00190199,0.10998449,0.00037736,0.25786647,0.16395955,0.03167480
-5.89194597,0.84603680,0.31936192,0.27172444,0.00174486,0.09947487,0.00034467,0.23302401,0.14899477,0.02857469
-5.88594297,0.76063716,0.28592028,0.24460904,0.00158925,0.08935604,0.00031261,0.20914186,0.13446390,0.02560317
-5.87993997,0.67919389,0.25424695,0.21869266,0.00143716,0.07971998,0.00028154,0.18643255,0.12051567,0.02278561
-5.87393697,0.60234378,0.22455763,0.19418618,0.00129032,0.07063995,0.00025179,0.16506423,0.10727288,0.02014179
-5.86793397,0.53056736,0.19700656,0.17125088,0.00115020,0.06217067,0.00022362,0.14516132,0.09483199,0.01768609
-5.86193097,0.46419481,0.17169010,0.15000005,0.00101797,0.05434909,0.00019722,0.12680656,0.08326353,0.01542774
-5.85592796,0.40341608,0.14865179,0.13050184,0.00089451,0.04719567,0.00017275,0.11004421,0.07261344,0.01337129
-5.84992496,0.34829442,0.12788864,0.11278334,0.00078042,0.04071603,0.00015029,0.09488410,0.06290494,0.01151718
-5.84392196,0.29878248,0.10935807,0.09683551,0.00067606,0.03490292,0.00012989,0.08130642,0.05414105,0.00986233
-5.83791896,0.25474002,0.09298532,0.08261863,0.00058154,0.02973830,0.00011156,0.06926678,0.04630740,0.00840080
-5.83191596,0.21595229,0.07867094,0.07006808,0.00049675,0.02519557,0.00009526,0.05870149,0.03937527,0.00712450
-5.82591296,0.18214850,0.06629805,0.05910014,0.00042142,0.02124173,0.00008094,0.04953280,0.03330470,0.00602384
-5.81990995,0.15301948,0.05573926,0.04961763,0.00035516,0.01783948,0.00006851,0.04167383,0.02804753,0.00508836
-5.81390695,0.12823420,0.04686284,0.04151514,0.00029745,0.01494914,0.00005789,0.03503319,0.02355027,0.00430729
-5.80790395,0.10745454,0.03953823,0.03468383,0.00024771,0.01253038,0.00004899,0.02951904,0.01975675,0.00367011
-5.80190095,0.09034826,0.03364068,0.02901556,0.00020532,0.01054371,0.00004171,0.02504264,0.01661040,0.00316695
-5.79589795,0.07659970,0.02905498,0.02440644,0.00016965,0.00895170,0.00003597,0.02152128,0.01405621,0.00278900
-5.78989495,0.06591840,0.02567831,0.02075965,0.00014008,0.00771997,0.00003172,0.01888052,0.01204231,0.00252873
-5.78389195,0.05804556,0.02342222,0.01798755,0.00011604,0.00681793,0.00002891,0.01705593,0.01052114,0.00238018
-5.77788894,0.05275838,0.02221368,0.01601328,0.00009698,0.00621918,0.00002752,0.01599409,0.00945026,0.00233899
-5.77188594,0.04987241,0.02199547,0.01477155,0.00008244,0.00590182,0.00002757,0.01565315,0.00879278,0.00240255
-5.76588294,0.04924223,0.02272574,0.01420903,0.00007203,0.00584842,0.00002911,0.01600279,0.00851751,0.00256988
-5.75987994,0.05076039,0.02437694,0.01428418,0.00006544,0.00604588,0.00003224,0.01702371,0.00859873,0.00284164
-5.75387694,0.05435495,0.02693416,0.01496664,0.00006243,0.00648509,0.00003706,0.01870672,0.00901580,0.00321988
-5.74787394,0.05998581,0.03039303,0.01623623,0.00006287,0.00716045,0.00004375,0.02105142,0.00975248,0.00370791
-5.74187094,0.06763993,0.03475707,0.01808167,0.00006670,0.00806928,0.00005252,0.02406458,0.01079610,0.00431001
-5.73586793,0.07732567,0.04003482,0.02049899,0.00007393,0.00921110,0.00006361,0.02775818,0.01213658,0.00503110
-5.72986493,0.08906639,0.04623663,0.02348976,0.00008468,0.01058690,0.00007728,0.03214731,0.01376540,0.00587640
