energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,5.94812897,0.02780604,0.51257390,0.17400856,2.28479831,2.60919011,0.08055011,2.73808605
-5.99399700,5.84557987,0.02695869,0.50184917,0.17040275,2.24213490,2.55145446,0.07911284,2.70810270
-5.98799400,5.73810602,0.02608552,0.49119065,0.16627431,2.19700374,2.49195005,0.07747853,2.67533177
-5.98199100,5.62713618,0.02519648,0.48064362,0.16168712,2.15008838,2.43143498,0.07566900,2.64034466
-5.97598799,5.51418338,0.02430280,0.47025606,0.15671716,2.10211169,2.37068432,0.07370873,2.60376444
-5.96998499,5.40081667,0.02341676,0.46007814,0.15145048,2.05381838,2.31047744,0.07162441,2.56625384
-5.96398199,5.28863234,0.02255139,0.45016163,0.14598100,2.00595766,2.25158573,0.06944445,2.52850248
-5.95797899,5.17922508,0.02172020,0.44055929,0.14040803,1.95926654,2.19476091,0.06719858,2.49121358
-5.95197599,5.07415971,0.02093692,0.43132410,0.13483380,1.91445413,2.14072400,0.06491737,2.45509053
-5.94597299,4.97494404,0.02021517,0.42250848,0.12936085,1.87218727,2.09015507,0.06263183,2.42082354
-5.93996998,4.88300311,0.01956827,0.41416348,0.12408953,1.83307779,2.04368390,0.06037296,2.38907658
-5.93396698,4.79965549,0.01900894,0.40633785,0.11911555,1.79767164,2.00188154,0.05817142,2.36047507
-5.92796398,4.72609168,0.01854913,0.39907718,0.11452780,1.76643985,1.96525286,0.05605712,2.33559429
-5.92196098,4.66335511,0.01819981,0.39242290,0.11040629,1.73977158,1.93423002,0.05405882,2.31494898
-5.91595798,4.61232571,0.01797086,0.38641134,0.10682042,1.71796901,1.90916715,0.05220385,2.29898399
-5.90995498,4.57370632,0.01787086,0.38107281,0.10382758,1.70124421,1.89033589,0.05051770,2.28806644
-5.90395198,4.54801189,0.01790706,0.37643061,0.10147201,1.68971764,1.87792210,0.04902375,2.28247909
-5.89794897,4.53556141,0.01808524,0.37250020,0.09978408,1.68341839,1.87202355,0.04774286,2.28241515
-5.89194597,4.53647249,0.01840965,0.36928838,0.09877985,1.68228568,1.87264859,0.04669315,2.28797446
-5.88594297,4.55065843,0.01888291,0.36679256,0.09846095,1.68617169,1.87971581,0.04588960,2.29916088
-5.87993997,4.57782759,0.01950595,0.36500018,0.09881488,1.69484545,1.89305447,0.04534382,2.31588088
-5.87393697,4.61748492,0.02027793,0.36388831,0.09981546,1.70799764,1.91240584,0.04506375,2.33794322
-5.86793397,4.66893562,0.02119613,0.36342340,0.10142370,1.72524616,1.93742524,0.04505339,2.36505966
-5.86193097,4.73129067,0.02225590,0.36356129,0.10358875,1.74614250,1.96768477,0.04531265,2.39684666
-5.85592796,4.80347463,0.02345051,0.36424742,0.10624923,1.77017874,2.00267684,0.04583715,2.43282818
-5.84992496,4.88423551,0.02477114,0.36541741,0.10933457,1.79679525,2.04181841,0.04661812,2.47243951
-5.84392196,4.97215731,0.02620676,0.36699781,0.11276666,1.82538912,2.08445609,0.04764245,2.51503253
-5.83791896,5.06567536,0.02774412,0.36890725,0.11646147,1.85532332,2.12987230,0.04889273,2.55988236
-5.83191596,5.16309496,0.02936773,0.37105790,0.12033090,1.88593672,2.17729257,0.05034749,2.60619582
-5.82591296,5.26261369,0.03105994,0.37335716,0.12428459,1.91655489,2.22589419,0.05198149,2.65312184
-5.81990995,5.36234781,0.03280107,0.37570972,0.12823182,1.94650177,2.27481656,0.05376620,2.69976408
-5.81390695,5.46036283,0.03456955,0.37801983,0.13208340,1.97511212,2.32317315,0.05567036,2.74519593
-5.80790395,5.55470841,0.03634228,0.38019377,0.13575356,2.00174464,2.37006540,0.05766070,2.78847777
-5.80190095,5.64345723,0.03809494,0.38214246,0.13916176,2.02579556,2.41459847,0.05970273,2.82867662
-5.79589795,5.72474734,0.03980246,0.38378416,0.14223446,2.04671240,2.45589876,0.06176165,2.86488766
-5.78989495,5.79682718,0.04143957,0.38504707,0.14490670,2.06400763,2.49313289,0.06380330,2.89625733
-5.78389195,5.85810190,0.04298135,0.38587192,0.14712359,2.07727169,2.52552790,0.06579512,2.92200729
-5.77788894,5.90717962,0.04440391,0.38621417,0.14884158,2.08618496,2.55239189,0.06770711,2.94145848
-5.77188594,5.94291585,0.04568503,0.38604603,0.15002945,2.09052823,2.57313462,0.06951269,2.95405424
-5.76588294,5.96445403,0.04680481,0.38535795,0.15066909,2.09019100,2.58728710,0.07118952,2.95938163
-5.75987994,5.97126036,0.04774634,0.38415964,0.15075594,2.08517736,2.59451943,0.07272007,2.95718972
-5.75387694,5.96315093,0.04849620,0.38248049,0.15029905,2.07560881,2.59465589,0.07409206,2.94740394
-5.74787394,5.94030943,0.04904494,0.38036934,0.14932091,2.06172387,2.58768643,0.07529870,2.93013554
-5.74187094,5.90329403,0.04938747,0.37789364,0.14785677,2.04387421,2.57377392,0.07633861,2.90568541
-5.73586793,5.85303248,0.04952321,0.37513790,0.14595369,2.02251727,2.55325630,0.07721560,2.87454177
-5.72986493,5.79080493,0.04945617,0.37220158,0.14366922,1.99820540,2.52664348,0.07793812,2.83737152
-5.72386193,5.71821475,0.04919483,0.36919639,0.14106979,1.97157194,2.49460863,0.07851856,2.79500527
