energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.29452139,0.02247800,0.53318172,1.53738244,0.41521322,1.92761144,1.53504301,0.04849015,1.72875257
-5.99399700,4.32396475,0.02223248,0.53723216,1.55787487,0.41496525,1.95197458,1.55643042,0.04889862,1.73935148
-5.98799400,4.37167390,0.02215428,0.54443217,1.58384445,0.41668152,1.98464700,1.58562609,0.04937818,1.75531276
-5.98199100,4.43725344,0.02223402,0.55463387,1.61550871,0.42047476,2.02514684,1.62250316,0.04992139,1.77660554
-5.97598799,4.52023076,0.02246090,0.56766525,1.65308883,0.42645312,2.07294063,1.66687749,0.05052112,1.80320628
-5.96998499,4.62006703,0.02282296,0.58333500,1.69680141,0.43471747,2.12745626,1.71851212,0.05117073,1.83509823
-5.96398199,4.73616534,0.02330722,0.60143718,1.74684827,0.44535833,2.18809470,1.77712169,0.05186410,1.87226904
-5.95797899,4.86787614,0.02389994,0.62175566,1.80340455,0.45845254,2.25424006,1.84237673,0.05259582,1.91470656
-5.95197599,5.01449998,0.02458676,0.64406814,1.86660580,0.47405974,2.32526798,1.91390776,0.05336117,1.96239321
-5.94597299,5.17528793,0.02535287,0.66814987,1.93653457,0.49221896,2.40055224,1.99130924,0.05415619,2.01529902
-5.93996998,5.34943980,0.02618322,0.69377680,2.01320707,0.51294518,2.47946974,2.07414315,0.05497761,2.07337380
-5.93396698,5.53610070,0.02706266,0.72072839,2.09656052,0.53622624,2.56140383,2.16194230,0.05582283,2.13653863
-5.92796398,5.73435616,0.02797619,0.74878980,2.18644177,0.56202011,2.64574623,2.25421316,0.05668982,2.20467713
-5.92196098,5.94322635,0.02890909,0.77775365,2.28259774,0.59025262,2.73189780,2.35043822,0.05757703,2.27762692
-5.91595798,6.16165982,0.02984717,0.80742117,2.38466802,0.62081574,2.81926835,2.45007786,0.05848323,2.35517153
-5.90995498,6.38852733,0.03077697,0.83760286,2.49218025,0.65356661,2.90727575,2.55257155,0.05940740,2.43703328
-5.90395198,6.62261623,0.03168594,0.86811868,2.60454843,0.68832723,2.99534481,2.65733874,0.06034855,2.52286749
-5.89794897,6.86262623,0.03256262,0.89879769,2.72107435,0.72488502,3.08290607,2.76377920,0.06130560,2.61225838
-5.89194597,7.10716696,0.03339684,0.92947742,2.84095248,0.76299426,3.16939493,2.87127324,0.06227727,2.70471699
-5.88594297,7.35475817,0.03417987,0.96000285,2.96327814,0.80237841,3.25425138,2.97918193,0.06326197,2.79968152
-5.87993997,7.60383324,0.03490445,0.99022529,3.08705895,0.84273337,3.33692058,3.08684761,0.06425770,2.89652023
-5.87393697,7.85274647,0.03556495,1.02000111,3.21122945,0.88373170,3.41685462,3.19359508,0.06526207,2.99453706
-5.86793397,8.09978487,0.03615733,1.04919069,3.33466843,0.92502771,3.49351547,3.29873378,0.06627230,3.09298013
-5.86193097,8.34318453,0.03667914,1.07765747,3.45621880,0.96626339,3.56637934,3.40156135,0.06728528,3.19105292
-5.85592796,8.58115197,0.03712944,1.10526749,3.57470927,1.00707502,3.63494243,3.50136875,0.06829768,3.28792808
-5.84992496,8.81189016,0.03750869,1.13188937,3.68897736,1.04710042,3.69872799,3.59744726,0.06930613,3.38276337
-5.84392196,9.03362880,0.03781859,1.15739488,3.79789312,1.08598651,3.75729451,3.68909743,0.07030740,3.47471940
-5.83791896,9.24465822,0.03806194,1.18166017,3.90038265,1.12339701,3.81024479,3.77563988,0.07129864,3.56297853
-5.83191596,9.44336578,0.03824240,1.20456761,3.99545075,1.15902004,3.85723559,3.85642791,0.07227763,3.64676419
-5.82591296,9.62827334,0.03836431,1.22600828,4.08220190,1.19257528,3.89798742,3.93086135,0.07324303,3.72535988
-5.81990995,9.79807455,0.03843245,1.24588492,4.15985882,1.22382040,3.93229393,3.99840144,0.07419462,3.79812703
-5.81390695,9.95166985,0.03845193,1.26411527,4.22777783,1.25255644,3.96003066,4.05858589,0.07513352,3.86452093
-5.80790395,10.08819785,0.03842790,1.28063558,4.28546057,1.27863196,3.98116230,4.11104353,0.07606235,3.92410394
-5.80190095,10.20706108,0.03836551,1.29540404,4.33256145,1.30194564,3.99574837,4.15550784,0.07698534,3.97655533
-5.79589795,10.30794480,0.03826974,1.30840401,4.36889070,1.32244713,4.00394667,4.19182846,0.07790837,4.02167736
