energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.08837018,-3.08835286,0.03467938,-0.03467871,0.25473124,-0.25473092,1.57151869,-1.57151073,0.62482813,-0.62482578,0.86480536,-0.86479898,0.18357962,-0.18357761,0.02920971,-0.02920936,1.65277935,-1.65276929
-5.99399700,3.14987856,-3.14986245,0.03716991,-0.03716926,0.25801974,-0.25801910,1.60362126,-1.60361495,0.62882905,-0.62882609,0.88630815,-0.88630261,0.19051496,-0.19051310,0.03053921,-0.03053888,1.69080308,-1.69079440
-5.98799400,3.20145850,-3.20144357,0.03958610,-0.03958548,0.26123674,-0.26123569,1.62777943,-1.62777485,0.63266317,-0.63265943,0.90392499,-0.90392040,0.19666955,-0.19666788,0.03178208,-0.03178177,1.72209485,-1.72208768
-5.98199100,3.24261121,-3.24259741,0.04189091,-0.04189032,0.26447930,-0.26447776,1.64361739,-1.64361458,0.63652743,-0.63652276,0.91734134,-0.91733776,0.20194962,-0.20194814,0.03291973,-0.03291945,1.74614364,-1.74613807
-5.97598799,3.27302907,-3.27301632,0.04404711,-0.04404657,0.26784461,-0.26784251,1.65092730,-1.65092626,0.64061917,-0.64061343,0.92632192,-0.92631942,0.20627802,-0.20627676,0.03393427,-0.03393403,1.76257211,-1.76256821
-5.96998499,3.29260291,-3.29259111,0.04601827,-0.04601779,0.27142590,-0.27142318,1.64967660,-1.64967730,0.64512838,-0.64512145,0.93071842,-0.93071702,0.20959652,-0.20959550,0.03480897,-0.03480876,1.77114841,-1.77114621
-5.96398199,3.30142200,-3.30141106,0.04776976,-0.04776935,0.27530809,-0.27530470,1.64000931,-1.64001168,0.65022948,-0.65022130,0.93047430,-0.93047401,0.21186740,-0.21186661,0.03552872,-0.03552856,1.77179331,-1.77179280
-5.95797899,3.29976675,-3.29975657,0.04926976,-0.04926942,0.27956333,-0.27955926,1.62224108,-1.62224501,0.65607293,-0.65606344,0.92562676,-0.92562757,0.21307435,-0.21307381,0.03608049,-0.03608037,1.76458236,-1.76458352
-5.95197599,3.28809419,-3.28808469,0.05049021,-0.05048996,0.28424660,-0.28424183,1.59684827,-1.59685364,0.66277682,-0.66276602,0.91630560,-0.91630747,0.21322269,-0.21322240,0.03645373,-0.03645366,1.74974297,-1.74974573
-5.94597299,3.26701715,-3.26700824,0.05140769,-0.05140753,0.28939151,-0.28938607,1.56445159,-1.56445824,0.67041909,-0.67040701,0.90272912,-0.90273199,0.21233886,-0.21233880,0.03664076,-0.03664074,1.72764650,-1.72765078
-5.93996998,3.23727782,-3.23726947,0.05200419,-0.05200412,0.29500665,-0.29500059,1.52579488,-1.52580264,0.67903052,-0.67901725,0.88519721,-0.88520102,0.21046913,-0.21046930,0.03663699,-0.03663703,1.69879581,-1.69880149
