energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.14227119,-2.16668155,0.70286557,-0.70508885,0.53472056,-0.53842350,0.01138276,-0.01234666,0.06699295,-0.06265049,0.55492780,-0.54001481,0.31992152,-0.32536541,0.04205069,-0.04570732,1.06330293,-1.07863453
-5.99399700,2.10507128,-2.13813930,0.69691633,-0.70199225,0.52920644,-0.53582444,0.01064545,-0.01164229,0.06777745,-0.06379205,0.55885931,-0.54638207,0.31224573,-0.31880783,0.03893082,-0.04265495,1.04420116,-1.06355630
-5.98799400,2.06313436,-2.10467221,0.68935163,-0.69736032,0.52204292,-0.53154895,0.00989136,-0.01090747,0.06829682,-0.06470567,0.56121287,-0.55140865,0.30403504,-0.31167051,0.03580976,-0.03954847,1.02293672,-1.04621698
-5.98199100,2.01682291,-2.06660470,0.68018017,-0.69118340,0.51331069,-0.52564809,0.00913127,-0.01015331,0.06854301,-0.06537850,0.56189665,-0.55497924,0.29535044,-0.30401407,0.03272747,-0.03643180,0.99968079,-1.02677619
-5.97598799,1.96648414,-2.02424297,0.66941249,-0.68344888,0.50309826,-0.51818120,0.00837531,-0.00939068,0.06851103,-0.06580006,0.56082962,-0.55698249,0.28624723,-0.29589240,0.02971974,-0.03334563,0.97459249,-1.00537934
-5.96998499,1.91244998,-1.97787381,0.65706365,-0.67414383,0.49150086,-0.50921502,0.00763278,-0.00862985,0.06819897,-0.06596241,0.55794507,-0.55731490,0.27677555,-0.28735297,0.02681765,-0.03032660,0.94781968,-0.98215755
-5.96398199,1.85503922,-1.92776617,0.64315611,-0.66325836,0.47861954,-0.49882317,0.00691192,-0.00788033,0.06760818,-0.06586040,0.55319397,-0.55588506,0.26698133,-0.27843760,0.02404720,-0.02740674,0.91950078,-0.95722921
-5.95797899,1.79456113,-1.87417495,0.62772261,-0.65078923,0.46456051,-0.48708591,0.00621979,-0.00715059,0.06674323,-0.06549181,0.54654805,-0.55261774,0.25690730,-0.26918359,0.02142920,-0.02461308,0.88976753,-0.93070264
-5.95197599,1.73132018,-1.81734655,0.61080886,-0.63674351,0.44943464,-0.47409003,0.00556219,-0.00644800,0.06561197,-0.06485748,0.53800236,-0.54745780,0.24659416,-0.25962503,0.01897927,-0.02196743,0.85874814,-0.90267972
-5.94597299,1.66562125,-1.75752542,0.59247578,-0.62114212,0.43335706,-0.45992893,0.00494366,-0.00577864,0.06422542,-0.06396141,0.52757730,-0.54037355,0.23608182,-0.24979426,0.01670808,-0.01948643,0.82657073,-0.87325999
