energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.61264719,0.00849286,0.03919549,0.12136776,0.06826346,0.02154223,0.31785840,0.08047097,0.05938066
-5.99399700,0.64464218,0.00950101,0.04144987,0.12354422,0.07438512,0.02404691,0.33524034,0.08858530,0.06034676
-5.98799400,0.68671299,0.01058288,0.04443636,0.12764328,0.08162999,0.02685074,0.35771939,0.09825047,0.06227870
-5.98199100,0.73873021,0.01172898,0.04821060,0.13354891,0.08997600,0.02995538,0.38512540,0.10952415,0.06519264
-5.97598799,0.80049266,0.01292770,0.05282700,0.14113187,0.09939045,0.03335794,0.41724569,0.12246248,0.06909933
-5.96998499,0.87172679,0.01416552,0.05833767,0.15025132,0.10982979,0.03705051,0.45382626,0.13711991,0.07400378
-5.96398199,0.95208752,0.01542724,0.06479152,0.16075675,0.12123970,0.04101991,0.49457399,0.15354940,0.07990521
-5.95797899,1.04116097,0.01669632,0.07223324,0.17249024,0.13355538,0.04524746,0.53915989,0.17180295,0.08679688
-5.95197599,1.13846934,0.01795534,0.08070247,0.18528922,0.14670227,0.04970896,0.58722375,0.19193251,0.09466622
-5.94597299,1.24347823,0.01918656,0.09023306,0.19898955,0.16059711,0.05437479,0.63838008,0.21399133,0.10349486
-5.93996998,1.35560658,0.02037248,0.10085241,0.21342909,0.17514934,0.05921020,0.69222555,0.23803572,0.11325905
-5.93396698,1.47423933,0.02149657,0.11258106,0.22845160,0.19026304,0.06417570,0.74834791,0.26412718,0.12393005
-5.92796398,1.59874272,0.02254396,0.12543248,0.24391101,0.20583915,0.06922768,0.80633615,0.29233477,0.13547483
-5.92196098,1.72848201,0.02350212,0.13941311,0.25967582,0.22177814,0.07431914,0.86579180,0.32273782,0.14785702
-5.91595798,1.86284128,0.02436155,0.15452264,0.27563367,0.23798291,0.07940062,0.92634114,0.35542851,0.16103794
-5.90995498,2.00124474,0.02511644,0.17075465,0.29169571,0.25436198,0.08442123,0.98764777,0.39051442,0.17497800
-5.90395198,2.14317884,0.02576513,0.18809744,0.30780086,0.27083273,0.08932979,1.04942532,0.42812062,0.18963816
-5.89794897,2.28821422,0.02631056,0.20653505,0.32391949,0.28732465,0.09407609,1.11144953,0.46839113,0.20498163
-5.89194597,2.43602653,0.02676049,0.22604857,0.34005655,0.30378244,0.09861219,1.17356936,0.51148945,0.22097556
-5.88594297,2.58641495,0.02712763,0.24661739,0.35625380,0.32016872,0.10289374,1.23571636,0.55759773,0.23759277
-5.87993997,2.73931703,0.02742949,0.26822044,0.37259105,0.33646631,0.10688129,1.29791171,0.60691461,0.25481329
-5.87393697,2.89481873,0.02768811,0.29083728,0.38918621,0.35267977,0.11054148,1.36027043,0.65965100,0.27262576
-5.86793397,3.05315825,0.02792956,0.31444884,0.40619396,0.36883618,0.11384821,1.42300207,0.71602409,0.29102834
