energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.75286869,0.16464960,0.29452502,0.00042377,0.07115140,0.00586508,0.11881709
-5.99399700,0.71494969,0.15821692,0.27255231,0.00033981,0.07170846,0.00576524,0.10813137
-5.98799400,0.67878450,0.15209118,0.25200885,0.00027102,0.07204113,0.00565453,0.09831636
-5.98199100,0.64424963,0.14620852,0.23289374,0.00021497,0.07210618,0.00553054,0.08936801
-5.97598799,0.61120995,0.14050751,0.21518432,0.00016958,0.07186813,0.00539139,0.08127008
-5.96998499,0.57953076,0.13493206,0.19884125,0.00013303,0.07130032,0.00523578,0.07399635
-5.96398199,0.54908851,0.12943382,0.18381362,0.00010378,0.07038564,0.00506306,0.06751299
-5.95797899,0.51977944,0.12397401,0.17004356,0.00008050,0.06911695,0.00487329,0.06178078
-5.95197599,0.49152617,0.11852473,0.15747038,0.00006210,0.06749700,0.00466717,0.05675720
-5.94597299,0.46428167,0.11306962,0.14603388,0.00004764,0.06553809,0.00444601,0.05239832
-5.93996998,0.43803082,0.10760391,0.13567687,0.00003635,0.06326138,0.00421171,0.04866027
-5.93396698,0.41278958,0.10213391,0.12634679,0.00002759,0.06069587,0.00396661,0.04550048
-5.92796398,0.38860204,0.09667597,0.11799654,0.00002084,0.05787724,0.00371341,0.04287847
-5.92196098,0.36553560,0.09125506,0.11058440,0.00001567,0.05484644,0.00345507,0.04075631
-5.91595798,0.34367477,0.08590302,0.10407339,0.00001174,0.05164822,0.00319471,0.03909864
-5.90995498,0.32311409,0.08065658,0.09842996,0.00000876,0.04832967,0.00293543,0.03787252
-5.90395198,0.30395058,0.07555535,0.09362239,0.00000654,0.04493871,0.00268032,0.03704694
-5.89794897,0.28627624,0.07063973,0.08961892,0.00000488,0.04152278,0.00243227,0.03659212
-5.89194597,0.27017104,0.06594909,0.08638580,0.00000366,0.03812759,0.00219399,0.03647881
-5.88594297,0.25569688,0.06152004,0.08388550,0.00000277,0.03479609,0.00196790,0.03667745
-5.87993997,0.24289263,0.05738505,0.08207513,0.00000212,0.03156771,0.00175614,0.03715747
-5.87393697,0.23177079,0.05357143,0.08090527,0.00000166,0.02847769,0.00156057,0.03788659
-5.86793397,0.22231565,0.05010068,0.08031917,0.00000134,0.02555683,0.00138274,0.03883043
-5.86193097,0.21448317,0.04698817,0.08025264,0.00000112,0.02283126,0.00122396,0.03995218
-5.85592796,0.20820248,0.04424331,0.08063426,0.00000097,0.02032260,0.00108534,0.04121268
-5.84992496,0.20337887,0.04186997,0.08138635,0.00000088,0.01804821,0.00096783,0.04257062
-5.84392196,0.19989815,0.03986729,0.08242627,0.00000082,0.01602154,0.00087229,0.04398305
-5.83791896,0.19763202,0.03823067,0.08366824,0.00000079,0.01425272,0.00079958,0.04540613
-5.83191596,0.19644422,0.03695299,0.08502550,0.00000078,0.01274908,0.00075057,0.04679605
-5.82591296,0.19619705,0.03602589,0.08641265,0.00000078,0.01151582,0.00072629,0.04811012
-5.81990995,0.19675803,0.03544106,0.08774814,0.00000078,0.01055655,0.00072788,0.04930790
-5.81390695,0.19800614,0.03519156,0.08895674,0.00000079,0.00987388,0.00075675,0.05035241
-5.80790395,0.19983748,0.03527285,0.08997180,0.00000080,0.00946986,0.00081452,0.05121122
-5.80190095,0.20216995,0.03568374,0.09073733,0.00000081,0.00934638,0.00090306,0.05185749
-5.79589795,0.20494671,0.03642696,0.09120961,0.00000082,0.00950534,0.00102454,0.05227083
-5.78989495,0.20813821,0.03750953,0.09135842,0.00000082,0.00994881,0.00118131,0.05243784
-5.78389195,0.21174259,0.03894262,0.09116762,0.00000082,0.01067893,0.00137593,0.05235254
-5.77788894,0.21578460,0.04074120,0.09063528,0.00000081,0.01169770,0.00161109,0.05201634
-5.77188594,0.22031269,0.04292317,0.08977318,0.00000080,0.01300665,0.00188947,0.05143790
-5.76588294,0.22539480,0.04550824,0.08860575,0.00000079,0.01460636,0.00221368,0.05063252
-5.75987994,0.23111268,0.04851645,0.08716847,0.00000077,0.01649586,0.00258612,0.04962140
-5.75387694,0.23755517,0.05196643,0.08550597,0.00000075,0.01867201,0.00300880,0.04843062
-5.74787394,0.24481069,0.05587346,0.08366963,0.00000072,0.02112877,0.00348320,0.04708996
-5.74187094,0.25295930,0.06024746,0.08171504,0.00000070,0.02385652,0.00401013,0.04563161
-5.73586793,0.26206478,0.06509094,0.07969938,0.00000067,0.02684136,0.00458951,0.04408879
-5.72986493,0.27216698,0.07039703,0.07767876,0.00000064,0.03006456,0.00522026,0.04249448
-5.72386193,0.28327500,0.07614779,0.07570572,0.00000061,0.03350204,0.00590011,0.04088012
-5.71785893,0.29536148,0.08231266,0.07382702,0.00000057,0.03712409,0.00662553,0.03927452
-5.71185593,0.30835834,0.08884751,0.07208166,0.00000054,0.04089521,0.00739160,0.03770289
-5.70585293,0.32215424,0.09569403,0.07049948,0.00000051,0.04477423,0.00819200,0.03618616
-5.69984992,0.33659394,0.10277972,0.06910011,0.00000048,0.04871462,0.00901897,0.03474047
-5.69384692,0.35147970,0.11001845,0.06789245,0.00000045,0.05266508,0.00986339,0.03337692
-5.68784392,0.36657469,0.11731169,0.06687471,0.00000042,0.05657032,0.01071488,0.03210163
-5.68184092,0.38160832,0.12455033,0.06603486,0.00000040,0.06037221,0.01156198,0.03091593
-5.67583792,0.39628340,0.13161697,0.06535157,0.00000037,0.06401093,0.01239232,0.02981684
-5.66983492,0.41028468,0.13838892,0.06479556,0.00000035,0.06742650,0.01319297,0.02879763
-5.66383192,0.42328870,0.14474137,0.06433116,0.00000033,0.07056026,0.01395069,0.02784862
-5.65782891,0.43497425,0.15055108,0.06391827,0.00000031,0.07335654,0.01465232,0.02695796
