energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.89901298,1.29837305,0.63282047,0.00596195,0.41964980,1.06920059,0.67768290,0.00982425,2.07761975
-5.99399700,3.84869270,1.29200105,0.62518480,0.00614634,0.40662821,1.05798769,0.66600749,0.00947395,2.06313189
-5.98799400,3.79536891,1.28428120,0.61730774,0.00633311,0.39349021,1.04464240,0.65433966,0.00910377,2.04644332
-5.98199100,3.73939875,1.27530244,0.60927314,0.00651753,0.38028246,1.02933685,0.64270169,0.00871493,2.02772825
-5.97598799,3.68124187,1.26518653,0.60117415,0.00669476,0.36706848,1.01228327,0.63113007,0.00830937,2.00721843
-5.96998499,3.62143083,1.25407885,0.59310907,0.00685995,0.35392284,0.99372259,0.61967150,0.00788968,1.98518968
-5.96398199,3.56054001,1.24213862,0.58517701,0.00700840,0.34092524,0.97391248,0.60837872,0.00745903,1.96194721
-5.95797899,3.49915490,1.22952913,0.57747375,0.00713561,0.32815475,0.95311526,0.59730648,0.00702097,1.93781083
-5.95197599,3.43784356,1.21640849,0.57008806,0.00723744,0.31568467,0.93158658,0.58650787,0.00657936,1.91310060
-5.94597299,3.37713163,1.20292154,0.56309846,0.00731018,0.30357812,0.90956522,0.57603118,0.00613820,1.88812396
-5.93996998,3.31748215,1.18919327,0.55657076,0.00735067,0.29188466,0.88726474,0.56591761,0.00570152,1.86316466
-5.93396698,3.25928094,1.17532406,0.55055641,0.00735640,0.28063805,0.86486711,0.55619961,0.00527327,1.83847416
-5.92796398,3.20282796,1.16138703,0.54509162,0.00732553,0.26985518,0.84251877,0.54690016,0.00485722,1.81426572
-5.92196098,3.14833474,1.14742748,0.54019737,0.00725702,0.25953621,0.82032911,0.53803279,0.00445686,1.79071123
-5.91595798,3.09592757,1.13346436,0.53588013,0.00715060,0.24966572,0.79837133,0.52960237,0.00407540,1.76794089
-5.90995498,3.04565577,1.11949357,0.53213328,0.00700681,0.24021487,0.77668554,0.52160639,0.00371569,1.74604532
-5.90395198,2.99750410,1.10549281,0.52893906,0.00682699,0.23114429,0.75528370,0.51403679,0.00338021,1.72507987
-5.89794897,2.95140826,1.09142750,0.52627087,0.00661321,0.22240744,0.73415609,0.50688196,0.00307111,1.70507064
-5.89194597,2.90727220,1.07725744,0.52409581,0.00636823,0.21395437,0.71327866,0.50012892,0.00279021,1.68602158
-5.88594297,2.86498589,1.06294347,0.52237729,0.00609543,0.20573539,0.69262092,0.49376530,0.00253903,1.66792214
-5.87993997,2.82444237,1.04845400,0.52107746,0.00579867,0.19770465,0.67215357,0.48778119,0.00231886,1.65075491
-5.87393697,2.78555282,1.03377049,0.52015948,0.00548220,0.18982330,0.65185564,0.48217053,0.00213075,1.63450249
-5.86793397,2.74825877,1.01889201,0.51958933,0.00515052,0.18206198,0.63172041,0.47693199,0.00197562,1.61915342
-5.86193097,2.71254059,1.00383801,0.51933717,0.00480826,0.17440277,0.61175995,0.47206941,0.00185426,1.60470634
-5.85592796,2.67842178,0.98864967,0.51937821,0.00446006,0.16684020,0.59200781,0.46759149,0.00176736,1.59117253
-5.84992496,2.64596887,0.97338919,0.51969296,0.00411043,0.15938149,0.57251988,0.46351101,0.00171553,1.57857633
-5.84392196,2.61528693,0.95813751,0.52026702,0.00376364,0.15204603,0.55337336,0.45984348,0.00169934,1.56695360
-5.83791896,2.58651103,0.94299034,0.52109021,0.00342364,0.14486400,0.53466383,0.45660533,0.00171923,1.55634827
-5.83191596,2.55979429,0.92805279,0.52215541,0.00309396,0.13787448,0.51650080,0.45381171,0.00177557,1.54680721
-5.82591296,2.53529316,0.91343307,0.52345690,0.00277766,0.13112292,0.49900190,0.45147416,0.00186853,1.53837380
-5.81990995,2.51315099,0.89923543,0.52498855,0.00247730,0.12465835,0.48228624,0.44959808,0.00199811,1.53108059
-5.81390695,2.49348082,0.88555302,0.52674171,0.00219490,0.11853039,0.46646728,0.44818035,0.00216397,1.52494151
-5.80790395,2.47634846,0.87246093,0.52870328,0.00193194,0.11278617,0.45164564,0.44720714,0.00236546,1.51994419
-5.80190095,2.46175702,0.86000991,0.53085367,0.00168940,0.10746755,0.43790237,0.44665205,0.00260143,1.51604292
-5.79589795,2.44963364,0.84822123,0.53316510,0.00146775,0.10260849,0.42529312,0.44647472,0.00287027,1.51315268
-5.78989495,2.43981950,0.83708285,0.53560021,0.00126704,0.09823294,0.41384337,0.44662007,0.00316972,1.51114467
-5.78389195,2.43206364,0.82654727,0.53811106,0.00108693,0.09435322,0.40354528,0.44701812,0.00349691,1.50984384
-5.77788894,2.42602115,0.81653124,0.54063863,0.00092672,0.09096905,0.39435603,0.44758454,0.00384827,1.50902852
-5.77188594,2.42125598,0.80691723,0.54311289,0.00078547,0.08806710,0.38619807,0.44822189,0.00421954,1.50843237
-5.76588294,2.41724838,0.79755678,0.54545349,0.00066202,0.08562125,0.37896097,0.44882162,0.00460577,1.50774879
-5.75987994,2.41340694,0.78827554,0.54757095,0.00055506,0.08359344,0.37250493,0.44926662,0.00500136,1.50663754
-5.75387694,2.40908455,0.77887969,0.54936860,0.00046316,0.08193500,0.36666579,0.44943443,0.00540016,1.50473359
-5.74787394,2.40359796,0.76916359,0.55074484,0.00038488,0.08058850,0.36126111,0.44920084,0.00579555,1.50165765
-5.74187094,2.39625000,0.75891813,0.55159610,0.00031875,0.07948989,0.35609721,0.44844389,0.00618060,1.49702823
-5.73586793,2.38635352,0.74793954,0.55181999,0.00026335,0.07857093,0.35097660,0.44704801,0.00654821,1.49047455
-5.72986493,2.37325621,0.73603815,0.55131877,0.00021732,0.07776171,0.34570565,0.44490824,0.00689131,1.48164987
-5.72386193,2.35636506,0.72304666,0.55000301,0.00017936,0.07699322,0.34010198,0.44193425,0.00720305,1.47024464
-5.71785893,2.33516944,0.70882768,0.54779508,0.00014829,0.07619973,0.33400123,0.43805414,0.00747702,1.45599884
-5.71185593,2.30926189,0.69328003,0.54463258,0.00012305,0.07532103,0.32726305,0.43321773,0.00770740,1.43871304
-5.70585293,2.27835549,0.67634360,0.54047132,0.00010268,0.07430434,0.31977593,0.42739925,0.00788921,1.41825750
-5.69984992,2.24229722,0.65800259,0.53528787,0.00008632,0.07310586,0.31146066,0.42059936,0.00801840,1.39457905
-5.69384692,2.20107655,0.63828691,0.52908140,0.00007323,0.07169192,0.30227248,0.41284629,0.00809204,1.36770529
-5.68784392,2.15482883,0.61727177,0.52187482,0.00006280,0.07003962,0.29220172,0.40419613,0.00810842,1.33774576
-5.68184092,2.10383334,0.59507547,0.51371498,0.00005449,0.06813706,0.28127301,0.39473218,0.00806706,1.30489022
-5.67583792,2.04850600,0.57185549,0.50467200,0.00004786,0.06598320,0.26954322,0.38456341,0.00796875,1.26940379
-5.66983492,1.98938697,0.54780317,0.49483765,0.00004254,0.06358715,0.25709818,0.37382196,0.00781553,1.23161922
-5.66383192,1.92712354,0.52313703,0.48432283,0.00003825,0.06096726,0.24404848,0.36265991,0.00761059,1.19192665
-5.65782891,1.86244920,0.49809534,0.47325413,0.00003476,0.05814987,0.23052455,0.35124526,0.00735819,1.15076100
-5.65182591,1.79615945,0.47292791,0.46176978,0.00003188,0.05516778,0.21667129,0.33975733,0.00706346,1.10858776
-5.64582291,1.72908553,0.44788780,0.45001489,0.00002949,0.05205869,0.20264244,0.32838177,0.00673226,1.06588765
-5.63981991,1.66206710,0.42322306,0.43813644,0.00002749,0.04886348,0.18859507,0.31730521,0.00637099,1.02314073
-5.63381691,1.59592484,0.39916887,0.42627800,0.00002582,0.04562455,0.17468431,0.30670984,0.00598636,0.98081075
-5.62781391,1.53143428,0.37594055,0.41457456,0.00002442,0.04238428,0.16105860,0.29676812,0.00558521,0.93933031
-5.62181091,1.46930179,0.35372746,0.40314770,0.00002328,0.03918356,0.14785556,0.28763765,0.00517429,0.89908752
-5.61580790,1.41014360,0.33268819,0.39210131,0.00002239,0.03606056,0.13519864,0.27945650,0.00476009,0.86041463
-5.60980490,1.35446887,0.31294707,0.38151804,0.00002173,0.03304976,0.12319463,0.27233917,0.00434868,0.82357929
-5.60380190,1.30266720,0.29459221,0.37145674,0.00002132,0.03018120,0.11193198,0.26637310,0.00394557,0.78877860
-5.59779890,1.25500113,0.27767498,0.36195100,0.00002117,0.02747999,0.10148011,0.26161617,0.00355562,0.75613624
-5.59179590,1.21160386,0.26221097,0.35300885,0.00002127,0.02496614,0.09188938,0.25809488,0.00318296,0.72570293
