energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.73130911,0.11752599,1.23180612,0.14754826,0.07625652,0.01145202,0.02689513,0.21709970
-5.99399700,1.65614858,0.11371701,1.15421217,0.15399245,0.07154976,0.01119637,0.02612409,0.21945417
-5.98799400,1.58083936,0.10982743,1.07677341,0.16020331,0.06675107,0.01094446,0.02533398,0.22165185
-5.98199100,1.50640574,0.10592861,1.00047453,0.16610058,0.06193448,0.01070246,0.02453917,0.22369270
-5.97598799,1.43374806,0.10208448,0.92620219,0.17160061,0.05716888,0.01047563,0.02375221,0.22556639
-5.96998499,1.36362828,0.09835071,0.85472906,0.17661844,0.05251679,0.01026829,0.02298356,0.22725332
-5.96398199,1.29666293,0.09477437,0.78670311,0.18107025,0.04803338,0.01008389,0.02224153,0.22872647
-5.95797899,1.23332330,0.09139414,0.72264251,0.18487586,0.04376594,0.00992505,0.02153228,0.22995400
-5.95197599,1.17394245,0.08824102,0.66293575,0.18796157,0.03975359,0.00979376,0.02085999,0.23090239
-5.94597299,1.11872803,0.08533937,0.60784638,0.19026281,0.03602737,0.00969156,0.02022716,0.23154009
-5.93996998,1.06777972,0.08270837,0.55752195,0.19172681,0.03261048,0.00961978,0.01963489,0.23184131
-5.93396698,1.02111007,0.08036354,0.51200601,0.19231499,0.02951884,0.00957979,0.01908337,0.23178986
-5.92796398,0.97866706,0.07831843,0.47125254,0.19200501,0.02676171,0.00957324,0.01857221,0.23138265
-5.92196098,0.94035709,0.07658621,0.43514152,0.19079237,0.02434243,0.00960230,0.01810099,0.23063278
-5.91595798,0.90606685,0.07518107,0.40349511,0.18869149,0.02225922,0.00966986,0.01766955,0.22957193
-5.90995498,0.87568280,0.07411945,0.37609329,0.18573606,0.02050597,0.00977966,0.01727841,0.22825179
-5.90395198,0.84910729,0.07342076,0.35268838,0.18197890,0.01907297,0.00993637,0.01692900,0.22674457
-5.89794897,0.82627041,0.07310788,0.33301786,0.17749100,0.01794759,0.01014561,0.01662385,0.22514233
-5.89194597,0.80713716,0.07320703,0.31681506,0.17235997,0.01711489,0.01041389,0.01636662,0.22355514
-5.88594297,0.79170965,0.07374732,0.30381750,0.16668783,0.01655808,0.01074842,0.01616210,0.22210819
-5.87993997,0.78002456,0.07475983,0.29377276,0.16058834,0.01625899,0.01115692,0.01601600,0.22093780
-5.87393697,0.77214605,0.07627626,0.28644203,0.15418380,0.01619829,0.01164731,0.01593474,0.22018656
-5.86793397,0.76815496,0.07832739,0.28160145,0.14760158,0.01635579,0.01222739,0.01592506,0.21999774
-5.86193097,0.76813497,0.08094120,0.27904159,0.14097048,0.01671058,0.01290440,0.01599361,0.22050926
-5.85592796,0.77215674,0.08414104,0.27856542,0.13441702,0.01724114,0.01368466,0.01614652,0.22184746
-5.84992496,0.78026119,0.08794367,0.27998522,0.12806190,0.01792543,0.01457316,0.01638889,0.22412096
-5.84392196,0.79244285,0.09235760,0.28311876,0.12201665,0.01874098,0.01557319,0.01672431,0.22741489
-5.83791896,0.80863446,0.09738162,0.28778532,0.11638070,0.01966494,0.01668603,0.01715444,0.23178582
-5.83191596,0.82869385,0.10300374,0.29380176,0.11123898,0.02067419,0.01791071,0.01767862,0.23725764
-5.82591296,0.85239380,0.10920064,0.30097912,0.10666003,0.02174543,0.01924385,0.01829357,0.24381855
-5.81990995,0.87941584,0.11593771,0.30911995,0.10269481,0.02285531,0.02067966,0.01899322,0.25141951
-5.81390695,0.90934818,0.12316961,0.31801659,0.09937619,0.02398065,0.02221002,0.01976863,0.25997409
-5.80790395,0.94168838,0.13084157,0.32745050,0.09671908,0.02509858,0.02382469,0.02060804,0.26935993
-5.80190095,0.97585048,0.13889118,0.33719286,0.09472128,0.02618681,0.02551166,0.02149709,0.27942165
-5.79589795,1.01117675,0.14725082,0.34700619,0.09336489,0.02722388,0.02725763,0.02241910,0.28997534
-5.78989495,1.04695337,0.15585046,0.35664714,0.09261820,0.02818944,0.02904851,0.02335554,0.30081431
-5.78389195,1.08242959,0.16462080,0.36587018,0.09243811,0.02906453,0.03087006,0.02428660,0.31171586
-5.77788894,1.11683961,0.17349649,0.37443217,0.09277276,0.02983187,0.03270858,0.02519173,0.32244904
-5.77188594,1.14942608,0.18241941,0.38209743,0.09356436,0.03047616,0.03455150,0.02605042,0.33278279
-5.76588294,1.17946442,0.19134161,0.38864325,0.09475208,0.03098434,0.03638802,0.02684286,0.34249433
-5.75987994,1.20628675,0.20022790,0.39386547,0.09627484,0.03134583,0.03820967,0.02755068,0.35137731
-5.75387694,1.22930440,0.20905773,0.39758396,0.09807388,0.03155280,0.04001066,0.02815759,0.35924941
-5.74787394,1.24802797,0.21782632,0.39964770,0.10009506,0.03160030,0.04178821,0.02865005,0.36595914
-5.74187094,1.26208411,0.22654493,0.39993925,0.10229068,0.03148642,0.04354255,0.02901775,0.37139136
-5.73586793,1.27122809,0.23523999,0.39837842,0.10462087,0.03121238,0.04527688,0.02925409,0.37547144
-5.72986493,1.27535187,0.24395137,0.39492494,0.10705448,0.03078259,0.04699701,0.02935637,0.37816779
-5.72386193,1.27448699,0.25272953,0.38958003,0.10956943,0.03020458,0.04871081,0.02932605,0.37949277
-5.71785893,1.26880251,0.26163182,0.38238668,0.11215249,0.02948900,0.05042759,0.02916868,0.37950183
-5.71185593,1.25859790,0.27071808,0.37342882,0.11479876,0.02864940,0.05215719,0.02889377,0.37829102
-5.70585293,1.24429135,0.28004567,0.36282914,0.11751054,0.02770212,0.05390905,0.02851454,0.37599309
-5.69984992,1.22640414,0.28966427,0.35074582,0.12029609,0.02666600,0.05569120,0.02804747,0.37277220
-5.69384692,1.20554171,0.29961074,0.33736819,0.12316806,0.02556213,0.05750930,0.02751186,0.36881777
-5.68784392,1.18237249,0.30990429,0.32291154,0.12614191,0.02441348,0.05936566,0.02692919,0.36433753
-5.68184092,1.15760528,0.32054232,0.30761121,0.12923424,0.02324457,0.06125847,0.02632252,0.35955026
-5.67583792,1.13196632,0.33149722,0.29171625,0.13246135,0.02208104,0.06318118,0.02571576,0.35467848
-5.66983492,1.10617696,0.34271429,0.27548277,0.13583793,0.02094927,0.06512209,0.02513305,0.34994145
-5.66383192,1.08093270,0.35411107,0.25916737,0.13937601,0.01987587,0.06706427,0.02459804,0.34554863
