energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.86992553,0.14021701,0.00744462,0.59776864,1.49793159,1.48738639,0.00000000
-5.99399700,3.04237487,0.15217223,0.00781919,0.63038154,1.58992284,1.58264806,0.00000000
-5.98799400,3.21570329,0.16458657,0.00818855,0.66312663,1.68244751,1.67738850,0.00000000
-5.98199100,3.38811975,0.17739439,0.00854630,0.69563688,1.77460030,1.77070897,0.00000000
-5.97598799,3.55807229,0.19053393,0.00888666,0.72760704,1.86559813,1.86182162,0.00000000
-5.96998499,3.72430194,0.20395018,0.00920461,0.75880543,1.95480810,1.95007136,0.00000000
-5.96398199,3.88588600,0.21759772,0.00949610,0.78908292,2.04177006,2.03495275,0.00000000
-5.95797899,4.04226833,0.23144333,0.00975808,0.81837858,2.12621269,2.11612077,0.00000000
-5.95197599,4.19327512,0.24546818,0.00998863,0.84672158,2.20806207,2.19339502,0.00000000
-5.94597299,4.33911508,0.25966953,0.01018693,0.87422930,2.28744239,2.26675699,0.00000000
-5.93996998,4.48036361,0.27406182,0.01035329,0.90110146,2.36466837,2.33634054,0.00000000
-5.93396698,4.61793134,0.28867687,0.01048906,0.92761054,2.44022966,2.40241579,0.00000000
-5.92796398,4.75301817,0.30356336,0.01059655,0.95408883,2.51476767,2.46536747,0.00000000
-5.92196098,4.88705436,0.31878527,0.01067888,0.98091258,2.58904560,2.52566847,0.00000000
-5.91595798,5.02163123,0.33441941,0.01073982,1.00848388,2.66391301,2.58384997,0.00000000
-5.90995498,5.15842416,0.35055204,0.01078367,1.03721121,2.74026610,2.64046955,0.00000000
-5.90395198,5.29911103,0.36727460,0.01081499,1.06748923,2.81900540,2.69607869,0.00000000
-5.89794897,5.44528954,0.38467876,0.01083850,1.09967900,2.90099251,2.75119124,0.00000000
-5.89194597,5.59839681,0.40285078,0.01085886,1.13408919,2.98700770,2.80625412,0.00000000
-5.88594297,5.75963449,0.42186563,0.01088055,1.17095940,3.07770989,2.86162159,0.00000000
-5.87993997,5.92990255,0.44178088,0.01090771,1.21044610,3.17360075,2.91753399,0.00000000
-5.87393697,6.10974436,0.46263080,0.01094403,1.25261191,3.27499424,2.97410191,0.00000000
-5.86793397,6.29930537,0.48442082,0.01099273,1.29741871,3.38199285,3.03129613,0.00000000
-5.86193097,6.49830699,0.50712279,0.01105649,1.34472481,3.49447148,3.08894376,0.00000000
-5.85592796,6.70603688,0.53067114,0.01113742,1.39428639,3.61206961,3.14673034,0.00000000
-5.84992496,6.92135609,0.55496036,0.01123715,1.44576312,3.73419218,3.20420799,0.00000000
-5.84392196,7.14272275,0.57984395,0.01135685,1.49872777,3.86001919,3.26080880,0.00000000
-5.83791896,7.36823173,0.60513492,0.01149727,1.55267941,3.98852385,3.31586319,0.00000000
-5.83191596,7.59566872,0.63060805,0.01165890,1.60705967,4.11849858,3.36862215,0.00000000
-5.82591296,7.82257670,0.65600391,0.01184200,1.66127144,4.24858820,3.41828275,0.00000000
-5.81990995,8.04633258,0.68103445,0.01204671,1.71469914,4.37732895,3.46401586,0.00000000
-5.81390695,8.26423074,0.70539023,0.01227317,1.76672987,4.50319221,3.50499512,0.00000000
-5.80790395,8.47357065,0.72874883,0.01252154,1.81677444,4.62463106,3.54042609,0.00000000
-5.80190095,8.67174473,0.75078427,0.01279204,1.86428744,4.74012818,3.56957474,0.00000000
-5.79589795,8.85632333,0.77117715,0.01308503,1.90878547,4.84824310,3.59179407,0.00000000
-5.78989495,9.02513299,0.78962487,0.01340095,1.94986278,4.94765711,3.60654817,0.00000000
-5.78389195,9.17632507,0.80585174,0.01374028,1.98720356,5.03721376,3.61343272,0.00000000
-5.77788894,9.30843166,0.81961840,0.01410351,2.02059037,5.11595366,3.61219127,0.00000000
-5.77188594,9.42040658,0.83073021,0.01449100,2.04990838,5.18314190,3.60272665,0.00000000
-5.76588294,9.51164966,0.83904418,0.01490288,2.07514510,5.23828696,3.58510713,0.00000000
-5.75987994,9.58201341,0.84447411,0.01533893,2.09638577,5.28115064,3.55956701,0.00000000
-5.75387694,9.63179201,0.84699382,0.01579842,2.11380450,5.31174826,3.52650164,0.00000000
-5.74787394,9.66169323,0.84663816,0.01627998,2.12765181,5.33033965,3.48645701,0.00000000
-5.74187094,9.67279493,0.84350189,0.01678148,2.13823894,5.33741113,3.44011433,0.00000000
-5.73586793,9.66648835,0.83773630,0.01729992,2.14591998,5.33364974,3.38827013,0.00000000
-5.72986493,9.64441113,0.82954398,0.01783137,2.15107259,5.31991085,3.33181271,0.00000000
-5.72386193,9.60837340,0.81917173,0.01837094,2.15407827,5.29718095,3.27169592,0.00000000
-5.71785893,9.56028062,0.80690202,0.01891276,2.15530334,5.26653732,3.20891113,0.00000000
-5.71185593,9.50205682,0.79304339,0.01945010,2.15508135,5.22910661,3.14445878,0.00000000
-5.70585293,9.43557181,0.77792016,0.01997544,2.15369798,5.18602424,3.07932037,0.00000000
-5.69984992,9.36257558,0.76186191,0.02048063,2.15137898,5.13839641,3.01443214,0.00000000
-5.69384692,9.28464269,0.74519308,0.02095712,2.14828172,5.08726630,2.95066126,0.00000000
-5.68784392,9.20312858,0.72822322,0.02139618,2.14449070,5.03358578,2.88878557,0.00000000
-5.68184092,9.11913930,0.71123809,0.02178913,2.14001697,4.97819368,2.82947733,0.00000000
-5.67583792,9.03351523,0.69449212,0.02212767,2.13480148,4.92180096,2.77329158,0.00000000
-5.66983492,8.94682868,0.67820225,0.02240410,2.12872186,4.86498327,2.72065933,0.00000000
