energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,6.57583339,0.03278436,1.39584062,0.04837785,2.13790159,0.86273537,0.18184711,5.09755204,1.65604759
-5.99399700,6.77456920,0.03372924,1.44375875,0.04966515,2.19471809,0.87307993,0.19010838,5.24988809,1.70840582
-5.98799400,6.98230604,0.03474197,1.49159513,0.05100264,2.25755000,0.88623000,0.19894801,5.40551245,1.76224308
-5.98199100,7.19883168,0.03580637,1.53915503,0.05236437,2.32653587,0.90219950,0.20838881,5.56443273,1.81744100
-5.97598799,7.42376889,0.03690366,1.58623005,0.05372365,2.40173068,0.92093914,0.21844950,5.72648150,1.87385814
-5.96998499,7.65655377,0.03801297,1.63259482,0.05505368,2.48309628,0.94233686,0.22914312,5.89128184,1.93132697
-5.96398199,7.89641986,0.03911193,1.67800461,0.05632805,2.57049395,0.96622043,0.24047545,6.05822055,1.98965157
-5.95797899,8.14238877,0.04017728,1.72219432,0.05752137,2.66367943,0.99236202,0.25244350,6.22643123,2.04860635
-5.95197599,8.39326805,0.04118556,1.76487870,0.05860979,2.76230047,1.02048463,0.26503411,6.39478841,2.10793570
-5.94597299,8.64765640,0.04211379,1.80575424,0.05957151,2.86589714,1.05027017,0.27822274,6.56191384,2.16735464
-5.93996998,8.90395602,0.04294013,1.84450239,0.06038723,2.97390472,1.08136889,0.29197240,6.72619510,2.22655030
-5.93396698,9.16039186,0.04364448,1.88079425,0.06104052,3.08565919,1.11340966,0.30623293,6.88581615,2.28518414
-5.92796398,9.41503670,0.04420907,1.91429629,0.06151815,3.20040510,1.14601104,0.32094043,7.03879880,2.34289482
-5.92196098,9.66584134,0.04461894,1.94467707,0.06181026,3.31730563,1.17879235,0.33601707,7.18305335,2.39930146
-5.91595798,9.91066882,0.04486230,1.97161438,0.06191051,3.43545462,1.21138464,0.35137131,7.31643645,2.45400731
-5.90995498,10.14733145,0.04493085,1.99480268,0.06181607,3.55389033,1.24344108,0.36689840,7.43681346,2.50660367
-5.90395198,10.37362970,0.04481996,2.01396040,0.06152756,3.67161058,1.27464633,0.38248140,7.54212282,2.55667395
-5.89794897,10.58739182,0.04452871,2.02883684,0.06104885,3.78758926,1.30472476,0.39799261,7.63043930,2.60379798
-5.89194597,10.78651349,0.04405990,2.03921828,0.06038685,3.90079378,1.33344723,0.41329541,7.70003375,2.64755652
-5.88594297,10.96899654,0.04341989,2.04493324,0.05955116,4.01020330,1.36063612,0.42824669,7.74942663,2.68753608
-5.87993997,11.13298625,0.04261837,2.04585667,0.05855371,4.11482750,1.38616877,0.44269954,7.77743328,2.72333403
-5.87393697,11.27680665,0.04166807,2.04191293,0.05740834,4.21372569,1.40997903,0.45650645,7.78319927,2.75456424
-5.86793397,11.39899333,0.04058440,2.03307759,0.05613039,4.30602570,1.43205706,0.46952279,7.76622466,2.78086307
-5.86193097,11.49832331,0.03938500,2.01937809,0.05473622,4.39094245,1.45244743,0.48161052,7.72637665,2.80189594
-5.85592796,11.57384147,0.03808927,2.00089332,0.05324278,4.46779548,1.47124558,0.49264198,7.66389057,2.81736430
-5.84992496,11.62488294,0.03671793,1.97775219,0.05166724,4.53602498,1.48859278,0.50250368,7.57935966,2.82701285
-5.84392196,11.65109087,0.03529246,1.95013133,0.05002653,4.59520570,1.50466965,0.51109991,7.47371463,2.83063693
-5.83791896,11.65242874,0.03383464,1.91825218,0.04833707,4.64505794,1.51968861,0.51835598,7.34819436,2.82808967
-5.83191596,11.62918651,0.03236600,1.88237735,0.04661442,4.68545516,1.53388509,0.52422093,7.20430916,2.81928863
-5.82591296,11.58197972,0.03090744,1.84280655,0.04487309,4.71642725,1.54750800,0.52866958,7.04379843,2.80422159
-5.81990995,11.51174088,0.02947870,1.79987210,0.04312632,4.73815917,1.56080948,0.53170380,6.86858441,2.78295091
-5.81390695,11.41970246,0.02809798,1.75393411,0.04138597,4.75098441,1.57403417,0.53335281,6.68072381,2.75561626
-5.80790395,11.30737131,0.02678162,1.70537533,0.03966244,4.75537312,1.58740831,0.53367249,6.48235891,2.72243528
-5.80190095,11.17649440,0.02554376,1.65459575,0.03796466,4.75191500,1.60112897,0.53274374,6.27566960,2.68370189
-5.79589795,11.02901642,0.02439609,1.60200688,0.03630010,4.74129734,1.61535368,0.53066980,6.06282753,2.63978209
-5.78989495,10.86703018,0.02334768,1.54802588,0.03467481,4.72427890,1.63019092,0.52757268,5.84595359,2.59110724
-5.78389195,10.69272128,0.02240490,1.49306945,0.03309356,4.70166062,1.64569188,0.52358888,5.62707942,2.53816502
-5.77788894,10.50830893,0.02157132,1.43754758,0.03155989,4.67425452,1.66184389,0.51886442,5.40811358,2.48148811
-5.77188594,10.31598537,0.02084778,1.38185736,0.03007628,4.64285220,1.67856595,0.51354965,5.19081299,2.42164134
-5.76588294,10.11785646,0.02023250,1.32637681,0.02864428,4.60819462,1.69570685,0.50779380,4.97675982,2.35920756
-5.75987994,9.91588625,0.01972123,1.27145899,0.02726462,4.57094481,1.71304605,0.50173975,4.76734415,2.29477305
-5.75387694,9.71184826,0.01930754,1.21742665,0.02593737,4.53166501,1.73029776,0.49551918,4.56375239,2.22891309
-5.74787394,9.50728602,0.01898307,1.16456747,0.02466209,4.49079964,1.74711806,0.48924826,4.36696157,2.16217845
-5.74187094,9.30348485,0.01873792,1.11313018,0.02343791,4.44866503,1.76311525,0.48302428,4.17773931,2.09508334
-5.73586793,9.10145643,0.01856102,1.06332181,0.02226367,4.40544670,1.77786305,0.47692312,3.99664935,2.02809553
-5.72986493,8.90193686,0.01844057,1.01530609,0.02113799,4.36120413,1.79091623,0.47099786,3.82406222,1.96162888
