energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.28905344,-4.21076006,1.14288851,-1.14916721,2.68320803,-2.57307507,0.00371242,-0.00409485,0.32144247,-0.34060749,0.72446817,-0.70284327,0.55196894,-0.51722451,0.04257898,-0.04476395,0.47719593,-0.53317897
-5.99399700,4.29900742,-4.15389560,1.14350751,-1.13402630,2.67610949,-2.54594662,0.00388795,-0.00411436,0.32662086,-0.33567918,0.72885149,-0.69848027,0.56889346,-0.50793326,0.04162860,-0.04392895,0.47781868,-0.51965687
-5.98799400,4.30770888,-4.10338971,1.14354493,-1.12062641,2.66792220,-2.52280153,0.00409213,-0.00416040,0.33146121,-0.33062922,0.73278688,-0.69446365,0.58555031,-0.49905340,0.04064807,-0.04311808,0.47869766,-0.50771205
-5.98199100,4.31440581,-4.05937382,1.14289282,-1.10898864,2.65847992,-2.50367655,0.00432547,-0.00423421,0.33580799,-0.32546824,0.73606240,-0.69073836,0.60157118,-0.49065290,0.03964024,-0.04232758,0.47972018,-0.49742063
-5.97598799,4.31840707,-4.02172472,1.14146951,-1.09907590,2.64765332,-2.48845326,0.00458847,-0.00433679,0.33951154,-0.32019645,0.73847919,-0.68722110,0.61659939,-0.48277253,0.03860915,-0.04155192,0.48077912,-0.48880914
-5.96998499,4.31911293,-3.99010375,1.13922405,-1.09080170,2.63536352,-2.47688150,0.00488167,-0.00446898,0.34243193,-0.31480681,0.73986007,-0.68380880,0.63029845,-0.47542991,0.03755992,-0.04078438,0.48177767,-0.48185918
-5.96398199,4.31604222,-3.96400455,1.13613966,-1.08404093,2.62159365,-2.46860831,0.00520563,-0.00463148,0.34444282,-0.30928867,0.74005717,-0.68038806,0.64236012,-0.46862431,0.03649870,-0.04001769,0.48263333,-0.47651345
-5.95797899,4.30885452,-3.94280654,1.13223591,-1.07864191,2.60639745,-2.46321080,0.00556094,-0.00482497,0.34543500,-0.30363146,0.73895835,-0.67684504,0.65251192,-0.46234218,0.03543251,-0.03924465,0.48328116,-0.47268289
-5.95197599,4.29736620,-3.92583092,1.12756936,-1.07443899,2.58990440,-2.46023078,0.00594816,-0.00505015,0.34531945,-0.29782849,0.73649203,-0.67307525,0.66052363,-0.45656268,0.03436900,-0.03845868,0.48367594,-0.47025446
-5.94597299,4.28155915,-3.91239565,1.12223234,-1.07126495,2.57232049,-2.45920916,0.00636779,-0.00530774,0.34403003,-0.29188022,0.73263018,-0.66899257,0.66621271,-0.45126321,0.03331631,-0.03765438,0.48379327,-0.46909908
