energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.71214734,0.02483359,0.35335803,1.18054411,0.71414710,1.37003917,1.22702644,1.55655898,0.00000000
-5.99399700,3.73849113,0.02373282,0.35385068,1.17228221,0.71864347,1.38041034,1.24604060,1.55654428,0.00000000
-5.98799400,3.75772074,0.02266005,0.35340018,1.16073765,0.72255832,1.38651915,1.26280503,1.55330794,0.00000000
-5.98199100,3.76947490,0.02162812,0.35206346,1.14601972,0.72585522,1.38839472,1.27697492,1.54681774,0.00000000
-5.97598799,3.77349960,0.02064751,0.34991156,1.12829711,0.72848959,1.38613775,1.28824368,1.53709722,0.00000000
-5.96998499,3.76965194,0.01972615,0.34702684,1.10779282,0.73040953,1.37991531,1.29635048,1.52422401,0.00000000
-5.96398199,3.75790006,0.01886948,0.34349986,1.08477704,0.73155716,1.36995330,1.30108625,1.50832586,0.00000000
-5.95797899,3.73831985,0.01808045,0.33942603,1.05955833,0.73187045,1.35652687,1.30229841,1.48957498,0.00000000
-5.95197599,3.71108886,0.01735965,0.33490230,1.03247357,0.73128547,1.33994948,1.29989408,1.46818079,0.00000000
-5.94597299,3.67647834,0.01670556,0.33002398,1.00387723,0.72973911,1.32056090,1.29384219,1.44438184,0.00000000
-5.93996998,3.63484416,0.01611477,0.32488183,0.97413058,0.72717213,1.29871508,1.28417435,1.41843735,0.00000000
-5.93396698,3.58661719,0.01558227,0.31955957,0.94359124,0.72353253,1.27476825,1.27098479,1.39061881,0.00000000
-5.92796398,3.53229390,0.01510180,0.31413191,0.91260367,0.71877888,1.24906793,1.25442932,1.36120210,0.00000000
-5.92196098,3.47242755,0.01466620,0.30866304,0.88149093,0.71288380,1.22194330,1.23472350,1.33046064,0.00000000
-5.91595798,3.40762021,0.01426769,0.30320580,0.85054807,0.70583692,1.19369744,1.21214001,1.29865963,0.00000000
-5.90995498,3.33851585,0.01389827,0.29780136,0.82003727,0.69764764,1.16460148,1.18700521,1.26605170,0.00000000
-5.90395198,3.26579418,0.01355002,0.29247941,0.79018482,0.68834700,1.13489102,1.15969491,1.23287396,0.00000000
-5.89794897,3.19016524,0.01321536,0.28725882,0.76117999,0.67798892,1.10476469,1.13062923,1.19934638,0.00000000
-5.89194597,3.11236417,0.01288731,0.28214872,0.73317544,0.66665034,1.07438475,1.10026665,1.16567139,0.00000000
-5.88594297,3.03314587,0.01255971,0.27714979,0.70628922,0.65443043,1.04387952,1.06909701,1.13203442,0.00000000
-5.87993997,2.95327909,0.01222738,0.27225580,0.68060779,0.64144864,1.01334714,1.03763361,1.09860516,0.00000000
-5.87393697,2.87353944,0.01188622,0.26745521,0.65618992,0.62784181,0.98286056,1.00640426,1.06553921,0.00000000
-5.86793397,2.79470111,0.01153329,0.26273279,0.63307107,0.61376029,0.95247301,0.97594146,1.03297981,0.00000000
-5.86193097,2.71752699,0.01116682,0.25807108,0.61126782,0.59936328,0.92222372,0.94677178,1.00105943,0.00000000
-5.85592796,2.64275711,0.01078616,0.25345182,0.59078224,0.58481359,0.89214343,0.91940450,0.96990099,0.00000000
-5.84992496,2.57109562,0.01039175,0.24885710,0.57160572,0.57027216,0.86225926,0.89431990,0.93961843,0.00000000
-5.84392196,2.50319629,0.00998500,0.24427032,0.55372228,0.55589234,0.83259885,0.87195730,0.91031676,0.00000000
-5.83791896,2.43964728,0.00956813,0.23967686,0.53711097,0.54181454,0.80319333,0.85270336,0.88209132,0.00000000
-5.83191596,2.38095543,0.00914404,0.23506458,0.52174763,0.52816125,0.77407924,0.83688078,0.85502653,0.00000000
-5.82591296,2.32753095,0.00871613,0.23042403,0.50760564,0.51503277,0.74529923,0.82473804,0.82919402,0.00000000
-5.81990995,2.27967306,0.00828810,0.22574849,0.49465613,0.50250391,0.71690175,0.81644037,0.80465049,0.00000000
