energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-1.93596798,3.78350282,0.20910928,0.29036511,0.04234038,0.07667604,0.38946054,3.04883890,0.01924693,0.14757028
-1.92996498,3.72074923,0.21191281,0.29216881,0.04304104,0.08126313,0.38756445,2.97410202,0.01931232,0.14745170
-1.92396198,3.66625504,0.21545264,0.29410942,0.04361372,0.08624650,0.38604747,2.90637971,0.01946767,0.14766565
-1.91795898,3.62015528,0.21958953,0.29610959,0.04403224,0.09156381,0.38492289,2.84601589,0.01972510,0.14821954
-1.91195598,3.58241432,0.22417646,0.29809614,0.04427450,0.09714396,0.38418808,2.79320197,0.02009637,0.14911245
-1.90595298,3.55283682,0.22906155,0.30000180,0.04432312,0.10290819,0.38382491,2.74798338,0.02059249,0.15033490
-1.89994997,3.53108066,0.23409110,0.30176664,0.04416594,0.10877150,0.38380056,2.71026785,0.02122337,0.15186880
-1.89394697,3.51667138,0.23911264,0.30333908,0.04379627,0.11464433,0.38406856,2.67983511,0.02199742,0.15368767
-1.88794397,3.50901745,0.24397802,0.30467668,0.04321303,0.12043460,0.38457023,2.65634741,0.02292109,0.15575702
-1.88194097,3.50742619,0.24854638,0.30574637,0.04242063,0.12604981,0.38523637,2.63936086,0.02399854,0.15803498
-1.87593797,3.51111977,0.25268712,0.30652446,0.04142875,0.13139933,0.38598915,2.62833707,0.02523120,0.16047313
-1.86993497,3.51925130,0.25628257,0.30699618,0.04025192,0.13639665,0.38674423,2.62265529,0.02661741,0.16301746
-1.86393197,3.53092073,0.25923063,0.30715504,0.03890904,0.14096155,0.38741298,2.62162477,0.02815217,0.16560951
-1.85792896,3.54519061,0.26144701,0.30700186,0.03742272,0.14502223,0.38790492,2.62449736,0.02982686,0.16818761
-1.85192596,3.56110164,0.26286722,0.30654368,0.03581865,0.14851703,0.38813007,2.63048052,0.03162913,0.17068819
-1.84592296,3.57768822,0.26344826,0.30579260,0.03412488,0.15139602,0.38800141,2.63875065,0.03354285,0.17304720
-1.83991996,3.59399390,0.26316977,0.30476460,0.03237109,0.15362214,0.38743728,2.64846682,0.03554825,0.17520144
-1.83391696,3.60908697,0.26203484,0.30347847,0.03058791,0.15517206,0.38636367,2.65878494,0.03762212,0.17709002
-1.82791396,3.62207597,0.26007027,0.30195489,0.02880624,0.15603651,0.38471635,2.66887233,0.03973827,0.17865568
-1.82191096,3.63212543,0.25732631,0.30021571,0.02705663,0.15622039,0.38244285,2.67792253,0.04186802,0.17984606
-1.81590795,3.63847132,0.25387584,0.29828353,0.02536877,0.15574237,0.37950409,2.68517027,0.04398091,0.18061495
-1.80990495,3.64043631,0.24981302,0.29618150,0.02377095,0.15463421,0.37587581,2.68990629,0.04604552,0.18092335
-1.80390195,3.63744436,0.24525133,0.29393346,0.02228968,0.15293972,0.37154955,2.69149170,0.04803041,0.18074048
-1.79789895,3.62903422,0.24032111,0.29156426,0.02094932,0.15071358,0.36653329,2.68937151,0.04990509,0.18004457
-1.79189595,3.61487145,0.23516659,0.28910029,0.01977177,0.14801978,0.36085162,2.68308685,0.05164106,0.17882356
-1.78589295,3.59475837,0.22994247,0.28657018,0.01877626,0.14493008,0.35454552,2.67228549,0.05321285,0.17707557
-1.77988994,3.56864139,0.22481009,0.28400543,0.01797906,0.14152226,0.34767161,2.65673022,0.05459894,0.17480923
-1.77388694,3.53661525,0.21993336,0.28144106,0.01739338,0.13787835,0.34030101,2.63630460,0.05578263,0.17204377
-1.76788394,3.49892371,0.21547443,0.27891614,0.01702917,0.13408286,0.33251776,2.61101577,0.05675278,0.16880897
-1.76188094,3.45595638,0.21158937,0.27647397,0.01689297,0.13022105,0.32441682,2.58099420,0.05750430,0.16514477
-1.75587794,3.40824148,0.20842376,0.27416211,0.01698781,0.12637725,0.31610178,2.54649005,0.05803848,0.16110087
-1.74987494,3.35643459,0.20610861,0.27203192,0.01731307,0.12263328,0.30768231,2.50786629,0.05836303,0.15673592
-1.74387194,3.30130353,0.20475648,0.27013787,0.01786442,0.11906697,0.29927138,2.46558869,0.05849196,0.15211667
-1.73786893,3.24370975,0.20445812,0.26853645,0.01863377,0.11575089,0.29098250,2.42021297,0.05844512,0.14731690
