energy_ev,total_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,8.42071819,1.61323927,1.19936275,3.65544067,1.85613925,0.03210961,0.75153665,0.15845472,5.57881792
-5.99399700,8.44172100,1.64489934,1.20977733,3.69588020,1.86195681,0.03125041,0.72911834,0.15404351,5.62043094
-5.98799400,8.45546848,1.67955970,1.21895827,3.73009544,1.86479795,0.03035692,0.70634504,0.14953444,5.65636103
-5.98199100,8.45863272,1.71644034,1.22629782,3.75632550,1.86387377,0.02943036,0.68325787,0.14493134,5.68411273
-5.97598799,8.44813245,1.75472119,1.23123871,3.77296425,1.85847915,0.02847358,0.65991350,0.14024246,5.70136586
-5.96998499,8.42124582,1.79356082,1.23329378,3.77861831,1.84801906,0.02749088,0.63638648,0.13548089,5.70605633
-5.96398199,8.37570524,1.83211543,1.23206240,3.77215591,1.83202987,0.02648788,0.61277006,0.13066468,5.69644502
-5.95797899,8.30977081,1.86955778,1.22724308,3.75274466,1.81019492,0.02547121,0.58917546,0.12581659,5.67117216
-5.95197599,8.22228014,1.90509567,1.21864183,3.71987676,1.78235382,0.02444826,0.56572944,0.12096346,5.62929556
-5.94597299,8.11267340,1.93798939,1.20617620,3.67338123,1.74850529,0.02342687,0.54257058,0.11613532,5.57031177
-5.93996998,7.98099400,1.96756801,1.18987493,3.61342275,1.70880373,0.02241498,0.51984453,0.11136422,5.49416008
-5.93396698,7.82786627,1.99324409,1.16987354,3.54048820,1.66355000,0.02142030,0.49769839,0.10668291,5.40121016
-5.92796398,7.65445276,2.01452654,1.14640624,3.45536167,1.61317709,0.02045006,0.47627487,0.10212344,5.29223497
-5.92196098,7.46239453,2.03103145,1.11979481,3.35909012,1.55823166,0.01951073,0.45570645,0.09771574,5.16837107
-5.91595798,7.25373861,2.04249091,1.09043514,3.25294145,1.49935247,0.01860783,0.43611005,0.09348631,5.03106898
-5.90995498,7.03085682,2.04875948,1.05878216,3.13835757,1.43724696,0.01774580,0.41758252,0.08945712,4.88203658
-5.90395198,6.79636081,2.04981864,1.02533406,3.01690490,1.37266711,0.01692795,0.40019729,0.08564468,4.72317864
-5.89794897,6.55301731,2.04577905,0.99061650,2.89022466,1.30638563,0.01615643,0.38400228,0.08205946,4.55653557
-5.89194597,6.30366779,2.03688078,0.95516753,2.75998534,1.23917368,0.01543234,0.36901936,0.07870564,4.38422410
-5.88594297,6.05115576,2.02349166,0.91952383,2.62783913,1.17178078,0.01475586,0.35524524,0.07558116,4.20838234
-5.87993997,5.79826409,2.00610372,0.88420877,2.49538404,1.10491767,0.01412639,0.34265383,0.07267809,4.03112123
-5.87393697,5.54766422,1.98532798,0.84972259,2.36413275,1.03924251,0.01354282,0.33119972,0.06998337,3.85448370
-5.86793397,5.30187793,1.96188745,0.81653478,2.23548874,0.97535071,0.01300372,0.32082279,0.06747973,3.68041231
-5.86193097,5.06325140,1.93660845,0.78507884,2.11072999,0.91376825,0.01250761,0.31145345,0.06514678,3.51072545
-5.85592796,4.83394081,1.91041016,0.75574901,1.99099970,0.85494846,0.01205320,0.30301824,0.06296233,3.34710188
-5.84992496,4.61590776,1.88429239,0.72889902,1.87730355,0.79927170,0.01163956,0.29544549,0.06090363,3.19107251
-5.84392196,4.41092225,1.85932132,0.70484216,1.77051219,0.74704765,0.01126631,0.28867054,0.05894868,3.04401823
-5.83791896,4.22057101,1.83661321,0.68385253,1.67136786,0.69851950,0.01093377,0.28264038,0.05707737,2.90717231
-5.83191596,4.04626827,1.81731600,0.66616681,1.58049363,0.65386943,0.01064299,0.27731732,0.05527257,2.78162543
-5.82591296,3.88926676,1.80258860,0.65198616,1.49840383,0.61322487,0.01039575,0.27268143,0.05352090,2.66833199
-5.81990995,3.75066637,1.79357819,0.64147794,1.42551440,0.57666488,0.01019457,0.26873180,0.05181332,2.56811591
-5.81390695,3.63141893,1.79139537,0.63477674,1.36215187,0.54422615,0.01004250,0.26548625,0.05014550,2.48167460
-5.80790395,3.53232756,1.79708777,0.63198463,1.30856017,0.51590837,0.00994307,0.26297984,0.04851785,2.40958033
-5.80190095,3.45404015,1.81161239,0.63317042,1.26490452,0.49167853,0.00989999,0.26126202,0.04693536,2.35227818
-5.79589795,3.39703688,1.83580738,0.63836797,1.23127226,0.47147415,0.00991693,0.26039269,0.04540720,2.31008055
-5.78989495,3.36161234,1.87036400,0.64757362,1.20767047,0.45520534,0.00999730,0.26043742,0.04394609,2.28315845
-5.78389195,3.34785382,1.91579983,0.66074294,1.19402097,0.44275586,0.01014389,0.26146205,0.04256759,2.27153031
-5.77788894,3.35561718,1.97243399,0.67778717,1.19015318,0.43398330,0.01035870,0.26352704,0.04128923,2.27504925
-5.77188594,3.38450266,2.04036579,0.69856968,1.19579586,0.42871877,0.01064261,0.26668182,0.04012964,2.29339014
-5.76588294,3.43383282,2.11945760,0.72290279,1.21056864,0.42676623,0.01099519,0.27095961,0.03910762,2.32603781
-5.75987994,3.50263508,2.20932310,0.75054554,1.23397463,0.42790208,0.01141454,0.27637276,0.03824135,2.37227801
-5.75387694,3.58963093,2.30932187,0.78120253,1.26539501,0.43187500,0.01189717,0.28290919,0.03754757,2.43119234
-5.74787394,3.69323379,2.41856078,0.81452441,1.30408682,0.43840661,0.01243791,0.29052981,0.03704100,2.50165856
-5.74187094,3.81155701,2.53590290,0.85011012,1.34918473,0.44719303,0.01302995,0.29916732,0.03673377,2.58235707
-5.73586793,3.94243272,2.65998393,0.88751102,1.39970731,0.45790759,0.01366491,0.30872634,0.03663507,2.67178426
-5.72986493,4.08344202,2.78923603,0.92623695,1.45456835,0.47020458,0.01433299,0.31908486,0.03675096,2.76827292
-5.72386193,4.23195582,2.92191869,0.96576416,1.51259306,0.48372427,0.01502314,0.33009698,0.03708426,2.87001937
-5.71785893,4.38518549,3.05615563,1.00554485,1.57253905,0.49809889,0.01572339,0.34159678,0.03763456,2.97511681
-5.71185593,4.54024150,3.18997695,1.04501793,1.63312132,0.51295938,0.01642108,0.35340312,0.03839840,3.08159377
-5.70585293,4.69419798,3.32136493,1.08362079,1.69304057,0.52794283,0.01710325,0.36532508,0.03936940,3.18745633
-5.69984992,4.84416064,3.44830219,1.12080133,1.75101363,0.54270002,0.01775699,0.37716789,0.04053855,3.29073247
-5.69384692,4.98733528,3.56882049,1.15603005,1.80580479,0.55690301,0.01836978,0.38873889,0.04189443,3.38951688
-5.68784392,5.12109424,3.68104859,1.18881151,1.85625684,0.57025219,0.01892991,0.39985341,0.04342344,3.48201442
-5.68184092,5.24303794,3.78325740,1.21869472,1.90132023,0.58248268,0.01942673,0.41034018,0.04511010,3.56658046
-5.67583792,5.35104930,3.87390118,1.24528216,1.94007940,0.59336964,0.01985101,0.42004613,0.04693716,3.64175666
-5.66983492,5.44333891,3.95165314,1.26823702,1.97177501,0.60273242,0.02019519,0.42884040,0.04888584,3.70630083
-5.66383192,5.51847953,4.01543463,1.28728846,1.99582116,0.61043722,0.02045354,0.43661737,0.05093595,3.75920986
-5.65782891,5.57542898,4.06443681,1.30223478,2.01181713,0.61639837,0.02062234,0.44329878,0.05306602,3.79973520
-5.65182591,5.61354102,4.09813453,1.31294444,2.01955314,0.62057815,0.02069990,0.44883481,0.05525351,3.82739050
-5.64582291,5.63256456,4.11629199,1.31935518,2.01901020,0.62298517,0.02068662,0.45320428,0.05747491,3.84195173
-5.63981991,5.63263183,4.11896037,1.32147115,2.01035418,0.62367162,0.02058487,0.45641405,0.05970608,3.84344999
