energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,7.24246958,0.07321687,0.25041189,0.05864865,4.42877304,2.87947571,1.66240551
-5.99399700,7.30679388,0.07545857,0.25286985,0.05987746,4.46664786,2.92211482,1.67555202
-5.98799400,7.35064987,0.07756986,0.25448250,0.06097641,4.49208479,2.95760941,1.68400401
-5.98199100,7.37404439,0.07952253,0.25525630,0.06193622,4.50510582,2.98588379,1.68774779
-5.97598799,7.37716775,0.08129048,0.25520797,0.06274896,4.50584157,3.00689976,1.68681195
-5.96998499,7.36037115,0.08285008,0.25436348,0.06340813,4.49451732,3.02064889,1.68126314
-5.96398199,7.32414557,0.08418047,0.25275693,0.06390874,4.47144012,3.02714678,1.67120240
-5.95797899,7.26910365,0.08526376,0.25042940,0.06424736,4.43698778,3.02642966,1.65676200
-5.95197599,7.19596512,0.08608520,0.24742780,0.06442234,4.39160043,3.01855370,1.63810300
-5.94597299,7.10554637,0.08663329,0.24380377,0.06443380,4.33577463,3.00359689,1.61541371
-5.93996998,6.99875398,0.08689979,0.23961263,0.06428384,4.27006007,2.98166321,1.58890882
-5.93396698,6.87658174,0.08687978,0.23491242,0.06397662,4.19505852,2.95288883,1.55882911
-5.92796398,6.74011039,0.08657161,0.22976298,0.06351842,4.11142446,2.91744943,1.52544158
-5.92196098,6.59050875,0.08597684,0.22422522,0.06291771,4.01986658,2.87556816,1.48903962
-5.91595798,6.42903514,0.08510018,0.21836031,0.06218517,3.92114941,2.82752322,1.44994296
-5.90995498,6.25703762,0.08394939,0.21222910,0.06133357,3.81609406,2.77365431,1.40849708
-5.90395198,6.07595174,0.08253516,0.20589145,0.06037766,3.70557736,2.71436725,1.36507183
-5.89794897,5.88729479,0.08087098,0.19940572,0.05933396,3.59052866,2.65013600,1.32005895
-5.89194597,5.69265568,0.07897292,0.19282819,0.05822044,3.47192374,2.58150173,1.27386846
-5.88594297,5.49368004,0.07685950,0.18621255,0.05705615,3.35077559,2.50906861,1.22692374
-5.87993997,5.29205046,0.07455137,0.17960943,0.05586080,3.22812202,2.43349627,1.17965550
-5.87393697,5.08946233,0.07207109,0.17306589,0.05465422,3.10501040,2.35548916,1.13249461
-5.86793397,4.88759599,0.06944278,0.16662497,0.05345589,2.98247993,2.27578318,1.08586423
-5.86193097,4.68808632,0.06669178,0.16032533,0.05228435,2.86154233,2.19513025,1.04017137
-5.85592796,4.49249129,0.06384427,0.15420088,0.05115673,2.74316169,2.11428137,0.99579846
-5.84992496,4.30226094,0.06092685,0.14828054,0.05008824,2.62823462,2.03396936,0.95309514
-5.84392196,4.11870841,0.05796612,0.14258808,0.04909179,2.51757173,1.95489179,0.91237094
-5.83791896,3.94298481,0.05498827,0.13714211,0.04817764,2.41188147,1.87769527,0.87388900
-5.83191596,3.77605910,0.05201860,0.13195617,0.04735322,2.31175718,1.80296178,0.83786141
-5.82591296,3.61870433,0.04908120,0.12703902,0.04662307,2.21766828,1.73119774,0.80444622
-5.81990995,3.47149107,0.04619853,0.12239497,0.04598880,2.12995595,1.66282630,0.77374658
