energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,4.93238388,0.35688901,2.32103526,0.08969566,0.08883428,0.12540383,1.60175812,0.65490201,0.86392418
-5.99399700,5.06736397,0.37261161,2.35894697,0.09310030,0.09220647,0.12880717,1.66134792,0.68372376,0.89816217
-5.98799400,5.20857271,0.38878280,2.40163263,0.09664661,0.09557826,0.13238760,1.72145060,0.71345196,0.93182260
-5.98199100,5.35526004,0.40533460,2.44874094,0.10031944,0.09893149,0.13614772,1.78180486,0.74398383,0.96476064
-5.97598799,5.50665662,0.42219976,2.49988144,0.10410120,0.10224974,0.14008656,1.84216766,0.77521266,0.99686191
-5.96998499,5.66197429,0.43931192,2.55462283,0.10797183,0.10551835,0.14419892,1.90231660,0.80702878,1.02804385
-5.96398199,5.82040407,0.45660531,2.61249153,0.11190879,0.10872441,0.14847502,1.96205036,0.83932001,1.05825526
-5.95797899,5.98111156,0.47401408,2.67297069,0.11588711,0.11185659,0.15290007,2.02118728,0.87197143,1.08747396
-5.95197599,6.14323037,0.49147121,2.73549985,0.11987948,0.11490482,0.15745406,2.07956199,0.90486469,1.11570263
-5.94597299,6.30585401,0.50890727,2.79947560,0.12385633,0.11786003,0.16211176,2.13702032,0.93787679,1.14296288
-5.93996998,6.46802714,0.52624891,2.86425339,0.12778604,0.12071367,0.16684273,2.19341278,0.97087854,1.16928787
-5.93396698,6.62873715,0.54341739,2.92915072,0.13163515,0.12345729,0.17161174,2.24858700,1.00373280,1.19471384
-5.92796398,6.78690716,0.56032715,2.99345208,0.13536875,0.12608207,0.17637913,2.30237973,1.03629284,1.21927102
-5.92196098,6.94139150,0.57688470,3.05641553,0.13895079,0.12857842,0.18110157,2.35460896,1.06840087,1.24297439
-5.91595798,7.09097471,0.59298778,3.11728116,0.14234459,0.13093561,0.18573281,2.40506676,1.09988708,1.26581495
-5.90995498,7.23437502,0.60852508,3.17528122,0.14551339,0.13314145,0.19022466,2.45351353,1.13056932,1.28775207
-5.90395198,7.37025280,0.62337650,3.22965189,0.14842092,0.13518215,0.19452804,2.49967412,1.16025360,1.30870741
-5.89794897,7.49722458,0.63741398,3.27964628,0.15103208,0.13704227,0.19859408,2.54323642,1.18873549,1.32856105
-5.89194597,7.61388243,0.65050305,3.32454838,0.15331364,0.13870481,0.20237529,2.58385267,1.21580253,1.34715005
-5.88594297,7.71881864,0.66250495,3.36368743,0.15523494,0.14015147,0.20582663,2.62114365,1.24123758,1.36426985
-5.87993997,7.81065476,0.67327935,3.39645215,0.15676861,0.14136305,0.20890658,2.65470589,1.26482296,1.37967852
