energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,0.58604626,0.54537311,0.19740511,0.18346520,0.00358761,0.21093176,0.00000000
-5.99399700,0.58550963,0.54200900,0.19837600,0.18215333,0.00369764,0.21087818,0.00000000
-5.98799400,0.58498998,0.53919193,0.19916494,0.18064520,0.00379928,0.21110332,0.00000000
-5.98199100,0.58412971,0.53659839,0.19963942,0.17884824,0.00388925,0.21147311,0.00000000
-5.97598799,0.58261867,0.53394361,0.19968335,0.17668226,0.00396479,0.21187147,0.00000000
-5.96998499,0.58020169,0.53098735,0.19920051,0.17408201,0.00402371,0.21220254,0.00000000
-5.96398199,0.57668430,0.52753805,0.19811742,0.17099900,0.00406452,0.21239193,0.00000000
-5.95797899,0.57193609,0.52345519,0.19638538,0.16740299,0.00408641,0.21238721,0.00000000
-5.95197599,0.56589190,0.51864969,0.19398164,0.16328266,0.00408928,0.21215749,0.00000000
-5.94597299,0.55855048,0.51308248,0.19090971,0.15864567,0.00407374,0.21169220,0.00000000
-5.93996998,0.54997113,0.50676125,0.18719876,0.15351804,0.00404109,0.21099916,0.00000000
-5.93396698,0.54026817,0.49973562,0.18290218,0.14794291,0.00399326,0.21010203,0.00000000
-5.92796398,0.52960386,0.49209113,0.17809535,0.14197874,0.00393275,0.20903730,0.00000000
-5.92196098,0.51818005,0.48394239,0.17287288,0.13569716,0.00386253,0.20785106,0.00000000
-5.91595798,0.50622912,0.47542582,0.16734534,0.12918037,0.00378600,0.20659564,0.00000000
-5.90995498,0.49400470,0.46669247,0.16163570,0.12251860,0.00370683,0.20532643,0.00000000
-5.90395198,0.48177274,0.45790143,0.15587581,0.11580742,0.00362890,0.20409901,0.00000000
-5.89794897,0.46980330,0.44921414,0.15020284,0.10914523,0.00355620,0.20296670,0.00000000
-5.89194597,0.45836365,0.44079002,0.14475605,0.10263108,0.00349275,0.20197885,0.00000000
-5.88594297,0.44771280,0.43278355,0.13967401,0.09636276,0.00344253,0.20117970,0.00000000
-5.87993997,0.43809777,0.42534303,0.13509219,0.09043540,0.00340938,0.20060805,0.00000000
-5.87393697,0.42975159,0.41861090,0.13114125,0.08494049,0.00339701,0.20029767,0.00000000
-5.86793397,0.42289303,0.41272558,0.12794572,0.07996532,0.00340892,0.20027829,0.00000000
-5.86193097,0.41772768,0.40782441,0.12562334,0.07559295,0.00344842,0.20057719,0.00000000
-5.85592796,0.41445029,0.40404746,0.12428475,0.07190235,0.00351858,0.20122108,0.00000000
-5.84992496,0.41324771,0.40154180,0.12403350,0.06896898,0.00362227,0.20223826,0.00000000
-5.84392196,0.41430220,0.40046550,0.12496628,0.06686531,0.00376212,0.20366066,0.00000000
-5.83791896,0.41779438,0.40099125,0.12717317,0.06566147,0.00394058,0.20552570,0.00000000
-5.83191596,0.42390556,0.40330879,0.13073772,0.06542575,0.00415985,0.20787769,0.00000000
-5.82591296,0.43281891,0.40762591,0.13573689,0.06622482,0.00442190,0.21076872,0.00000000
-5.81990995,0.44471917,0.41416780,0.14224050,0.06812367,0.00472847,0.21425874,0.00000000
-5.81390695,0.45979069,0.42317433,0.15031033,0.07118509,0.00508099,0.21841499,0.00000000
-5.80790395,0.47821371,0.43489535,0.15999870,0.07546870,0.00548052,0.22331057,0.00000000
-5.80190095,0.50015892,0.44958417,0.17134665,0.08102951,0.00592775,0.22902228,0.00000000
-5.79589795,0.52578054,0.46748917,0.18438168,0.08791602,0.00642285,0.23562790,0.00000000
-5.78989495,0.55520824,0.48884421,0.19911522,0.09616793,0.00696541,0.24320289,0.00000000
-5.78389195,0.58853827,0.51385798,0.21554007,0.10581360,0.00755440,0.25181684,0.00000000
-5.77788894,0.62582446,0.54270317,0.23362773,0.11686729,0.00818802,0.26152983,0.00000000
-5.77188594,0.66706958,0.57550564,0.25332616,0.12932638,0.00886371,0.27238887,0.00000000
-5.76588294,0.71221760,0.61233462,0.27455794,0.14316884,0.00957804,0.28442473,0.00000000
-5.75987994,0.76114760,0.65319417,0.29721904,0.15835096,0.01032677,0.29764918,0.00000000
-5.75387694,0.81366955,0.69801666,0.32117848,0.17480556,0.01110481,0.31205303,0.00000000
-5.74787394,0.86952256,0.74665852,0.34627895,0.19244098,0.01190634,0.32760479,0.00000000
-5.74187094,0.92837578,0.79889876,0.37233840,0.21114077,0.01272487,0.34425022,0.00000000
-5.73586793,0.98983203,0.85444030,0.39915270,0.23076437,0.01355340,0.36191276,0.00000000
-5.72986493,1.05343414,0.91291423,0.42649930,0.25114865,0.01438462,0.38049458,0.00000000
-5.72386193,1.11867381,0.97388679,0.45414176,0.27211060,0.01521110,0.39987844,0.00000000
-5.71785893,1.18500253,1.03686893,0.48183500,0.29345075,0.01602554,0.41993001,0.00000000
-5.71185593,1.25184425,1.10132798,0.50933103,0.31495766,0.01682101,0.44050068,0.00000000
-5.70585293,1.31860912,1.16670088,0.53638496,0.33641289,0.01759121,0.46143046,0.00000000
-5.69984992,1.38470764,1.23240860,0.56276093,0.35759672,0.01833070,0.48255111,0.00000000
-5.69384692,1.44956470,1.29787076,0.58823781,0.37829392,0.01903510,0.50368913,0.00000000
-5.68784392,1.51263287,1.36252021,0.61261431,0.39829981,0.01970126,0.52466855,0.00000000
-5.68184092,1.57340425,1.42581668,0.63571331,0.41742590,0.02032738,0.54531356,0.00000000
-5.67583792,1.63142059,1.48725898,0.65738526,0.43550520,0.02091305,0.56545077,0.00000000
-5.66983492,1.68628130,1.54639534,0.67751047,0.45239676,0.02145925,0.58491121,0.00000000
-5.66383192,1.73764897,1.60283147,0.69600030,0.46798927,0.02196826,0.60353208,0.00000000
-5.65782891,1.78525258,1.65623608,0.71279717,0.48220359,0.02244352,0.62115822,0.00000000
-5.65182591,1.82888819,1.70634368,0.72787354,0.49499411,0.02288943,0.63764356,0.00000000
-5.64582291,1.86841749,1.75295476,0.74122989,0.50634872,0.02331110,0.65285233,0.00000000
-5.63981991,1.90376428,1.79593339,0.75289187,0.51628762,0.02371402,0.66666041,0.00000000
-5.63381691,1.93490932,1.83520258,0.76290693,0.52486083,0.02410378,0.67895658,0.00000000
-5.62781391,1.96188386,1.87073756,0.77134036,0.53214464,0.02448574,0.68964392,0.00000000
-5.62181091,1.98476230,1.90255753,0.77827125,0.53823711,0.02486470,0.69864116,0.00000000
-5.61580790,2.00365426,1.93071640,0.78378829,0.54325281,0.02524463,0.70588403,0.00000000
-5.60980490,2.01869644,1.95529268,0.78798576,0.54731710,0.02562840,0.71132655,0.00000000
-5.60380190,2.03004462,1.97637947,0.79095968,0.55056015,0.02601759,0.71494208,0.00000000
-5.59779890,2.03786593,1.99407462,0.79280441,0.55311090,0.02641236,0.71672411,0.00000000
-5.59179590,2.04233171,2.00847169,0.79360959,0.55509143,0.02681139,0.71668660,0.00000000
-5.58579290,2.04361103,2.01965210,0.79345752,0.55661164,0.02721183,0.71486386,0.00000000
-5.57978989,2.04186492,2.02767871,0.79242104,0.55776474,0.02760941,0.71130980,0.00000000
-5.57378689,2.03724150,2.03259111,0.79056185,0.55862357,0.02799859,0.70609661,0.00000000
-5.56778389,2.02987199,2.03440277,0.78792924,0.55923786,0.02837267,0.69931275,0.00000000
-5.56178089,2.01986758,2.03310018,0.78455932,0.55963266,0.02872409,0.69106042,0.00000000
-5.55577789,2.00731733,2.02864386,0.78047457,0.55980781,0.02904463,0.68145253,0.00000000
-5.54977489,1.99228700,2.02097127,0.77568384,0.55973848,0.02932576,0.67060928,0.00000000
-5.54377189,1.97481891,2.01000144,0.77018276,0.55937692,0.02955885,0.65865459,0.00000000
-5.53776888,1.95493291,1.99564101,0.76395456,0.55865499,0.02973552,0.64571249,0.00000000
