energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,3.93945364,0.34784651,3.62493305,0.02244856,0.02746847,0.00072318,0.12774468
-5.99399700,3.92471812,0.34888896,3.61301714,0.02185882,0.02803514,0.00078688,0.12587758
-5.98799400,3.91910192,0.35030995,3.60998298,0.02120178,0.02876125,0.00086125,0.12393538
-5.98199100,3.92348002,0.35231388,3.61656632,0.02049392,0.02965353,0.00094757,0.12198772
-5.97598799,3.93854323,0.35511131,3.63331635,0.01975295,0.03071823,0.00104716,0.12010855
-5.96998499,3.96476681,0.35891102,3.66056948,0.01899736,0.03196062,0.00116131,0.11837367
-5.96398199,4.00238348,0.36391185,3.69842762,0.01824592,0.03338449,0.00129125,0.11685828
-5.95797899,4.05136227,0.37029441,3.74674237,0.01751720,0.03499168,0.00143812,0.11563435
-5.95197599,4.11139461,0.37821315,3.80510605,0.01682910,0.03678160,0.00160292,0.11476816
-5.94597299,4.18188869,0.38778885,3.87285075,0.01619833,0.03875084,0.00178643,0.11431795
-5.93996998,4.26197305,0.39910212,3.94905578,0.01564000,0.04089277,0.00198920,0.11433176
-5.93396698,4.35050954,0.41218785,4.03256382,0.01516720,0.04319732,0.00221150,0.11484572
-5.92796398,4.44611598,0.42703114,4.12200573,0.01479067,0.04565082,0.00245329,0.11588251
-5.92196098,4.54719768,0.44356472,4.21583313,0.01451849,0.04823595,0.00271421,0.11745046
-5.91595798,4.65198710,0.46166801,4.31235814,0.01435588,0.05093183,0.00299352,0.11954294
-5.90995498,4.75859026,0.48116800,4.40979846,0.01430508,0.05371432,0.00329015,0.12213833
-5.90395198,4.86503811,0.50184181,4.50632657,0.01436527,0.05655627,0.00360272,0.12520041
-5.89794897,4.96934098,0.52342103,4.60012076,0.01453261,0.05942812,0.00392947,0.12867925
-5.89194597,5.06954395,0.54559763,4.68941629,0.01480037,0.06229839,0.00426842,0.13251247
-5.88594297,5.16378100,0.56803122,4.77255443,0.01515912,0.06513437,0.00461730,0.13662694
-5.87993997,5.25032568,0.59035764,4.84802764,0.01559695,0.06790287,0.00497366,0.14094072
-5.87393697,5.32763667,0.61219842,4.91451899,0.01609990,0.07057093,0.00533492,0.14536533
-5.86793397,5.39439622,0.63317081,4.97093452,0.01665225,0.07310659,0.00569839,0.14980812
-5.86193097,5.44954048,0.65289829,5.01642741,0.01723707,0.07547959,0.00606136,0.15417476
-5.85592796,5.49228063,0.67102090,5.05041322,0.01783659,0.07766207,0.00642114,0.15837181
-5.84992496,5.52211456,0.68720535,5.07257612,0.01843281,0.07962915,0.00677511,0.16230907
-5.84392196,5.53882895,0.70115434,5.08286617,0.01900789,0.08135946,0.00712072,0.16590201
-5.83791896,5.54249240,0.71261505,5.08148829,0.01954474,0.08283549,0.00745558,0.16907379
-5.83191596,5.53344029,0.72138624,5.06888398,0.02002744,0.08404396,0.00777747,0.17175718
-5.82591296,5.51225281,0.72732396,5.04570697,0.02044165,0.08497595,0.00808430,0.17389612
-5.81990995,5.47972736,0.73034560,5.01279432,0.02077503,0.08562700,0.00837420,0.17544689
-5.81390695,5.43684710,0.73043215,4.97113467,0.02101750,0.08599709,0.00864548,0.17637902
-5.80790395,5.38474735,0.72762857,4.92183513,0.02116148,0.08609050,0.00889664,0.17667574
-5.80190095,5.32468125,0.72204237,4.86608857,0.02120205,0.08591567,0.00912642,0.17633406
-5.79589795,5.25798656,0.71384030,4.80514258,0.02113701,0.08548491,0.00933377,0.17536456
-5.78989495,5.18605461,0.70324344,4.74027154,0.02096685,0.08481414,0.00951793,0.17379070
-5.78389195,5.11030250,0.69052067,4.67275234,0.02069470,0.08392249,0.00967846,0.17164796
-5.77788894,5.03214938,0.67598094,4.60384476,0.02032610,0.08283203,0.00981528,0.16898260
-5.77188594,4.95299707,0.65996441,4.53477642,0.01986882,0.08156735,0.00992877,0.16585020
-5.76588294,4.87421502,0.64283287,4.46673228,0.01933260,0.08015515,0.01001983,0.16231410
-5.75987994,4.79712941,0.62495978,4.40084838,0.01872879,0.07862391,0.01008998,0.15844361
-5.75387694,4.72301570,0.60672011,4.33820887,0.01807005,0.07700346,0.01014145,0.15431217
-5.74787394,4.65309388,0.58848049,4.27984563,0.01737002,0.07532458,0.01017725,0.14999555
-5.74187094,4.58852553,0.57058978,4.22673934,0.01664294,0.07361859,0.01020126,0.14556997
-5.73586793,4.53041146,0.55337054,4.17982083,0.01590333,0.07191692,0.01021827,0.14111036
-5.72986493,4.47978927,0.53711151,4.13997184,0.01516568,0.07025068,0.01023400,0.13668869
-5.72386193,4.43762966,0.52206138,4.10802407,0.01444419,0.06865025,0.01025507,0.13237251
-5.71785893,4.40483091,0.50842395,4.08475585,0.01375245,0.06714473,0.01028899,0.12822358
-5.71185593,4.38221117,0.49635485,4.07088605,0.01310324,0.06576159,0.01034398,0.12429678
-5.70585293,4.37049816,0.48595987,4.06706484,0.01250835,0.06452611,0.01042890,0.12063919
-5.69984992,4.37031658,0.47729483,4.07386157,0.01197838,0.06346103,0.01055299,0.11728944
-5.69384692,4.38217361,0.47036699,4.09175017,0.01152263,0.06258602,0.01072569,0.11427731
-5.68784392,4.40644317,0.46513792,4.12109282,0.01114898,0.06191743,0.01095632,0.11162357
-5.68184092,4.44334991,0.46152764,4.16212273,0.01086381,0.06146785,0.01125383,0.10934003
-5.67583792,4.49295399,0.45941981,4.21492738,0.01067194,0.06124595,0.01162650,0.10742993
-5.66983492,4.55513797,0.45866789,4.27943334,0.01057666,0.06125629,0.01208164,0.10588842
-5.66383192,4.62959689,0.45910186,4.35539401,0.01057965,0.06149926,0.01262531,0.10470338
-5.65782891,4.71583289,0.46053544,4.44238149,0.01068112,0.06197114,0.01326214,0.10385636
-5.65182591,4.81315528,0.46277335,4.53978379,0.01087979,0.06266434,0.01399510,0.10332361
-5.64582291,4.92068690,0.46561859,4.64680811,0.01117306,0.06356760,0.01482542,0.10307740
-5.63981991,5.03737736,0.46887929,4.76249101,0.01155714,0.06466649,0.01575257,0.10308724
-5.63381691,5.16202332,0.47237513,4.88571550,0.01202720,0.06594394,0.01677427,0.10332125
-5.62781391,5.29329559,0.47594289,5.01523529,0.01257761,0.06738081,0.01788668,0.10374746
-5.62181091,5.42977261,0.47944126,5.14970539,0.01320215,0.06895662,0.01908454,0.10433515
-5.61580790,5.56997926,0.48275454,5.28771850,0.01389426,0.07065033,0.02036152,0.10505598
-5.60980490,5.71242981,0.48579528,5.42784583,0.01464733,0.07244104,0.02171053,0.10588503
-5.60380190,5.85567334,0.48850578,5.56868086,0.01545494,0.07430881,0.02312410,0.10680173
-5.59779890,5.99833985,0.49085843,5.70888429,0.01631111,0.07623534,0.02459476,0.10779043
-5.59179590,6.13918505,0.49285494,5.84722825,0.01721052,0.07820460,0.02611548,0.10884088
-5.58579290,6.27713173,0.49452452,5.98263765,0.01814869,0.08020341,0.02767998,0.10994835
-5.57978989,6.41130578,0.49592107,6.11422676,0.01912212,0.08222178,0.02928306,0.11111355
-5.57378689,6.54106490,0.49711964,6.24132909,0.02012832,0.08425324,0.03092085,0.11234226
-5.56778389,6.66601842,0.49821215,6.36351894,0.02116587,0.08629486,0.03259092,0.11364471
-5.56178089,6.78603694,0.49930266,6.48062314,0.02223426,0.08834723,0.03429237,0.11503477
-5.55577789,6.90125098,0.50050233,6.59272227,0.02333379,0.09041418,0.03602574,0.11652897
-5.54977489,7.01203814,0.50192433,6.70014072,0.02446537,0.09250243,0.03779284,0.11814529
-5.54377189,7.11899912,0.50367886,6.80342568,0.02563017,0.09462105,0.03959651,0.11990200
-5.53776888,7.22292322,0.50586841,6.90331563,0.02682939,0.09678084,0.04144028,0.12181640
-5.53176588,7.32474448,0.50858360,7.00069949,0.02806385,0.09899364,0.04332793,0.12390359
-5.52576288,7.42549020,0.51189955,7.09656781,0.02933367,0.10127160,0.04526308,0.12617533
-5.51975988,7.52622403,0.51587306,7.19195818,0.03063788,0.10362645,0.04724871,0.12863911
-5.51375688,7.62798579,0.52054062,7.28789702,0.03197421,0.10606879,0.04928674,0.13129729
-5.50775388,7.73173079,0.52591723,7.38534020,0.03333870,0.10860745,0.05137759,0.13414657
-5.50175088,7.83827121,0.53199611,7.48511529,0.03472564,0.11124898,0.05351984,0.13717759
-5.49574787,7.94822214,0.53874924,7.58786777,0.03612736,0.11399712,0.05570997,0.14037491
