energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.67742614,0.27818437,1.21929373,0.00492811,0.08637586,0.29580158,0.00000000
-5.99399700,1.70857201,0.27485477,1.24207279,0.00472025,0.08166296,0.31095729,0.00000000
-5.98799400,1.74536520,0.27253198,1.26859676,0.00451568,0.07741384,0.32731040,0.00000000
-5.98199100,1.78629403,0.27107715,1.29770738,0.00431623,0.07360178,0.34457982,0.00000000
-5.97598799,1.82979366,0.27034183,1.32822084,0.00412348,0.07019940,0.36245825,0.00000000
-5.96998499,1.87427948,0.27016907,1.35895579,0.00393869,0.06717851,0.38061716,0.00000000
-5.96398199,1.91818294,0.27039527,1.38876227,0.00376278,0.06451005,0.39871310,0.00000000
-5.95797899,1.95998869,0.27085270,1.41655067,0.00359629,0.06216407,0.41639509,0.00000000
-5.95197599,1.99827213,0.27137273,1.44131982,0.00343939,0.06010994,0.43331310,0.00000000
-5.94597299,2.03173588,0.27178958,1.46218331,0.00329190,0.05831663,0.44912708,0.00000000
-5.93996998,2.05924387,0.27194449,1.47839287,0.00315332,0.05675311,0.46351642,0.00000000
-5.93396698,2.07985160,0.27169002,1.48935800,0.00302290,0.05538886,0.47618921,0.00000000
-5.92796398,2.09283124,0.27089435,1.49466103,0.00289967,0.05419443,0.48689103,0.00000000
-5.92196098,2.09769041,0.26944530,1.49406678,0.00278257,0.05314205,0.49541278,0.00000000
-5.91595798,2.09418370,0.26725378,1.48752653,0.00267046,0.05220616,0.50159721,0.00000000
-5.90995498,2.08231633,0.26425661,1.47517607,0.00256224,0.05136394,0.50534370,0.00000000
-5.90395198,2.06233985,0.26041835,1.45732785,0.00245691,0.05059565,0.50661126,0.00000000
-5.89794897,2.03473979,0.25573224,1.43445766,0.00235361,0.04988499,0.50541932,0.00000000
-5.89194597,2.00021611,0.25022004,1.40718641,0.00225170,0.04921919,0.50184651,0.00000000
-5.88594297,1.95965710,0.24393084,1.37625785,0.00215081,0.04858901,0.49602736,0.00000000
-5.87993997,1.91410814,0.23693889,1.34251327,0.00205082,0.04798860,0.48814710,0.00000000
-5.87393697,1.86473657,0.22934059,1.30686423,0.00195191,0.04741524,0.47843491,0.00000000
-5.86793397,1.81279432,0.22125073,1.27026460,0.00185455,0.04686897,0.46715586,0.00000000
-5.86193097,1.75957994,0.21279824,1.23368282,0.00175947,0.04635217,0.45460199,0.00000000
-5.85592796,1.70640138,0.20412165,1.19807571,0.00166767,0.04586907,0.44108293,0.00000000
-5.84992496,1.65454103,0.19536444,1.16436445,0.00158036,0.04542531,0.42691650,0.00000000
-5.84392196,1.60522420,0.18667049,1.13341352,0.00149894,0.04502742,0.41241964,0.00000000
-5.83791896,1.55959174,0.17817979,1.10601319,0.00142493,0.04468249,0.39790006,0.00000000
-5.83191596,1.51867750,0.17002466,1.08286550,0.00135995,0.04439775,0.38364881,0.00000000
-5.82591296,1.48339081,0.16232644,1.06457411,0.00130564,0.04418032,0.36993407,0.00000000
-5.81990995,1.45450399,0.15519282,1.05163753,0.00126365,0.04403696,0.35699613,0.00000000
-5.81390695,1.43264438,0.14871588,1.04444552,0.00123555,0.04397394,0.34504373,0.00000000
-5.80790395,1.41829061,0.14297069,1.04327820,0.00122281,0.04399685,0.33425159,0.00000000
-5.80190095,1.41177226,0.13801455,1.04830723,0.00122675,0.04411057,0.32475909,0.00000000
-5.79589795,1.41327227,0.13388685,1.05959865,0.00124849,0.04431912,0.31666993,0.00000000
-5.78989495,1.42283128,0.13060925,1.07711673,0.00128893,0.04462560,0.31005251,0.00000000
-5.78389195,1.44035335,0.12818641,1.10072846,0.00134870,0.04503198,0.30494106,0.00000000
-5.77788894,1.46561244,0.12660686,1.13020838,0.00142813,0.04553901,0.30133698,0.00000000
-5.77188594,1.49825930,0.12584418,1.16524338,0.00152724,0.04614593,0.29921065,0.00000000
-5.76588294,1.53782849,0.12585826,1.20543765,0.00164570,0.04685026,0.29850329,0.00000000
-5.75987994,1.58374556,0.12659667,1.25031753,0.00178283,0.04764751,0.29912893,0.00000000
-5.75387694,1.63533445,0.12799607,1.29933660,0.00193758,0.04853091,0.30097644,0.00000000
-5.74787394,1.69182538,0.12998361,1.35188118,0.00210854,0.04949112,0.30391166,0.00000000
-5.74187094,1.75236336,0.13247832,1.40727639,0.00229393,0.05051606,0.30777964,0.00000000
-5.73586793,1.81601788,0.13539259,1.46479309,0.00249163,0.05159074,0.31240706,0.00000000
-5.72986493,1.88179388,0.13863356,1.52365594,0.00269921,0.05269723,0.31760494,0.00000000
-5.72386193,1.94864428,0.14210459,1.58305257,0.00291396,0.05381474,0.32317167,0.00000000
-5.71785893,2.01548420,0.14570678,1.64214406,0.00313291,0.05491989,0.32889645,0.00000000
-5.71185593,2.08120674,0.14934043,1.70007660,0.00335291,0.05598703,0.33456313,0.00000000
-5.70585293,2.14470032,0.15290668,1.75599414,0.00357071,0.05698881,0.33995438,0.00000000
-5.69984992,2.20486704,0.15630905,1.80905182,0.00378298,0.05789681,0.34485631,0.00000000
