energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,2.81905544,0.47492039,0.00771363,0.61312149,2.42579260,0.01391781,0.12320164
-5.99399700,2.92876642,0.48347483,0.00791642,0.62515752,2.52797547,0.01477986,0.12598132
-5.98799400,3.04872873,0.49415999,0.00815554,0.63812374,2.63996704,0.01565243,0.12873972
-5.98199100,3.17684972,0.50654574,0.00842472,0.65140239,2.76007749,0.01652078,0.13136122
-5.97598799,3.31090682,0.52019712,0.00871733,0.66440377,2.88646740,0.01737060,0.13373669
-5.96998499,3.44858840,0.53468169,0.00902652,0.67657862,3.01718028,0.01818822,0.13576620
-5.96398199,3.58753678,0.54957675,0.00934531,0.68742898,3.15017822,0.01896093,0.13736148
-5.95797899,3.72539226,0.56447609,0.00966670,0.69651740,3.28337977,0.01967714,0.13844798
-5.95197599,3.85983688,0.57899630,0.00998382,0.70347421,3.41469872,0.02032665,0.13896649
-5.94597299,3.98863643,0.59278235,0.01029000,0.70800253,3.54208280,0.02090079,0.13887419
-5.93996998,4.10967950,0.60551236,0.01057889,0.70988115,3.66355083,0.02139250,0.13814524
-5.93396698,4.22101262,0.61690147,0.01084458,0.70896497,3.77722753,0.02179645,0.13677069
-5.92796398,4.32087040,0.62670467,0.01108169,0.70518334,3.88137492,0.02210904,0.13475796
-5.92196098,4.40770018,0.63471862,0.01128540,0.69853628,3.97441954,0.02232835,0.13212976
-5.91595798,4.48018068,0.64078246,0.01145159,0.68908895,4.05497497,0.02245404,0.12892254
-5.90995498,4.53723475,0.64477754,0.01157683,0.67696456,4.12185951,0.02248731,0.12518463
-5.90395198,4.57803617,0.64662635,0.01165845,0.66233623,4.17410862,0.02243062,0.12097414
-5.89794897,4.60201105,0.64629057,0.01169456,0.64541804,4.21098257,0.02228762,0.11635661
-5.89194597,4.60883430,0.64376845,0.01168401,0.62645579,4.23196942,0.02206286,0.11140267
-5.88594297,4.59842197,0.63909175,0.01162645,0.60571778,4.23678383,0.02176165,0.10618577
-5.87993997,4.57092019,0.63232219,0.01152224,0.58348600,4.22536223,0.02138981,0.10077999
-5.87393697,4.52669150,0.62354785,0.01137245,0.56004795,4.19785509,0.02095351,0.09525810
