energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.12715666,1.50461553,0.00000000,0.00800422,0.13013000,0.02106703,1.48519255,0.60894961,0.26723223
-5.99399700,2.13508096,1.52121970,0.00000000,0.00784659,0.13086146,0.02020414,1.49459048,0.60234147,0.27452977
-5.98799400,2.13954468,1.53517908,0.00000000,0.00770152,0.13121536,0.01933573,1.50180337,0.59518841,0.28127305
-5.98199100,2.14053934,1.54636025,0.00000000,0.00757159,0.13117354,0.01846802,1.50680142,0.58770511,0.28734067
-5.97598799,2.13812984,1.55468246,0.00000000,0.00745892,0.13072397,0.01760725,1.50960641,0.58011367,0.29262491
-5.96998499,2.13246013,1.56012670,0.00000000,0.00736519,0.12986132,0.01675963,1.51029672,0.57264029,0.29703599
-5.96398199,2.12375686,1.56274327,0.00000000,0.00729168,0.12858729,0.01593118,1.50901079,0.56551193,0.30050571
-5.95797899,2.11233071,1.56265752,0.00000000,0.00723928,0.12691090,0.01512769,1.50594881,0.55895290,0.30299043
-5.95197599,2.09857482,1.56007304,0.00000000,0.00720860,0.12484841,0.01435467,1.50137219,0.55318165,0.30447315
-5.94597299,2.08296024,1.55527186,0.00000000,0.00719996,0.12242317,0.01361722,1.49560068,0.54840742,0.30496458
-5.93996998,2.06602812,1.54861150,0.00000000,0.00721342,0.11966513,0.01292008,1.48900694,0.54482703,0.30450311
-5.93396698,2.04837852,1.54051854,0.00000000,0.00724886,0.11661025,0.01226753,1.48200851,0.54262166,0.30315370
-5.92796398,2.03065607,1.53147872,0.00000000,0.00730598,0.11329955,0.01166342,1.47505730,0.54195372,0.30100563
-5.92196098,2.01353271,1.52202380,0.00000000,0.00738426,0.10977816,0.01111109,1.46862684,0.54296365,0.29816936
-5.91595798,1.99768789,1.51271557,0.00000000,0.00748304,0.10609402,0.01061338,1.46319748,0.54576687,0.29477238
-5.90995498,1.98378688,1.50412735,0.00000000,0.00760144,0.10229666,0.01017262,1.45924018,0.55045077,0.29095444
-5.90395198,1.97245793,1.49682386,0.00000000,0.00773839,0.09843581,0.00979053,1.45719933,0.55707179,0.28686230
-5.89794897,1.96426898,1.49134004,0.00000000,0.00789254,0.09455998,0.00946829,1.45747526,0.56565275,0.28264414
-5.89194597,1.95970501,1.48815979,0.00000000,0.00806232,0.09071520,0.00920639,1.46040704,0.57618033,0.27844395
-5.88594297,1.95914662,1.48769541,0.00000000,0.00824585,0.08694377,0.00900466,1.46625643,0.58860292,0.27439618
-5.87993997,1.96285104,1.49026860,0.00000000,0.00844096,0.08328319,0.00886219,1.47519333,0.60282891,0.27062072
-5.87393697,1.97093618,1.49609386,0.00000000,0.00864516,0.07976527,0.00877731,1.48728371,0.61872543,0.26721854
-5.86793397,1.98336848,1.50526500,0.00000000,0.00885565,0.07641549,0.00874754,1.50248030,0.63611779,0.26426810
-5.86193097,1.99995524,1.51774539,0.00000000,0.00906933,0.07325256,0.00876956,1.52061665,0.65478966,0.26182268
-5.85592796,2.02034190,1.53336241,0.00000000,0.00928285,0.07028824,0.00883923,1.54140492,0.67448411,0.25990865
-5.84992496,2.04401452,1.55180655,0.00000000,0.00949260,0.06752747,0.00895157,1.56443756,0.69490566,0.25852485
-5.84392196,2.07030774,1.57263525,0.00000000,0.00969481,0.06496863,0.00910081,1.58919323,0.71572349,0.25764295
-5.83791896,2.09841817,1.59528167,0.00000000,0.00988560,0.06260409,0.00928046,1.61504674,0.73657577,0.25720889
-5.83191596,2.12742300,1.61906814,0.00000000,0.01006107,0.06042090,0.00948339,1.64128311,0.75707536,0.25714522
-5.82591296,2.15630363,1.64322418,0.00000000,0.01021737,0.05840166,0.00970194,1.66711535,0.77681668,0.25735428
-5.81990995,2.18397362,1.66690852,0.00000000,0.01035081,0.05652545,0.00992807,1.69170572,0.79538396,0.25772213
-5.81390695,2.20931036,1.68923464,0.00000000,0.01045799,0.05476885,0.01015352,1.71418979,0.81236057,0.25812308
-5.80790395,2.23118964,1.70929909,0.00000000,0.01053587,0.05310699,0.01037002,1.73370283,0.82733939,0.25842459
-5.80190095,2.24852200,1.72621168,0.00000000,0.01058191,0.05151456,0.01056947,1.74940767,0.83993392,0.25849241
-5.79589795,2.26028985,1.73912666,0.00000000,0.01059418,0.04996679,0.01074416,1.76052316,0.84978986,0.25819588
-5.78989495,2.26558398,1.74727369,0.00000000,0.01057144,0.04844033,0.01088700,1.76635228,0.85659673,0.25741298
-5.78389195,2.26363824,1.74998770,0.00000000,0.01051328,0.04691406,0.01099169,1.76630889,0.86009921,0.25603521
-5.77788894,2.25386106,1.74673625,0.00000000,0.01042015,0.04536971,0.01105294,1.75994212,0.86010755,0.25397194
