energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,5.38081756,0.00945078,0.73778271,1.66118841,3.02663999,1.94629058,0.00000000
-5.99399700,5.48394982,0.01017363,0.73458309,1.68775580,3.07853440,1.99735840,0.00000000
-5.98799400,5.57421521,0.01092786,0.72922139,1.71303813,3.12188188,2.04496431,0.00000000
-5.98199100,5.65053447,0.01171090,0.72181931,1.73731191,3.15595256,2.08863664,0.00000000
-5.97598799,5.71182817,0.01251955,0.71250629,1.76081512,3.18003286,2.12788069,0.00000000
-5.96998499,5.75704136,0.01334992,0.70141499,1.78372940,3.19344639,2.16218815,0.00000000
-5.96398199,5.78517583,0.01419743,0.68867784,1.80616495,3.19557927,2.19104970,0.00000000
-5.95797899,5.79532832,0.01505683,0.67442470,1.82814880,3.18590851,2.21396993,0.00000000
-5.95197599,5.78673226,0.01592211,0.65878169,1.84961687,3.16403167,2.23048396,0.00000000
-5.94597299,5.75880039,0.01678660,0.64187098,1.87041011,3.12969600,2.24017472,0.00000000
-5.93996998,5.71116537,0.01764290,0.62381145,1.89027492,3.08282504,2.24268981,0.00000000
-5.93396698,5.64371579,0.01848296,0.60471993,1.90886781,3.02354093,2.23775714,0.00000000
-5.92796398,5.55662527,0.01929816,0.58471291,1.92576437,2.95218065,2.22519845,0.00000000
-5.92196098,5.45037256,0.02007934,0.56390835,1.94047206,2.86930525,2.20493995,0.00000000
-5.91595798,5.32575162,0.02081692,0.54242749,1.95244666,2.77570095,2.17701979,0.00000000
-5.90995498,5.18387089,0.02150110,0.52039655,1.96111181,2.67237208,2.14159187,0.00000000
-5.90395198,5.02614204,0.02212199,0.49794797,1.96588099,2.56052587,2.09892621,0.00000000
-5.89794897,4.85425878,0.02266984,0.47522145,1.96618130,2.44155007,2.04940588,0.00000000
-5.89194597,4.67016715,0.02313528,0.45236446,1.96147814,2.31698416,1.99352086,0.00000000
-5.88594297,4.47602899,0.02350960,0.42953243,1.95129994,2.18848598,1.93185942,0.00000000
-5.87993997,4.27418055,0.02378502,0.40688865,1.93526196,2.05779520,1.86509749,0.00000000
-5.87393697,4.06708837,0.02395501,0.38460379,1.91308819,1.92669544,1.79398661,0.00000000
-5.86793397,3.85730440,0.02401453,0.36285535,1.88463045,1.79697686,1.71934107,0.00000000
-5.86193097,3.64742218,0.02396033,0.34182691,1.84988373,1.67040059,1.64202475,0.00000000
-5.85592796,3.44003557,0.02379115,0.32170735,1.80899712,1.54866658,1.56293806,0.00000000
-5.84992496,3.23770124,0.02350790,0.30268998,1.76227965,1.43338555,1.48300537,0.00000000
-5.84392196,3.04290537,0.02311381,0.28497166,1.71020068,1.32605600,1.40316304,0.00000000
-5.83791896,2.85803513,0.02261442,0.26875189,1.65338474,1.22804633,1.32434825,0.00000000
-5.83191596,2.68535454,0.02201762,0.25423169,1.59260083,1.14058208,1.24748864,0.00000000
-5.82591296,2.52698455,0.02133346,0.24161240,1.52874661,1.06473789,1.17349265,0.00000000
-5.81990995,2.38488657,0.02057404,0.23109416,1.46282805,1.00143358,1.10324058,0.00000000
-5.81390695,2.26084867,0.01975320,0.22287405,1.39593534,0.95143347,1.03757617,0.00000000
-5.80790395,2.15647382,0.01888622,0.21714384,1.32921607,0.91534817,0.97729860,0.00000000
-5.80190095,2.07316926,0.01798943,0.21408723,1.26384670,0.89363783,0.92315487,0.00000000
-5.79589795,2.01213660,0.01707982,0.21387658,1.20100353,0.88661618,0.87583250,0.00000000
-5.78989495,1.97436202,0.01617459,0.21666911,1.14183429,0.89445451,0.83595245,0.00000000
-5.78389195,1.96060660,0.01529074,0.22260263,1.08743127,0.91718522,0.80406236,0.00000000
-5.77788894,1.97139663,0.01444461,0.23179079,1.03880709,0.95470460,0.78063015,0.00000000
-5.77188594,2.00701425,0.01365153,0.24431811,0.99687364,1.00677471,0.76603804,0.00000000
-5.76588294,2.06748870,0.01292545,0.26023475,0.96242486,1.07302456,0.76057708,0.00000000
-5.75987994,2.15258890,0.01227864,0.27955141,0.93612344,1.15295081,0.76444229,0.00000000
-5.75387694,2.26181778,0.01172146,0.30223441,0.91849173,1.24591846,0.77772858,0.00000000
-5.74787394,2.39440913,0.01126220,0.32820131,0.90990648,1.35116204,0.80042744,0.00000000
-5.74187094,2.54932759,0.01090695,0.35731724,0.91059720,1.46778789,0.83242458,0.00000000
-5.73586793,2.72527222,0.01065958,0.38939225,0.92064753,1.59477796,0.87349848,0.00000000
-5.72986493,2.92068407,0.01052172,0.42417982,0.93999914,1.73099574,0.92332006,0.00000000
-5.72386193,3.13375811,0.01049290,0.46137691,0.96845752,1.87519458,0.98145332,0.00000000
