energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.87352802,0.11386843,0.08324426,0.64437294,1.45332670,0.13309793,1.30408339,0.76395995,0.37883229
-5.99399700,3.97066906,0.11826321,0.08608384,0.66902552,1.48058481,0.13594738,1.34314222,0.78710449,0.39331548
-5.98799400,4.07196723,0.12299361,0.08915702,0.69582271,1.50880862,0.13878447,1.38371484,0.81104442,0.40833561
-5.98199100,4.17662469,0.12802968,0.09244228,0.72461207,1.53770675,0.14158528,1.42552905,0.83570075,0.42377719
-5.97598799,4.28387227,0.13333507,0.09591654,0.75521193,1.56700944,0.14433064,1.46831987,0.86099772,0.43952409
-5.96998499,4.39296304,0.13886692,0.09955530,0.78741008,1.59646791,0.14700591,1.51182548,0.88685777,0.45545895
-5.96398199,4.50316036,0.14457596,0.10333264,0.82096247,1.62585114,0.14960052,1.55578151,0.91319552,0.47146230
-5.95797899,4.61372190,0.15040666,0.10722119,0.85559243,1.65494059,0.15210725,1.59991439,0.93991140,0.48741152
-5.95197599,4.72388160,0.15629760,0.11119198,0.89099050,1.68352338,0.15452142,1.64393449,0.96688526,0.50317998
-5.94597299,4.83283150,0.16218199,0.11521433,0.92681530,1.71138479,0.15683981,1.68752979,0.99397068,0.51863632
-5.93996998,4.93970576,0.16798852,0.11925569,0.96269555,1.73830069,0.15905977,1.73036094,1.02099041,0.53364432
-5.93396698,5.04356879,0.17364235,0.12328158,0.99823349,1.76403091,0.16117815,1.77205833,1.04773354,0.54806331
-5.92796398,5.14340920,0.17906634,0.12725556,1.03300971,1.78831410,0.16319052,1.81222178,1.07395475,0.56174938
-5.92196098,5.23814100,0.18418258,0.13113932,1.06658943,1.81086474,0.16509045,1.85042320,1.09937594,0.57455728
-5.91595798,5.32661274,0.18891396,0.13489294,1.09853023,1.83137276,0.16686900,1.88621247,1.12369045,0.58634325
-5.90995498,5.40762491,0.19318603,0.13847522,1.12839086,1.84950608,0.16851446,1.91912633,1.14656970,0.59696839
-5.90395198,5.47995506,0.19692874,0.14184422,1.15574101,1.86491593,0.17001232,1.94870019,1.16767231,0.60630272
-5.89794897,5.54238970,0.20007834,0.14495783,1.18017163,1.87724500,0.17134546,1.97448214,1.18665507,0.61422962
-5.89194597,5.59376144,0.20257913,0.14777460,1.20130543,1.88613779,0.17249454,1.99604854,1.20318545,0.62065031
-5.88594297,5.63298931,0.20438500,0.15025454,1.21880709,1.89125276,0.17343853,2.01302035,1.21695484,0.62548829
-5.87993997,5.65912005,0.20546090,0.15236004,1.23239282,1.89227557,0.17415541,2.02507913,1.22769202,0.62869338
-5.87393697,5.67136789,0.20578384,0.15405678,1.24183870,1.88893249,0.17462291,2.03198196,1.23517581,0.63024506
-5.86793397,5.66915046,0.20534372,0.15531469,1.24698762,1.88100331,0.17481929,2.03357404,1.23924641,0.63015490
-5.86193097,5.65211858,0.20414366,0.15610875,1.24775430,1.86833286,0.17472405,2.02979847,1.23981448,0.62846789
-5.85592796,5.62017804,0.20220006,0.15641978,1.24412826,1.85084052,0.17431866,2.02070221,1.23686756,0.62526256
-5.84992496,5.57350206,0.19954214,0.15623510,1.23617453,1.82852695,0.17358710,2.00643812,1.23047322,0.62064974
-5.84392196,5.51253344,0.19621122,0.15554895,1.22403212,1.80147789,0.17251641,1.98726251,1.22077869,0.61477010
-5.83791896,5.43797614,0.19225962,0.15436283,1.20791018,1.76986455,0.17109695,1.96352850,1.20800699,0.60779034
-5.83191596,5.35077677,0.18774923,0.15268558,1.18808208,1.73394067,0.16932273,1.93567534,1.19244948,0.59989851
-5.82591296,5.25209684,0.18274988,0.15053331,1.16487756,1.69403638,0.16719145,1.90421423,1.17445535,0.59129831
-5.81990995,5.14327713,0.17733757,0.14792902,1.13867340,1.65054928,0.16470457,1.86971147,1.15441849,0.58220295
-5.81390695,5.02579624,0.17159252,0.14490221,1.10988276,1.60393304,0.16186726,1.83276957,1.13276233,0.57282871
-5.80790395,4.90122533,0.16559727,0.14148812,1.07894381,1.55468440,0.15868823,1.79400764,1.10992359,0.56338855
-5.80190095,4.77118142,0.15943474,0.13772697,1.04630799,1.50332898,0.15517967,1.75404169,1.08633570,0.55408610
-5.79589795,4.63728152,0.15318651,0.13366302,1.01242827,1.45040681,0.15135700,1.71346623,1.06241273,0.54511038
-5.78989495,4.50109988,0.14693109,0.12934355,0.97774806,1.39645822,0.14723876,1.67283771,1.03853474,0.53663144
-5.78389195,4.36413014,0.14074256,0.12481782,0.94269089,1.34201059,0.14284644,1.63266087,1.01503532,0.52879719
-5.77788894,4.22775414,0.13468932,0.12013600,0.90765144,1.28756678,0.13820428,1.59337846,0.99219183,0.52173150
