energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.23281070,0.23374325,0.00642329,0.54863124,2.79386763,1.35535654,0.92653882,0.00000000
-5.99399700,3.33852703,0.24379548,0.00673736,0.56267823,2.87949286,1.39715019,0.96534235,0.00000000
-5.98799400,3.42958591,0.25300799,0.00702445,0.57393508,2.95034363,1.43286345,1.00065963,0.00000000
-5.98199100,3.50494452,0.26130083,0.00728058,0.58226913,3.00540419,1.46210930,1.03211558,0.00000000
-5.97598799,3.56384778,0.26861544,0.00750230,0.58760354,3.04396953,1.48461500,1.05940569,0.00000000
-5.96998499,3.60584909,0.27491647,0.00768678,0.58991994,3.06567043,1.50022881,1.08230363,0.00000000
-5.96398199,3.63082135,0.28019266,0.00783190,0.58925916,3.07048755,1.50892303,1.10066631,0.00000000
-5.95797899,3.63895798,0.28445680,0.00793630,0.58572010,3.05875359,1.51079338,1.11443618,0.00000000
-5.95197599,3.63076367,0.28774475,0.00799934,0.57945675,3.03114335,1.50605469,1.12364065,0.00000000
-5.94597299,3.60703538,0.29011357,0.00802119,0.57067338,2.98865190,1.49503322,1.12838866,0.00000000
-5.93996998,3.56883464,0.29163888,0.00800269,0.55961820,2.93256168,1.47815592,1.12886477,0.00000000
-5.93396698,3.51745215,0.29241148,0.00794537,0.54657569,2.86440012,1.45593720,1.12532094,0.00000000
-5.92796398,3.45436674,0.29253354,0.00785135,0.53185796,2.78588943,1.42896375,1.11806663,0.00000000
-5.92196098,3.38120027,0.29211451,0.00772323,0.51579541,2.69889099,1.39787829,1.10745759,0.00000000
-5.91595798,3.29967075,0.29126697,0.00756401,0.49872733,2.60534669,1.36336270,1.09388402,0.00000000
-5.90995498,3.21154568,0.29010256,0.00737696,0.48099254,2.50722007,1.32612154,1.07775876,0.00000000
-5.90395198,3.11859763,0.28872838,0.00716553,0.46292067,2.40643948,1.28686635,1.05950587,0.00000000
-5.89794897,3.02256374,0.28724387,0.00693326,0.44482437,2.30484603,1.24630146,1.03955039,0.00000000
-5.89194597,2.92511075,0.28573827,0.00668364,0.42699270,2.20414801,1.20511176,1.01830945,0.00000000
-5.88594297,2.82780637,0.28428898,0.00642008,0.40968595,2.10588375,1.16395253,0.99618511,0.00000000
-5.87993997,2.73209780,0.28296060,0.00614583,0.39313203,2.01139383,1.12344166,0.97355912,0.00000000
-5.87393697,2.63929745,0.28180469,0.00586391,0.37752443,1.92180327,1.08415419,0.95078953,0.00000000
-5.86793397,2.55057538,0.28086031,0.00557709,0.36302171,1.83801381,1.04661883,0.92820914,0.00000000
-5.86193097,2.46695800,0.28015507,0.00528789,0.34974839,1.76070554,1.01131634,0.90612535,0.00000000
-5.85592796,2.38933167,0.27970652,0.00499856,0.33779710,1.69034707,0.97867924,0.88482129,0.00000000
-5.84992496,2.31845001,0.27952390,0.00471108,0.32723151,1.62721271,0.94909234,0.86455762,0.00000000
-5.84392196,2.25494343,0.27960986,0.00442720,0.31809001,1.57140502,0.92289367,0.84557469,0.00000000
-5.83791896,2.19932932,0.27996208,0.00414843,0.31038960,1.52288076,0.90037526,0.82809453,0.00000000
-5.83191596,2.15202160,0.28057464,0.00387611,0.30412975,1.48147856,0.88178342,0.81232229,0.00000000
-5.82591296,2.11333841,0.28143903,0.00361137,0.29929603,1.44694621,0.86731803,0.79844685,0.00000000
-5.81990995,2.08350698,0.28254469,0.00335523,0.29586299,1.41896618,0.85713085,0.78664029,0.00000000
-5.81390695,2.06266515,0.28387911,0.00310856,0.29379650,1.39717793,0.85132269,0.77705616,0.00000000
-5.80790395,2.05085952,0.28542744,0.00287214,0.29305503,1.38119603,0.84993947,0.76982655,0.00000000
-5.80190095,2.04804017,0.28717185,0.00264665,0.29359014,1.37062352,0.85296756,0.76505810,0.00000000
-5.79589795,2.05405287,0.28909053,0.00243268,0.29534606,1.36506037,0.86032866,0.76282717,0.00000000
-5.78989495,2.06862947,0.29115658,0.00223075,0.29825852,1.36410711,0.87187470,0.76317459,0.00000000
-5.78389195,2.09137771,0.29333702,0.00204133,0.30225305,1.36736440,0.88738341,0.76610032,0.00000000
-5.77788894,2.12177187,0.29559193,0.00186480,0.30724290,1.37442913,0.90655491,0.77155845,0.00000000
-5.77188594,2.15914538,0.29787395,0.00170153,0.31312692,1.38488831,0.92901018,0.77945313,0.00000000
-5.76588294,2.20268695,0.30012824,0.00155181,0.31978768,1.39831175,0.95429159,0.78963570,0.00000000
-5.75987994,2.25144122,0.30229301,0.00141595,0.32709002,1.41424479,0.98186613,0.80190345,0.00000000
-5.75387694,2.30431488,0.30430061,0.00129422,0.33488036,1.43220218,1.01113147,0.81600028,0.00000000
-5.74787394,2.36008881,0.30607927,0.00118695,0.34298697,1.45166405,1.04142504,0.83161940,0.00000000
-5.74187094,2.41743652,0.30755534,0.00109449,0.35122130,1.47207477,1.07203605,0.84840817,0.00000000
-5.73586793,2.47494861,0.30865604,0.00101733,0.35938044,1.49284516,1.10222015,0.86597491,0.00000000
-5.72986493,2.53116276,0.30931251,0.00095606,0.36725074,1.51335830,1.13121646,0.88389763,0.00000000
-5.72386193,2.58459826,0.30946310,0.00091144,0.37461254,1.53297892,1.15826626,0.90173424,0.00000000
-5.71785893,2.63379387,0.30905658,0.00088447,0.38124571,1.55106580,1.18263286,0.91903392,0.00000000
-5.71185593,2.67734738,0.30805532,0.00087638,0.38693596,1.56698696,1.20362160,0.93534923,0.00000000
-5.70585293,2.71395536,0.30643799,0.00088871,0.39148143,1.58013643,1.22059948,0.95024835,0.00000000
-5.69984992,2.74245132,0.30420183,0.00092330,0.39469948,1.58995198,1.23301336,0.96332711,0.00000000
-5.69384692,2.76184051,0.30136429,0.00098233,0.39643313,1.59593271,1.24040609,0.97422017,0.00000000
-5.68784392,2.77132987,0.29796388,0.00106831,0.39655690,1.59765539,1.24242980,0.98261104,0.00000000
-5.68184092,2.77035178,0.29406015,0.00118406,0.39498176,1.59478879,1.23885582,0.98824042,0.00000000
-5.67583792,2.75858052,0.28973292,0.00133272,0.39165889,1.58710509,1.22958083,0.99091272,0.00000000
-5.66983492,2.73594070,0.28508047,0.00151765,0.38658204,1.57448762,1.21462890,0.99050046,0.00000000
-5.66383192,2.70260744,0.28021705,0.00174237,0.37978824,1.55693472,1.19414948,0.98694643,0.00000000
-5.65782891,2.65899824,0.27526950,0.00201048,0.37135707,1.53455932,1.16841133,0.98026369,0.00000000
-5.65182591,2.60575699,0.27037324,0.00232556,0.36140812,1.50758431,1.13779288,0.97053352,0.00000000
-5.64582291,2.54373109,0.26566777,0.00269101,0.35009713,1.47633394,1.10276924,0.95790133,0.00000000
-5.63981991,2.47394252,0.26129176,0.00310989,0.33761068,1.44122185,1.06389669,0.94257106,0.00000000
-5.63381691,2.39755447,0.25737788,0.00358482,0.32415986,1.40273602,1.02179517,0.92479809,0.00000000
-5.62781391,2.31583480,0.25404771,0.00411776,0.30997314,1.36142181,0.97712966,0.90488126,0.00000000
-5.62181091,2.23011807,0.25140681,0.00470989,0.29528875,1.31786352,0.93059109,0.88315421,0.00000000
-5.61580790,2.14176777,0.24954012,0.00536140,0.28034702,1.27266566,0.88287767,0.85997640,0.00000000
-5.60980490,2.05213998,0.24850807,0.00607141,0.26538292,1.22643449,0.83467725,0.83572427,0.00000000
-5.60380190,1.96255015,0.24834334,0.00683783,0.25061912,1.17976089,0.78665138,0.81078269,0.00000000
-5.59779890,1.87424387,0.24904861,0.00765726,0.23625997,1.13320493,0.73942155,0.78553709,0.00000000
-5.59179590,1.78837262,0.25059542,0.00852496,0.22248653,1.08728291,0.69355794,0.76036637,0.00000000
-5.58579290,1.70597498,0.25292418,0.00943482,0.20945283,1.04245717,0.64957099,0.73563672,0.00000000
-5.57978989,1.62796365,0.25594537,0.01037944,0.19728354,0.99912887,0.60790581,0.71169657,0.00000000
-5.57378689,1.55511818,0.25954205,0.01135020,0.18607293,0.95763377,0.56893931,0.68887242,0.00000000
-5.56778389,1.48808312,0.26357357,0.01233738,0.17588529,0.91824104,0.53298003,0.66746578,0.00000000
-5.56178089,1.42737098,0.26788027,0.01333035,0.16675649,0.88115469,0.50027020,0.64775086,0.00000000
-5.55577789,1.37336933,0.27228927,0.01431782,0.15869668,0.84651733,0.47098970,0.62997313,0.00000000
-5.54977489,1.32635109,0.27662084,0.01528807,0.15169383,0.81441587,0.44526159,0.61434839,0.00000000
-5.54377189,1.28648699,0.28069533,0.01622922,0.14571789,0.78488849,0.42315860,0.60106236,0.00000000
-5.53776888,1.25385940,0.28434030,0.01712954,0.14072540,0.75793261,0.40471017,0.59027049,0.00000000
-5.53176588,1.22847634,0.28739748,0.01797773,0.13666409,0.73351306,0.38990965,0.58209801,0.00000000
