energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,2.16033189,0.00320807,0.40310751,0.75870588,0.80021004,0.01076871,0.63761156
-5.99399700,2.27042903,0.00357024,0.41873619,0.81384069,0.84158751,0.01071134,0.68226719
-5.98799400,2.38916255,0.00394938,0.43623241,0.87263245,0.88653388,0.01067465,0.72941407
-5.98199100,2.51615473,0.00434259,0.45574347,0.93475467,0.93509916,0.01066793,0.77858294
-5.97598799,2.65077311,0.00474659,0.47737607,0.99978403,0.98724641,0.01070031,0.82921563
-5.96998499,2.79213535,0.00515777,0.50119186,1.06720842,1.04284752,0.01078060,0.88067506
-5.96398199,2.93912440,0.00557229,0.52720449,1.13643905,1.10168211,0.01091697,0.93225901
-5.95797899,3.09041310,0.00598617,0.55537790,1.20682586,1.16343934,0.01111685,0.98321742
-5.95197599,3.24449706,0.00639539,0.58562597,1.27767584,1.22772258,0.01138669,1.03277232
-5.94597299,3.39973408,0.00679603,0.61781336,1.34827304,1.29405637,0.01173186,1.08013975
-5.93996998,3.55438805,0.00718434,0.65175744,1.41789965,1.36189556,0.01215655,1.12455266
-5.93396698,3.70667541,0.00755689,0.68723113,1.48585676,1.43063591,0.01266363,1.16528373
-5.92796398,3.85481185,0.00791067,0.72396645,1.55148401,1.49962588,0.01325461,1.20166726
-5.92196098,3.99705715,0.00824313,0.76165876,1.61417707,1.56817903,0.01392957,1.23311899
-5.91595798,4.13175656,0.00855229,0.79997144,1.67340212,1.63558670,0.01468713,1.25915320
-5.90995498,4.25737703,0.00883676,0.83854095,1.72870670,1.70113060,0.01552440,1.27939618
-5.90395198,4.37253725,0.00909579,0.87698219,1.77972648,1.76409515,0.01643697,1.29359575
-5.89794897,4.47603093,0.00932922,0.91489422,1.82618785,1.82377925,0.01741893,1.30162639
-5.89194597,4.56684320,0.00953749,0.95186616,1.86790636,1.87950760,0.01846285,1.30349000
-5.88594297,4.64416014,0.00972158,0.98748346,1.90478146,1.93064141,0.01955987,1.29931240
-5.87993997,4.70737242,0.00988293,1.02133438,1.93678797,1.97658855,0.02069974,1.28933590
-5.87393697,4.75607369,0.01002339,1.05301687,1.96396519,2.01681319,0.02187097,1.27390854
-5.86793397,4.79005498,0.01014511,1.08214565,1.98640452,2.05084509,0.02306095,1.25347063
-5.86193097,4.80929631,0.01025045,1.10835960,2.00423655,2.07828825,0.02425618,1.22853928
-5.85592796,4.81395670,0.01034190,1.13132930,2.01761851,2.09882926,0.02544253,1.19969193
-5.84992496,4.80436364,0.01042202,1.15076458,2.02672324,2.11224495,0.02660552,1.16754941
-5.84392196,4.78100300,0.01049334,1.16642200,2.03173017,2.11840935,0.02773072,1.13275959
-5.83791896,4.74450992,0.01055832,1.17811196,2.03281917,2.11729972,0.02880414,1.09598190
-5.83191596,4.69566121,0.01061935,1.18570531,2.03016746,2.10900136,0.02981266,1.05787368
-5.82591296,4.63536913,0.01067872,1.18913904,2.02394990,2.09371100,0.03074451,1.01907842
-5.81990995,4.56467649,0.01073861,1.18842104,2.01434242,2.07173828,0.03158971,0.98021618
-5.81390695,4.48475247,0.01080118,1.18363343,2.00152824,2.04350537,0.03234060,0.94187647
-5.80790395,4.39688857,0.01086855,1.17493438,1.98570633,2.00954416,0.03299220,0.90461314
-5.80190095,4.30249375,0.01094286,1.16255820,1.96710124,1.97049104,0.03354263,0.86894137
-5.79589795,4.20308797,0.01102636,1.14681354,1.94597347,1.92707907,0.03399340,0.83533625
-5.78989495,4.10029313,0.01112141,1.12807964,1.92262924,1.88012767,0.03434964,0.80423258
-5.78389195,3.99582066,0.01123051,1.10680059,1.89742885,1.83052968,0.03462018,0.77602537
-5.77788894,3.89145502,0.01135634,1.08347774,1.87079233,1.77923619,0.03481750,0.75107068
-5.77188594,3.78903276,0.01150172,1.05866025,1.84320195,1.72723935,0.03495763,0.72968623
-5.76588294,3.69041678,0.01166956,1.03293411,1.81520058,1.67555344,0.03505979,0.71215136
-5.75987994,3.59746599,0.01186279,1.00690978,1.78738570,1.62519473,0.03514592,0.69870623
-5.75387694,3.51200072,0.01208421,0.98120885,1.76039881,1.57716066,0.03524018,0.68954979
-5.74787394,3.43576458,0.01233639,0.95644999,1.73491042,1.53240867,0.03536817,0.68483665
-5.74187094,3.37038370,0.01262148,0.93323459,1.71160102,1.49183550,0.03555616,0.68467280
-5.73586793,3.31732466,0.01294097,0.91213254,1.69113877,1.45625723,0.03583020,0.68911048
-5.72986493,3.27785252,0.01329556,0.89366839,1.67415488,1.42639085,0.03621523,0.69814237
-5.72386193,3.25299048,0.01368492,0.87830844,1.66121776,1.40283758,0.03673412,0.71169564
-5.71785893,3.24348293,0.01410750,0.86644901,1.65280727,1.38606864,0.03740678,0.72962629
-5.71185593,3.24976336,0.01456043,0.85840627,1.64929046,1.37641364,0.03824929,0.75171432
-5.70585293,3.27192887,0.01503936,0.85440782,1.65090001,1.37405208,0.03927316,0.77766036
-5.69984992,3.30972251,0.01553843,0.85458640,1.65771671,1.37900798,0.04048473,0.80708409
-5.69384692,3.36252463,0.01605031,0.85897569,1.66965692,1.39114805,0.04188461,0.83952506
-5.68784392,3.42935407,0.01656625,0.86750863,1.68646603,1.41018324,0.04346747,0.87444620
-5.68184092,3.50887967,0.01707623,0.88001794,1.70771825,1.43567379,0.04522184,0.91124012
-5.67583792,3.59944215,0.01756924,0.89623923,1.73282312,1.46703765,0.04713024,0.94923842
-5.66983492,3.69908601,0.01803353,0.91581631,1.76103864,1.50356211,0.04916947,0.98772373
-5.66383192,3.80560084,0.01845697,0.93830890,1.79149044,1.54441843,0.05131106,1.02594430
-5.65782891,3.91657082,0.01882744,0.96320230,1.82319652,1.58867908,0.05352196,1.06313065
-5.65182591,4.02943103,0.01913325,0.98991906,1.85509637,1.63533734,0.05576533,1.09851370
-5.64582291,4.14152894,0.01936353,1.01783218,1.88608336,1.68332880,0.05800158,1.13134380
-5.63981991,4.25018908,0.01950866,1.04627974,1.91503907,1.73155423,0.06018937,1.16090980
-5.63381691,4.35277897,0.01956064,1.07458050,1.94086813,1.77890348,0.06228683,1.18655744
-5.62781391,4.44677414,0.01951336,1.10205005,1.96253219,1.82427967,0.06425270,1.20770641
-5.62181091,4.52982036,0.01936289,1.12801730,1.97908169,1.86662332,0.06604755,1.22386527
-5.61580790,4.59979102,0.01910763,1.15184074,1.98968424,1.90493572,0.06763493,1.23464372
-5.60980490,4.65483808,0.01874837,1.17292397,1.99364859,1.93830102,0.06898240,1.23976182
-5.60380190,4.69343499,0.01828832,1.19073031,1.99044353,1.96590650,0.07006251,1.23905572
-5.59779890,4.71441058,0.01773294,1.20479582,1.97971102,1.98706048,0.07085358,1.23247997
-5.59179590,4.71697283,0.01708983,1.21474049,1.96127350,2.00120746,0.07134026,1.22010620
-5.58579290,4.70072230,0.01636843,1.22027714,1.93513531,2.00793994,0.07151401,1.20211858
-5.57978989,4.66565478,0.01557971,1.22121790,1.90147846,2.00700676,0.07137320,1.17880615
-5.57378689,4.61215367,0.01473584,1.21747791,1.86065330,1.99831759,0.07092308,1.15055264
-5.56778389,4.54097232,0.01384976,1.20907614,1.81316466,1.98194346,0.07017549,1.11782410
-5.56178089,4.45320740,0.01293483,1.19613341,1.75965430,1.95811340,0.06914838,1.08115507
-5.55577789,4.35026418,0.01200447,1.17886756,1.70088049,1.92720712,0.06786507,1.04113367
-5.54977489,4.23381517,0.01107176,1.15758606,1.63769567,1.88974408,0.06635340,0.99838624
-5.54377189,4.10575348,0.01014916,1.13267618,1.57102299,1.84636932,0.06464472,0.95356207
-5.53776888,3.96814246,0.00924823,1.10459332,1.50183270,1.79783631,0.06277280,0.90731862
-5.53176588,3.82316327,0.00837947,1.07384776,1.43111906,1.74498758,0.06077267,0.86030757
-5.52576288,3.67306198,0.00755208,1.04099031,1.35987854,1.68873357,0.05867949,0.81316210
-5.51975988,3.52009761,0.00677399,1.00659757,1.28908974,1.63003045,0.05652746,0.76648548
-5.51375688,3.36649280,0.00605173,0.97125716,1.21969558,1.56985756,0.05434879,0.72084124
-5.50775388,3.21438812,0.00539049,0.93555343,1.15258802,1.50919517,0.05217285,0.67674491
-5.50175088,3.06580130,0.00479417,0.90005426,1.08859540,1.44900317,0.05002545,0.63465738
-5.49574787,2.92259219,0.00426549,0.86529922,1.02847268,1.39020136,0.04792833,0.59497985
-5.48974487,2.78643414,0.00380609,0.83178947,0.97289424,1.33365172,0.04589883,0.55805030
-5.48374187,2.65879217,0.00341665,0.79997963,0.92244936,1.28014330,0.04394975,0.52414148
-5.47773887,2.54090814,0.00309704,0.77027175,0.87764008,1.23037980,0.04208946,0.49346023
-5.47173587,2.43379281,0.00284646,0.74301138,0.83888116,1.18497023,0.04032214,0.46614811
