energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.66661838,0.00700586,0.22874188,0.27224118,0.00000000,1.27130361,1.41643228,0.02738793,1.02095992
-5.99399700,2.78156710,0.00757519,0.23171348,0.28546421,0.00000000,1.30335005,1.48594732,0.02798092,1.07283644
-5.98799400,2.90352596,0.00822885,0.23572405,0.29966293,0.00000000,1.34117582,1.55776831,0.02864464,1.12708416
-5.98199100,3.03166310,0.00896872,0.24077132,0.31477616,0.00000000,1.38453818,1.63132258,0.02937294,1.18333072
-5.97598799,3.16508779,0.00979548,0.24684401,0.33073499,0.00000000,1.43315148,1.70602326,0.03015945,1.24118192
-5.96998499,3.30285899,0.01070837,0.25392162,0.34746219,0.00000000,1.48668986,1.78127886,0.03099744,1.30022474
-5.96398199,3.44399456,0.01170498,0.26197446,0.36487177,0.00000000,1.54478996,1.85650280,0.03187983,1.36003049
-5.95797899,3.58748038,0.01278107,0.27096381,0.38286870,0.00000000,1.60705342,1.93112229,0.03279909,1.42015805
-5.95197599,3.73227919,0.01393045,0.28084202,0.40134869,0.00000000,1.67304894,2.00458628,0.03374719,1.48015707
-5.94597299,3.87733884,0.01514493,0.29155278,0.42019834,0.00000000,1.74231381,2.07637200,0.03471558,1.53957108
-5.93996998,4.02159963,0.01641434,0.30303133,0.43929531,0.00000000,1.81435504,2.14599007,0.03569517,1.59794046
-5.93396698,4.16400103,0.01772663,0.31520468,0.45850890,0.00000000,1.88864993,2.21298788,0.03667631,1.65480549
-5.92796398,4.30348767,0.01906806,0.32799176,0.47770084,0.00000000,1.96464638,2.27695148,0.03764885,1.70970941
-5.92196098,4.43901512,0.02042343,0.34130366,0.49672635,0.00000000,2.04176324,2.33750595,0.03860222,1.76220171
-5.91595798,4.56955552,0.02177646,0.35504385,0.51543559,0.00000000,2.11939069,2.39431468,0.03952549,1.81184179
-5.90995498,4.69410377,0.02311013,0.36910838,0.53367536,0.00000000,2.19689125,2.44707766,0.04040755,1.85820300
-5.90395198,4.81168427,0.02440715,0.38338627,0.55129115,0.00000000,2.27360156,2.49552935,0.04123724,1.90087738
-5.89794897,4.92135876,0.02565045,0.39775994,0.56812940,0.00000000,2.34883521,2.53943630,0.04200363,1.93948080
-5.89194597,5.02223540,0.02682364,0.41210588,0.58404002,0.00000000,2.42188693,2.57859496,0.04269622,1.97365886
-5.88594297,5.11347893,0.02791149,0.42629549,0.59887898,0.00000000,2.49203821,2.61283001,0.04330519,2.00309310
-5.87993997,5.19432217,0.02890041,0.44019613,0.61251100,0.00000000,2.55856461,2.64199320,0.04382167,2.02750760
-5.87393697,5.26407827,0.02977879,0.45367254,0.62481216,0.00000000,2.62074461,2.66596316,0.04423802,2.04667553
-5.86793397,5.32215358,0.03053739,0.46658845,0.63567237,0.00000000,2.67786996,2.68464594,0.04454807,2.06042560
-5.86193097,5.36806056,0.03116953,0.47880855,0.64499754,0.00000000,2.72925747,2.69797645,0.04474728,2.06864782
-5.85592796,5.40143021,0.03167127,0.49020065,0.65271148,0.00000000,2.77426177,2.70592063,0.04483297,2.07129847
-5.84992496,5.42202357,0.03204143,0.50063820,0.65875736,0.00000000,2.81228900,2.70847817,0.04480437,2.06840388
-5.84392196,5.42974166,0.03228155,0.51000288,0.66309869,0.00000000,2.84281066,2.70568566,0.04466270,2.06006278
-5.83791896,5.42463344,0.03239572,0.51818739,0.66571982,0.00000000,2.86537756,2.69762006,0.04441113,2.04644701
-5.83191596,5.40690157,0.03239034,0.52509832,0.66662596,0.00000000,2.87963315,2.68440205,0.04405473,2.02780063
-5.82591296,5.37690550,0.03227382,0.53065884,0.66584273,0.00000000,2.88532586,2.66619935,0.04360027,2.00443719
-5.81990995,5.33516201,0.03205621,0.53481145,0.66341527,0.00000000,2.88231991,2.64322979,0.04305606,1.97673548
-5.81390695,5.28234312,0.03174880,0.53752025,0.65940698,0.00000000,2.87060432,2.61576380,0.04243173,1.94513382
-5.80790395,5.21927140,0.03136368,0.53877303,0.65389800,0.00000000,2.85029953,2.58412659,0.04173793,1.91012314
-5.80190095,5.14691305,0.03091338,0.53858274,0.64698343,0.00000000,2.82166138,2.54869958,0.04098609,1.87223919
-5.79589795,5.06636872,0.03041048,0.53698850,0.63877141,0.00000000,2.78508229,2.50992117,0.04018811,1.83205411
-5.78989495,4.97886259,0.02986728,0.53405589,0.62938116,0.00000000,2.74108925,2.46828677,0.03935619,1.79016790
-5.78389195,4.88572971,0.02929548,0.52987650,0.61894101,0.00000000,2.69033882,2.42434787,0.03850252,1.74719971
-5.77788894,4.78840182,0.02870603,0.52456682,0.60758637,0.00000000,2.63360885,2.37871022,0.03763917,1.70377961
-5.77188594,4.68839187,0.02810895,0.51826629,0.59545792,0.00000000,2.57178736,2.33203078,0.03677794,1.66054065
-5.76588294,4.58727721,0.02751320,0.51113464,0.58269972,0.00000000,2.50585849,2.28501346,0.03593027,1.61811161
-5.75987994,4.48668154,0.02692672,0.50334859,0.56945759,0.00000000,2.43688608,2.23840344,0.03510720,1.57711028
-5.75387694,4.38825551,0.02635640,0.49509799,0.55587746,0.00000000,2.36599517,2.19297990,0.03431939,1.53813725
-5.74787394,4.29365614,0.02580812,0.48658141,0.54210386,0.00000000,2.29435187,2.14954716,0.03357716,1.50177025
-5.74187094,4.20452494,0.02528690,0.47800157,0.52827857,0.00000000,2.22314214,2.10892405,0.03289049,1.46855873
-5.73586793,4.12246482,0.02479691,0.46956053,0.51453926,0.00000000,2.15355010,2.07193163,0.03226918,1.43901867
-5.72986493,4.04901598,0.02434165,0.46145494,0.50101828,0.00000000,2.08673634,2.03937931,0.03172283,1.41362736
-5.72386193,3.98563102,0.02392399,0.45387148,0.48784161,0.00000000,2.02381677,2.01204951,0.03126089,1.39281817
-5.71785893,3.93364963,0.02354626,0.44698266,0.47512780,0.00000000,1.96584268,1.99068128,0.03089271,1.37697510
-5.71185593,3.89427330,0.02321032,0.44094315,0.46298710,0.00000000,1.91378222,1.97595317,0.03062749,1.36642716
-5.70585293,3.86854069,0.02291762,0.43588663,0.45152075,0.00000000,1.86850398,1.96846582,0.03047420,1.36144271
-5.69984992,3.85730430,0.02266918,0.43192344,0.44082031,0.00000000,1.83076270,1.96872498,0.03044147,1.36222373
