energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,8.48949830,0.65256383,0.42182245,0.00249501,2.93998963,0.08257622,1.69767810,3.13492320,1.94707423
-5.99399700,8.70221562,0.65910396,0.42942048,0.00237949,3.03869203,0.08380587,1.71796862,3.23165660,2.02627256
-5.98799400,8.89850359,0.66414826,0.43547420,0.00226750,3.13232896,0.08479598,1.73447006,3.32189669,2.10144167
-5.98199100,9.07562164,0.66774234,0.43992318,0.00215963,3.21925652,0.08554925,1.74736799,3.40408758,2.17120606
-5.97598799,9.23101689,0.66995080,0.44273715,0.00205646,3.29784098,0.08607496,1.75694182,3.47672286,2.23420423
-5.96998499,9.36241500,0.67085614,0.44391751,0.00195857,3.36651265,0.08638914,1.76355868,3.53839787,2.28913193
-5.96398199,9.46790832,0.67055756,0.44349813,0.00186649,3.42382133,0.08651461,1.76766433,3.58786194,2.33478608
-5.95797899,9.54603686,0.66916960,0.44154539,0.00178070,3.46849032,0.08648073,1.76977139,3.62406803,2.37010749
-5.95197599,9.59585741,0.66682074,0.43815731,0.00170167,3.49946660,0.08632302,1.77044510,3.64621717,2.39422015
-5.94597299,9.61699633,0.66365189,0.43346189,0.00162980,3.51596436,0.08608250,1.77028699,3.65379544,2.40646523
-5.93996998,9.60968276,0.65981486,0.42761455,0.00156545,3.51749968,0.08580483,1.76991696,3.64660121,2.40642799
-5.93396698,9.57475922,0.65547077,0.42079475,0.00150891,3.50391427,0.08553926,1.76995428,3.62476113,2.39395607
-5.92796398,9.51366834,0.65078838,0.41320181,0.00146042,3.47538704,0.08533729,1.77099818,3.58873372,2.36916824
-5.92196098,9.42841525,0.64594241,0.40505008,0.00142015,3.43243261,0.08525130,1.77360861,3.53929998,2.33245304
-5.91595798,9.32150693,0.64111173,0.39656353,0.00138819,3.37588670,0.08533291,1.77828804,3.47754137,2.28445720
