energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.29144814,0.00858109,0.07782667,0.18438422,0.35138722,0.41677114,0.01116441,0.63008847
-5.99399700,1.26612159,0.00867051,0.07487628,0.17774328,0.34888078,0.40386994,0.01037907,0.62412880
-5.98799400,1.24496371,0.00878411,0.07215481,0.17135380,0.34729624,0.39254780,0.00968538,0.62004601
-5.98199100,1.22817478,0.00892203,0.06967865,0.16530513,0.34670044,0.38285910,0.00908191,0.61793218
-5.97598799,1.21581047,0.00908353,0.06745485,0.15966704,0.34712362,0.37480732,0.00856589,0.61781330
-5.96998499,1.20779216,0.00926708,0.06548151,0.15448906,0.34856214,0.36834892,0.00813346,0.61965431
-5.96398199,1.20392369,0.00947044,0.06374860,0.14980097,0.35098307,0.36339926,0.00777992,0.62336717
-5.95797899,1.20391352,0.00969089,0.06223916,0.14561406,0.35433048,0.35984004,0.00749994,0.62882188
-5.95197599,1.20740109,0.00992540,0.06093071,0.14192328,0.35853295,0.35752804,0.00728787,0.63585946
-5.94597299,1.21398583,0.01017082,0.05979694,0.13871004,0.36351203,0.35630459,0.00713797,0.64430627
-5.93996998,1.22325719,0.01042415,0.05880954,0.13594538,0.36919096,0.35600537,0.00704464,0.65398877
-5.93396698,1.23482380,0.01068270,0.05794001,0.13359351,0.37550322,0.35646984,0.00700261,0.66474774
-5.92796398,1.24834028,0.01094429,0.05716155,0.13161525,0.38240048,0.35755006,0.00700714,0.67645108
-5.92196098,1.26352978,0.01120741,0.05645071,0.12997138,0.38985920,0.35911812,0.00705411,0.68900439
-5.91595798,1.28020125,0.01147125,0.05578887,0.12862559,0.39788575,0.36107212,0.00714011,0.70235854
-5.90995498,1.29826012,0.01173582,0.05516347,0.12754694,0.40651952,0.36334015,0.00726249,0.71651377
-5.90395198,1.31771188,0.01200188,0.05456890,0.12671167,0.41583382,0.36588215,0.00741926,0.73151993
-5.89794897,1.33865825,0.01227085,0.05400701,0.12610434,0.42593453,0.36868966,0.00760911,0.74747275
-5.89194597,1.36128616,0.01254471,0.05348731,0.12571826,0.43695646,0.37178341,0.00783124,0.76450640
-5.88594297,1.38585017,0.01282578,0.05302669,0.12555521,0.44905763,0.37520893,0.00808519,0.78278249
-5.87993997,1.41264933,0.01311650,0.05264886,0.12562452,0.46241160,0.37903059,0.00837072,0.80247635
-5.87393697,1.44199978,0.01341917,0.05238346,0.12594168,0.47719841,0.38332421,0.00868753,0.82376118
-5.86793397,1.47420477,0.01373569,0.05226479,0.12652648,0.49359437,0.38816892,0.00903512,0.84679101
-5.86193097,1.50952371,0.01406730,0.05233046,0.12740088,0.51176134,0.39363861,0.00941254,0.87168353
-5.85592796,1.54814216,0.01441433,0.05261968,0.12858683,0.53183596,0.39979353,0.00981824,0.89850375
-5.84992496,1.59014446,0.01477602,0.05317165,0.13010398,0.55391928,0.40667249,0.01024990,0.92724940
-5.84392196,1.63549051,0.01515037,0.05402368,0.13196774,0.57806738,0.41428620,0.01070429,0.95783908
-5.83791896,1.68399817,0.01553404,0.05520954,0.13418736,0.60428331,0.42261193,0.01117723,0.99010381
-5.83191596,1.73533224,0.01592235,0.05675772,0.13676461,0.63251079,0.43159009,0.01166356,1.02378251
-5.82591296,1.78900065,0.01630935,0.05868992,0.13969271,0.66262980,0.44112260,0.01215719,1.05852189
-5.81990995,1.84435833,0.01668796,0.06101974,0.14295578,0.69445446,0.45107342,0.01265117,1.09388068
-5.81390695,1.90061838,0.01705015,0.06375150,0.14652880,0.72773301,0.46127101,0.01313784,1.12933819
-5.80790395,1.95687036,0.01738725,0.06687944,0.15037796,0.76215017,0.47151277,0.01360906,1.16430686
-5.80190095,2.01210462,0.01769025,0.07038717,0.15446145,0.79733156,0.48157112,0.01405640,1.19814824
-5.79589795,2.06524185,0.01795015,0.07424748,0.15873068,0.83285021,0.49120102,0.01447146,1.23019170
-5.78989495,2.11516623,0.01815833,0.07842249,0.16313175,0.86823488,0.50014850,0.01484612,1.25975509
-5.78389195,2.16076117,0.01830696,0.08286409,0.16760723,0.90297990,0.50815994,0.01517289,1.28616640
-5.77788894,2.20094565,0.01838931,0.08751490,0.17209811,0.93655637,0.51499148,0.01544513,1.30878564
-5.77188594,2.23471019,0.01840011,0.09230938,0.17654583,0.96842424,0.52041846,0.01565740,1.32702583
-5.76588294,2.26115062,0.01833578,0.09717547,0.18089447,0.99804518,0.52424421,0.01580567,1.34037251
-5.75987994,2.27949870,0.01819469,0.10203631,0.18509280,1.02489567,0.52630805,0.01588755,1.34840084
-5.75387694,2.28914842,0.01797728,0.10681239,0.18909633,1.04848010,0.52649216,0.01590241,1.35078981
-5.74787394,2.28967707,0.01768612,0.11142378,0.19286921,1.06834357,0.52472702,0.01585151,1.34733302
-5.74187094,2.28086061,0.01732589,0.11579250,0.19638590,1.08408391,0.52099545,0.01573802,1.33794583
-5.73586793,2.26268289,0.01690328,0.11984491,0.19963258,1.09536276,0.51533491,0.01556699,1.32266859
-5.72986493,2.23533861,0.01642683,0.12351401,0.20260825,1.10191522,0.50783828,0.01534525,1.30166617
-5.72386193,2.19923027,0.01590666,0.12674166,0.20532533,1.10355787,0.49865303,0.01508121,1.27522377
-5.71785893,2.15495916,0.01535418,0.12948042,0.20780995,1.10019483,0.48797890,0.01478471,1.24373938
-5.71185593,2.10331119,0.01478174,0.13169517,0.21010158,1.09182167,0.47606424,0.01446667,1.20771339
-5.70585293,2.04523800,0.01420223,0.13336420,0.21225223,1.07852689,0.46320129,0.01413879,1.16773563
-5.69984992,1.98183420,0.01362870,0.13447987,0.21432501,1.06049096,0.44972037,0.01381320,1.12447048
-5.69384692,1.91431160,0.01307391,0.13504869,0.21639213,1.03798283,0.43598352,0.01350208,1.07864073
-5.68784392,1.84397116,0.01254996,0.13509094,0.21853243,1.01135392,0.42237751,0.01321724,1.03101052
