energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.67160391,0.00395877,0.14784772,0.00987288,0.83404419,0.62153938,0.24814557
-5.99399700,1.65782672,0.00388506,0.14716245,0.00980473,0.82723582,0.61984123,0.24692591
-5.98799400,1.65115358,0.00382672,0.14661462,0.00986286,0.82468686,0.62069552,0.24678769
-5.98199100,1.65163672,0.00378810,0.14623662,0.01005263,0.82637978,0.62405609,0.24774191
-5.97598799,1.65922434,0.00377355,0.14606855,0.01037823,0.83222116,0.62981688,0.24978765
-5.96998499,1.67378091,0.00378739,0.14615935,0.01084273,0.84205271,0.63781919,0.25291522
-5.96398199,1.69510735,0.00383384,0.14656739,0.01144816,0.85566318,0.64786019,0.25710905
-5.95797899,1.72295975,0.00391702,0.14736027,0.01219555,0.87280026,0.65970236,0.26235011
-5.95197599,1.75706563,0.00404082,0.14861396,0.01308497,0.89318213,0.67308339,0.26861782
-5.94597299,1.79713685,0.00420885,0.15041100,0.01411542,0.91650799,0.68772626,0.27589117
-5.93996998,1.84287842,0.00442435,0.15283806,0.01528481,0.94246726,0.70334894,0.28414918
-5.93396698,1.89399290,0.00469011,0.15598268,0.01658977,0.97074688,0.71967340,0.29337036
-5.92796398,1.95018005,0.00500830,0.15992948,0.01802546,1.00103665,0.73643347,0.30353156
-5.92196098,2.01113198,0.00538038,0.16475590,0.01958535,1.03303222,0.75338129,0.31460597
-5.91595798,2.07652416,0.00580699,0.17052767,0.02126099,1.06643601,0.77029205,0.32656055
-5.90995498,2.14600293,0.00628777,0.17729421,0.02304176,1.10095592,0.78696689,0.33935301
-5.90395198,2.21917055,0.00682130,0.18508426,0.02491458,1.13630221,0.80323384,0.35292855
-5.89794897,2.29556891,0.00740495,0.19390186,0.02686381,1.17218298,0.81894699,0.36721660
-5.89194597,2.37466327,0.00803482,0.20372302,0.02887103,1.20829870,0.83398381,0.38212780
-5.88594297,2.45582744,0.00870566,0.21449327,0.03091509,1.24433639,0.84824128,0.39755143
-5.87993997,2.53833190,0.00941089,0.22612619,0.03297212,1.27996417,0.86163074,0.41335366
-5.87393697,2.62133628,0.01014258,0.23850325,0.03501574,1.31482671,0.87407236,0.42937669
-5.86793397,2.70388721,0.01089155,0.25147481,0.03701742,1.34854236,0.88548933,0.44543913
-5.86193097,2.78492278,0.01164749,0.26486262,0.03894689,1.38070232,0.89580254,0.46133750
-5.85592796,2.86328385,0.01239915,0.27846349,0.04077283,1.41087241,0.90492600,0.47684921
-5.84992496,2.93773266,0.01313452,0.29205424,0.04246350,1.43859756,0.91276358,0.49173672
-5.84392196,3.00697827,0.01384115,0.30539774,0.04398762,1.46340918,0.91920723,0.50575296
-5.83791896,3.06970806,0.01450642,0.31824968,0.04531524,1.48483509,0.92413695,0.51864771
-5.83191596,3.12462421,0.01511790,0.33036604,0.04641866,1.50241180,0.92742251,0.53017480
-5.82591296,3.17048342,0.01566369,0.34151067,0.04727330,1.51569847,0.92892691,0.54009969
-5.81990995,3.20613798,0.01613277,0.35146287,0.04785860,1.52429187,0.92851125,0.54820716
-5.81390695,3.23057622,0.01651533,0.36002450,0.04815873,1.52784155,0.92604086,0.55430866
-5.80790395,3.24295999,0.01680312,0.36702632,0.04816325,1.52606425,0.92139202,0.55824904
-5.80190095,3.24265725,0.01698965,0.37233328,0.04786751,1.51875679,0.91445901,0.55991218
-5.79589795,3.22926786,0.01707049,0.37584847,0.04727296,1.50580647,0.90516093,0.55922522
-5.78989495,3.20264104,0.01704332,0.37751559,0.04638712,1.48719849,0.89344772,0.55616133
-5.78389195,3.16288357,0.01690810,0.37731983,0.04522347,1.46301973,0.87930510,0.55074058
-5.77788894,3.11035800,0.01666702,0.37528706,0.04380104,1.43345873,0.86275791,0.54302915
-5.77188594,3.04567120,0.01632441,0.37148159,0.04214380,1.39880159,0.84387189,0.53313666
-5.76588294,2.96965357,0.01588664,0.36600240,0.04027998,1.35942429,0.82275343,0.52121194
-5.75987994,2.88333020,0.01536188,0.35897825,0.03824112,1.31578153,0.79954763,0.50743749
-5.75387694,2.78788554,0.01475979,0.35056189,0.03606115,1.26839283,0.77443464,0.49202271
-5.74787394,2.68462342,0.01409128,0.34092364,0.03377535,1.21782659,0.74762461,0.47519658
-5.74187094,2.57492448,0.01336810,0.33024475,0.03141933,1.16468300,0.71935148,0.45719990
-5.73586793,2.46020331,0.01260253,0.31871092,0.02902804,1.10957655,0.68986614,0.43827768
-5.72986493,2.34186724,0.01180699,0.30650612,0.02663488,1.05311916,0.65942927,0.41867187
-5.72386193,2.22127878,0.01099372,0.29380718,0.02427091,0.99590455,0.62830430,0.39861498
-5.71785893,2.09972317,0.01017445,0.28077931,0.02196419,0.93849466,0.59675093,0.37832458
-5.71185593,1.97838237,0.00936017,0.26757269,0.01973925,0.88140854,0.56501936,0.35799919
-5.70585293,1.85831606,0.00856086,0.25432015,0.01761679,0.82511402,0.53334576,0.33781533
-5.69984992,1.74045012,0.00778536,0.24113613,0.01561350,0.77002250,0.50194878,0.31792606
-5.69384692,1.62557235,0.00704127,0.22811674,0.01374197,0.71648650,0.47102749,0.29846076
-5.68784392,1.51433494,0.00633485,0.21534075,0.01201090,0.66480023,0.44076051,0.27952606
-5.68184092,1.40726273,0.00567106,0.20287153,0.01042526,0.61520239,0.41130641,0.26120786
-5.67583792,1.30476646,0.00505362,0.19075954,0.00898663,0.56788120,0.38280501,0.24357409
-5.66983492,1.20715935,0.00448507,0.17904535,0.00769363,0.52298087,0.35537965,0.22667797
