energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,3.67121504,0.05825407,0.08405505,0.48994054,1.46260093,0.17578656,1.20281162
-5.99399700,3.49653231,0.05106139,0.07719142,0.45101457,1.37691201,0.17266522,1.16393991
-5.98799400,3.33086939,0.04449123,0.07097327,0.41548059,1.29586179,0.16966673,1.12644712
-5.98199100,3.17414402,0.03855052,0.06539978,0.38336628,1.21944902,0.16673566,1.09025858
-5.97598799,3.02608282,0.03323417,0.06045882,0.35464084,1.14758392,0.16380723,1.05527063
-5.96998499,2.88628172,0.02852674,0.05612894,0.32922568,1.08011251,0.16081155,1.02136838
-5.96398199,2.75426367,0.02440431,0.05238151,0.30700497,1.01683992,0.15767798,0.98844195
-5.95797899,2.62953039,0.02083625,0.04918271,0.28783551,0.95755129,0.15433931,0.95640010
-5.95197599,2.51160578,0.01778704,0.04649531,0.27155541,0.90202940,0.15073556,0.92518066
-5.94597299,2.40006902,0.01521782,0.04428023,0.25799144,0.85006853,0.14681731,0.89475730
-5.93996998,2.29457674,0.01308784,0.04249791,0.24696470,0.80148398,0.14254825,0.86514226
-5.93396698,2.19487375,0.01135575,0.04110916,0.23829473,0.75611756,0.13790696,0.83638544
-5.92796398,2.10079330,0.00998060,0.04007595,0.23180198,0.71383908,0.13288790,0.80856981
-5.92196098,2.01224789,0.00892268,0.03936170,0.22730892,0.67454447,0.12750150,0.78180399
-5.91595798,1.92921259,0.00814422,0.03893146,0.22463999,0.63815124,0.12177343,0.75621257
-5.90995498,1.85170307,0.00760979,0.03875182,0.22362079,0.60459201,0.11574326,0.73192498
-5.90395198,1.77975074,0.00728672,0.03879069,0.22407680,0.57380697,0.10946244,0.70906406
-5.89794897,1.71337744,0.00714528,0.03901705,0.22583199,0.54573627,0.10299191,0.68773491
-5.89194597,1.65257210,0.00715884,0.03940060,0.22870782,0.52031287,0.09639932,0.66801521
-5.88594297,1.59727130,0.00730398,0.03991158,0.23252270,0.49745682,0.08975632,0.64994744
-5.87993997,1.54734552,0.00756057,0.04052057,0.23709238,0.47707125,0.08313566,0.63353391
-5.87393697,1.50259212,0.00791183,0.04119854,0.24223130,0.45904059,0.07660866,0.61873466
-5.86793397,1.46273578,0.00834438,0.04191696,0.24775502,0.44323107,0.07024287,0.60546866
-5.86193097,1.42743630,0.00884838,0.04264821,0.25348374,0.42949358,0.06410013,0.59361812
-5.85592796,1.39630340,0.00941759,0.04336599,0.25924667,0.41766862,0.05823510,0.58303572
-5.84992496,1.36891742,0.01004952,0.04404605,0.26488723,0.40759297,0.05269423,0.57355428
-5.84392196,1.34485445,0.01074555,0.04466689,0.27026862,0.39910766,0.04751522,0.56499822
