energy_ev,total_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,0.51909528,0.22771276,0.20604493,0.00748237,0.30466767,0.00907376,0.00000000
-5.99399700,0.53465579,0.23452486,0.20955164,0.00769408,0.31265761,0.00923981,0.00000000
-5.98799400,0.55169929,0.24153062,0.21377457,0.00793882,0.32197381,0.00945812,0.00000000
-5.98199100,0.57023023,0.24872084,0.21872173,0.00821699,0.33265763,0.00973428,0.00000000
-5.97598799,0.59022281,0.25608469,0.22438181,0.00852825,0.34472193,0.01007360,0.00000000
-5.96998499,0.61162275,0.26361038,0.23072522,0.00887154,0.35815100,0.01048109,0.00000000
-5.96398199,0.63434913,0.27128560,0.23770550,0.00924513,0.37290090,0.01096140,0.00000000
-5.95797899,0.65829627,0.27909753,0.24526110,0.00964665,0.38890013,0.01151884,0.00000000
-5.95197599,0.68333550,0.28703245,0.25331732,0.01007318,0.40605058,0.01215720,0.00000000
-5.94597299,0.70931663,0.29507496,0.26178826,0.01052126,0.42422879,0.01287970,0.00000000
-5.93996998,0.73606920,0.30320684,0.27057897,0.01098702,0.44328739,0.01368879,0.00000000
-5.93396698,0.76340338,0.31140558,0.27958747,0.01146616,0.46305680,0.01458599,0.00000000
-5.92796398,0.79111080,0.31964282,0.28870673,0.01195409,0.48334730,0.01557165,0.00000000
-5.92196098,0.81896528,0.32788271,0.29782661,0.01244592,0.50395125,0.01664475,0.00000000
-5.91595798,0.84672369,0.33608039,0.30683572,0.01293654,0.52464589,0.01780265,0.00000000
-5.90995498,0.87412721,0.34418080,0.31562322,0.01342067,0.54519634,0.01904087,0.00000000
-5.90395198,0.90090303,0.35211783,0.32408053,0.01389289,0.56535925,0.02035290,0.00000000
-5.89794897,0.92676677,0.35981415,0.33210310,0.01434773,0.58488675,0.02173007,0.00000000
-5.89194597,0.95142584,0.36718156,0.33959207,0.01477970,0.60353098,0.02316148,0.00000000
-5.88594297,0.97458370,0.37412222,0.34645605,0.01518332,0.62104903,0.02463400,0.00000000
-5.87993997,0.99594512,0.38053050,0.35261281,0.01555328,0.63720816,0.02613239,0.00000000
-5.87393697,1.01522254,0.38629571,0.35799103,0.01588440,0.65179145,0.02763952,0.00000000
-5.86793397,1.03214324,0.39130536,0.36253207,0.01617183,0.66460343,0.02913669,0.00000000
-5.86193097,1.04645739,0.39544915,0.36619163,0.01641108,0.67547586,0.03060410,0.00000000
-5.85592796,1.05794645,0.39862326,0.36894140,0.01659813,0.68427324,0.03202143,0.00000000
-5.84992496,1.06643200,0.40073500,0.37077054,0.01672961,0.69089798,0.03336844,0.00000000
-5.84392196,1.07178433,0.40170743,0.37168697,0.01680283,0.69529499,0.03462575,0.00000000
-5.83791896,1.07393052,0.40148387,0.37171838,0.01681598,0.69745559,0.03577559,0.00000000
-5.83191596,1.07286174,0.40003201,0.37091290,0.01676820,0.69742034,0.03680260,0.00000000
-5.82591296,1.06863914,0.39734745,0.36933938,0.01665970,0.69528084,0.03769464,0.00000000
-5.81990995,1.06139810,0.39345642,0.36708712,0.01649185,0.69118022,0.03844344,0.00000000
-5.81390695,1.05135049,0.38841760,0.36426512,0.01626724,0.68531222,0.03904528,0.00000000
