energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.89635084,0.67719485,0.43166070,0.00266180,0.19547033,0.00172035,1.09130548,0.61569852,0.15599344
-5.99399700,1.95204347,0.69576950,0.44158312,0.00289123,0.19587475,0.00190345,1.12853355,0.63686045,0.15888656
-5.98799400,2.00707593,0.71526071,0.45122471,0.00313513,0.19638109,0.00211848,1.16511193,0.65742230,0.16147389
-5.98199100,2.06118551,0.73555426,0.46057006,0.00339023,0.19706240,0.00236675,1.20081805,0.67725161,0.16374324
-5.97598799,2.11412886,0.75654192,0.46961088,0.00365324,0.19799705,0.00264947,1.23543406,0.69621674,0.16568810
-5.96998499,2.16567023,0.77811537,0.47834243,0.00392078,0.19926441,0.00296757,1.26874249,0.71418553,0.16730689
-5.96398199,2.21557117,0.80016054,0.48676024,0.00418944,0.20094075,0.00332156,1.30052280,0.73102447,0.16860216
-5.95797899,2.26358218,0.82255278,0.49485714,0.00445580,0.20309554,0.00371143,1.33054890,0.74659869,0.16957993
-5.95197599,2.30943725,0.84515326,0.50262092,0.00471643,0.20578845,0.00413650,1.35858830,0.76077276,0.17024914
-5.94597299,2.35285188,0.86780722,0.51003282,0.00496799,0.20906715,0.00459532,1.38440281,0.77341256,0.17062122
-5.93996998,2.39352481,0.89034405,0.51706687,0.00520728,0.21296608,0.00508560,1.40775107,0.78438796,0.17070990
-5.93396698,2.43114366,0.91257964,0.52369013,0.00543129,0.21750627,0.00560411,1.42839292,0.79357653,0.17053113
-5.92796398,2.46539440,0.93432091,0.52986395,0.00563729,0.22269619,0.00614672,1.44609551,0.80086799,0.17010321
-5.92196098,2.49597432,0.95537243,0.53554608,0.00582293,0.22853356,0.00670837,1.46064091,0.80616929,0.16944700
-5.91595798,2.52260787,0.97554500,0.54069356,0.00598627,0.23500808,0.00728316,1.47183503,0.80941007,0.16858637
-5.90995498,2.54506481,0.99466567,0.54526627,0.00612589,0.24210480,0.00786444,1.47951744,0.81054830,0.16754855
-5.90395198,2.56317956,1.01258894,0.54923089,0.00624097,0.24980802,0.00844495,1.48357163,0.80957566,0.16636469
-5.89794897,2.57687098,1.02920842,0.55256510,0.00633127,0.25810546,0.00901701,1.48393527,0.80652262,0.16507034
-5.89194597,2.58616142,1.04446831,0.55526180,0.00639725,0.26699243,0.00957277,1.48060994,0.80146261,0.16370585
-5.88594297,2.59119387,1.05837423,0.55733307,0.00644003,0.27647576,0.01010440,1.47366977,0.79451526,0.16231676
-5.87993997,2.59224640,1.07100240,0.55881367,0.00646140,0.28657726,0.01060444,1.46326850,0.78584832,0.16095402
-5.87393697,2.58974269,1.08250682,0.55976390,0.00646381,0.29733656,0.01106599,1.44964452,0.77567809,0.15967407
-5.86793397,2.58425806,1.09312369,0.56027158,0.00645029,0.30881301,0.01148305,1.43312337,0.76426823,0.15853872
-5.86193097,2.57652025,1.10317266,0.56045303,0.00642437,0.32108670,0.01185075,1.41411762,0.75192690,0.15761486
-5.85592796,2.56740450,1.11305457,0.56045302,0.00639003,0.33425839,0.01216556,1.39312354,0.73900214,0.15697393
-5.84992496,2.55792289,1.12324542,0.56044356,0.00635154,0.34844840,0.01242549,1.37071490,0.72587564,0.15669119
-5.84392196,2.54920786,1.13428665,0.56062148,0.00631333,0.36379443,0.01263023,1.34753349,0.71295505,0.15684476
-5.83791896,2.54249024,1.14677182,0.56120502,0.00627985,0.38044843,0.01278119,1.32427689,0.70066496,0.15751445
-5.83191596,2.53907230,1.16133003,0.56242935,0.00625545,0.39857257,0.01288150,1.30168357,0.68943687,0.15878044
-5.82591296,2.54029661,1.17860657,0.56454115,0.00624417,0.41833451,0.01293598,1.28051564,0.67969852,0.16072171
-5.81990995,2.54751137,1.19924151,0.56779256,0.00624965,0.43990201,0.01295095,1.26154002,0.67186271,0.16341436
-5.81390695,2.56203342,1.22384681,0.57243438,0.00627495,0.46343711,0.01293403,1.24550825,0.66631628,0.16692984
-5.80790395,2.58510986,1.25298300,0.57870904,0.00632248,0.48909001,0.01289392,1.23313586,0.66340924,0.17133298
-5.80190095,2.61787933,1.28713603,0.58684325,0.00639385,0.51699282,0.01284002,1.22508168,0.66344470,0.17668005
-5.79589795,2.66133419,1.32669540,0.59704061,0.00648983,0.54725322,0.01278208,1.22192786,0.66666969,0.18301675
-5.78989495,2.71628448,1.37193420,0.60947445,0.00661032,0.57994832,0.01272989,1.22416128,0.67326713,0.19037616
-5.78389195,2.78332470,1.42299189,0.62428090,0.00675431,0.61511865,0.01269282,1.23215666,0.68334936,0.19877680
-5.77788894,2.86280444,1.47986049,0.64155249,0.00691992,0.65276258,0.01267947,1.24616224,0.69695312,0.20822078
-5.77188594,2.95480351,1.54237462,0.66133244,0.00710443,0.69283119,0.01269733,1.26628813,0.71403625,0.21869202
-5.76588294,3.05911242,1.61020589,0.68360966,0.00730439,0.73522372,0.01275247,1.29249799,0.73447619,0.23015476
-5.75987994,3.17521894,1.68286173,0.70831484,0.00751570,0.77978376,0.01284926,1.32460405,0.75807018,0.24255232
-5.75387694,3.30230126,1.75968899,0.73531753,0.00773376,0.82629641,0.01299021,1.36226598,0.78453730,0.25580623
