energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.12187062,0.00041124,0.00000000,0.00060417,0.01483184,0.00142141,0.02064362,0.05798050,0.05053190
-5.99399700,0.10298951,0.00035877,0.00000000,0.00049075,0.01295319,0.00123544,0.01792667,0.05045370,0.04105028
-5.98799400,0.08669491,0.00031106,0.00000000,0.00039601,0.01123850,0.00106774,0.01547816,0.04362774,0.03322914
-5.98199100,0.07269516,0.00026808,0.00000000,0.00031746,0.00968708,0.00091759,0.01328996,0.03748696,0.02680785
-5.97598799,0.06072837,0.00022972,0.00000000,0.00025284,0.00829570,0.00078420,0.01135195,0.03200752,0.02156231
-5.96998499,0.05056020,0.00019585,0.00000000,0.00020010,0.00705897,0.00066671,0.00965256,0.02715884,0.01730127
-5.96398199,0.04198220,0.00016628,0.00000000,0.00015740,0.00596974,0.00056420,0.00817933,0.02290504,0.01386282
-5.95797899,0.03481030,0.00014081,0.00000000,0.00012314,0.00501956,0.00047575,0.00691953,0.01920655,0.01111108
-5.95197599,0.02888372,0.00011923,0.00000000,0.00009592,0.00419911,0.00040044,0.00586082,0.01602153,0.00893321
-5.94597299,0.02406419,0.00010133,0.00000000,0.00007454,0.00349857,0.00033742,0.00499185,0.01330741,0.00723669
-5.93996998,0.02023528,0.00008693,0.00000000,0.00005800,0.00290804,0.00028589,0.00430292,0.01102214,0.00594690
-5.93396698,0.01730210,0.00007587,0.00000000,0.00004546,0.00241785,0.00024518,0.00378658,0.00912544,0.00500507
-5.92796398,0.01519104,0.00006805,0.00000000,0.00003627,0.00201889,0.00021478,0.00343821,0.00757978,0.00436642
-5.92196098,0.01384969,0.00006341,0.00000000,0.00002990,0.00170281,0.00019436,0.00325657,0.00635124,0.00399867
-5.91595798,0.01324683,0.00006196,0.00000000,0.00002597,0.00146223,0.00018379,0.00324431,0.00541023,0.00388074
-5.90995498,0.01337253,0.00006380,0.00000000,0.00002423,0.00129090,0.00018322,0.00340849,0.00473203,0.00400165
-5.90395198,0.01423810,0.00006910,0.00000000,0.00002456,0.00118379,0.00019306,0.00376094,0.00429711,0.00435962
-5.89794897,0.01587620,0.00007811,0.00000000,0.00002693,0.00113712,0.00021403,0.00431872,0.00409144,0.00496133
-5.89194597,0.01834069,0.00009121,0.00000000,0.00003145,0.00114840,0.00024718,0.00510443,0.00410656,0.00582121
-5.88594297,0.02170644,0.00010885,0.00000000,0.00003833,0.00121637,0.00029391,0.00614648,0.00433963,0.00696083
-5.87993997,0.02606889,0.00013160,0.00000000,0.00004789,0.00134099,0.00035600,0.00747926,0.00479332,0.00840834
-5.87393697,0.03154338,0.00016013,0.00000000,0.00006059,0.00152330,0.00043559,0.00914325,0.00547562,0.01019782
-5.86793397,0.03826413,0.00019523,0.00000000,0.00007699,0.00176532,0.00053522,0.01118502,0.00639960,0.01236870
-5.86193097,0.04638293,0.00023778,0.00000000,0.00009780,0.00206993,0.00065780,0.01365708,0.00758305,0.01496500
-5.85592796,0.05606735,0.00028877,0.00000000,0.00012385,0.00244065,0.00080662,0.01661759,0.00904804,0.01803457
-5.84992496,0.06749860,0.00034928,0.00000000,0.00015613,0.00288150,0.00098530,0.02012997,0.01082047,0.02162821
-5.84392196,0.08086893,0.00042046,0.00000000,0.00019577,0.00339680,0.00119776,0.02426226,0.01292943,0.02579870
-5.83791896,0.09637871,0.00050358,0.00000000,0.00024407,0.00399095,0.00144818,0.02908642,0.01540660,0.03059980
-5.83191596,0.11423309,0.00059991,0.00000000,0.00030247,0.00466819,0.00174092,0.03467743,0.01828550,0.03608514
-5.82591296,0.13463854,0.00071083,0.00000000,0.00037260,0.00543246,0.00208045,0.04111224,0.02160080,0.04230719
-5.81990995,0.15779917,0.00083770,0.00000000,0.00045622,0.00628711,0.00247123,0.04846866,0.02538743,0.04931619
-5.81390695,0.18391326,0.00098193,0.00000000,0.00055524,0.00723479,0.00291761,0.05682417,0.02967984,0.05715929
-5.80790395,0.21316982,0.00114491,0.00000000,0.00067173,0.00827726,0.00342375,0.06625470,0.03451115,0.06587972
-5.80190095,0.24574578,0.00132803,0.00000000,0.00080785,0.00941525,0.00399342,0.07683343,0.03991243,0.07551636
-5.79589795,0.28180368,0.00153264,0.00000000,0.00096588,0.01064842,0.00462995,0.08862975,0.04591196,0.08610343
-5.78989495,0.32149020,0.00176005,0.00000000,0.00114817,0.01197531,0.00533605,0.10170833,0.05253468,0.09767070
-5.78389195,0.36493576,0.00201153,0.00000000,0.00135711,0.01339335,0.00611376,0.11612841,0.05980172,0.11024399
-5.77788894,0.41225505,0.00228829,0.00000000,0.00159510,0.01489897,0.00696431,0.13194337,0.06773013,0.12384605
-5.77188594,0.46354885,0.00259150,0.00000000,0.00186451,0.01648775,0.00788806,0.14920063,0.07633277,0.13849795
-5.76588294,0.51890691,0.00292228,0.00000000,0.00216764,0.01815459,0.00888452,0.16794181,0.08561842,0.15422075
-5.75987994,0.57841180,0.00328170,0.00000000,0.00250666,0.01989396,0.00995228,0.18820327,0.09559204,0.17103744
-5.75387694,0.64214357,0.00367083,0.00000000,0.00288361,0.02170020,0.01108910,0.21001688,0.10625528,0.18897509
-5.74787394,0.71018483,0.00409069,0.00000000,0.00330031,0.02356783,0.01229198,0.23341102,0.11760707,0.20806705
-5.74187094,0.78262588,0.00454231,0.00000000,0.00375838,0.02549184,0.01355728,0.25841167,0.12964435,0.22835496
-5.73586793,0.85956935,0.00502672,0.00000000,0.00425913,0.02746801,0.01488088,0.28504355,0.14236282,0.24989043
-5.72986493,0.94113378,0.00554497,0.00000000,0.00480359,0.02949317,0.01625840,0.31333099,0.15575765,0.27273617
-5.72386193,1.02745563,0.00609808,0.00000000,0.00539246,0.03156543,0.01768535,0.34329858,0.16982406,0.29696641
-5.71785893,1.11868901,0.00668707,0.00000000,0.00602608,0.03368433,0.01915742,0.37497124,0.18455779,0.32266628
-5.71185593,1.21500278,0.00731291,0.00000000,0.00670445,0.03585088,0.02067064,0.40837372,0.19995512,0.34993014
-5.70585293,1.31657448,0.00797649,0.00000000,0.00742720,0.03806756,0.02222162,0.44352925,0.21601274,0.37885861
-5.69984992,1.42358091,0.00867855,0.00000000,0.00819362,0.04033816,0.02380768,0.48045735,0.23272703,0.40955438
-5.69384692,1.53618523,0.00941958,0.00000000,0.00900265,0.04266757,0.02542700,0.51917064,0.25009305,0.44211663
-5.68784392,1.65452093,0.01019981,0.00000000,0.00985293,0.04506141,0.02707865,0.55967089,0.26810310,0.47663440
-5.68184092,1.77867292,0.01101902,0.00000000,0.01074287,0.04752566,0.02876259,0.60194415,0.28674481,0.51317889
-5.67583792,1.90865658,0.01187649,0.00000000,0.01167064,0.05006615,0.03047962,0.64595526,0.30599906,0.55179516
-5.66983492,2.04439574,0.01277086,0.00000000,0.01263432,0.05268807,0.03223120,0.69164211,0.32583762,0.59249346
-5.66383192,2.18570068,0.01370006,0.00000000,0.01363195,0.05539546,0.03401926,0.73890974,0.34622086,0.63524072
-5.65782891,2.33224773,0.01466116,0.00000000,0.01466168,0.05819072,0.03584592,0.78762488,0.36709551,0.67995280
-5.65182591,2.48356172,0.01565033,0.00000000,0.01572183,0.06107416,0.03771320,0.83761123,0.38839282,0.72648774
-5.64582291,2.63900290,0.01666279,0.00000000,0.01681114,0.06404371,0.03962269,0.88864602,0.41002725,0.77464094
-5.63981991,2.79775973,0.01769277,0.00000000,0.01792882,0.06709470,0.04157521,0.94045809,0.43189581,0.82414236
-5.63381691,2.95884870,0.01873353,0.00000000,0.01907481,0.07021977,0.04357057,0.99272814,0.45387835,0.87465652
-5.62781391,3.12112202,0.01977745,0.00000000,0.02024987,0.07340902,0.04560721,1.04509111,0.47583870,0.92578525
-5.62181091,3.28328381,0.02081610,0.00000000,0.02145579,0.07665021,0.04768213,1.09714110,0.49762697,0.97707365
-5.61580790,3.44391475,0.02184045,0.00000000,0.02269552,0.07992922,0.04979068,1.14843870,0.51908271,1.02801906
-5.60980490,3.60150457,0.02284099,0.00000000,0.02397323,0.08323053,0.05192659,1.19852075,0.54003912,1.07808293
-5.60380190,3.75449164,0.02380806,0.00000000,0.02529440,0.08653795,0.05408204,1.24691203,0.56032791,1.12670516
-5.59779890,3.90130773,0.02473200,0.00000000,0.02666579,0.08983526,0.05624780,1.29313865,0.57978475,1.17332041
-5.59179590,4.04042626,0.02560355,0.00000000,0.02809533,0.09310696,0.05841351,1.33674238,0.59825494,1.21737564
-5.58579290,4.17041152,0.02641403,0.00000000,0.02959195,0.09633899,0.06056792,1.37729532,0.61559896,1.25834801
-5.57978989,4.28996623,0.02715566,0.00000000,0.03116524,0.09951926,0.06269931,1.41441412,0.63169763,1.29576230
-5.57378689,4.39797502,0.02782180,0.00000000,0.03282509,0.10263816,0.06479581,1.44777287,0.64645645,1.32920687
-5.56778389,4.49354106,0.02840716,0.00000000,0.03458112,0.10568878,0.06684577,1.47711408,0.65980877,1.35834731
