energy_ev,total_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.79117660,0.99576789,0.65724969,1.30647343,0.69321452,0.00437237,0.57171880,0.01934197,1.79569744
-5.99399700,3.89358375,1.02487155,0.66443458,1.37618023,0.71799942,0.00439943,0.60181946,0.01925239,1.83049791
-5.98799400,3.99800913,1.05478077,0.67101003,1.45121807,0.74332551,0.00442146,0.63332289,0.01910451,1.86515532
-5.98199100,4.10319973,1.08513641,0.67683188,1.53080846,0.76888853,0.00443883,0.66593756,0.01890111,1.89924721
-5.97598799,4.20788938,1.11557481,0.68177335,1.61406703,0.79437703,0.00445213,0.69934680,0.01864605,1.93236894
-5.96998499,4.31081891,1.14573469,0.68572734,1.70001767,0.81947825,0.00446203,0.73321380,0.01834403,1.96413863
-5.96398199,4.41075469,1.17526388,0.68860753,1.78760921,0.84388392,0.00446931,0.76718708,0.01800041,1.99420068
-5.95797899,4.50650556,1.20382570,0.69034868,1.87573431,0.86729572,0.00447476,0.80090627,0.01762100,2.02222834
-5.95197599,4.59693844,1.23110484,0.69090594,1.96325047,0.88943045,0.00447912,0.83400819,0.01721184,2.04792526
-5.94597299,4.68099266,1.25681284,0.69025356,2.04900249,0.91002475,0.00448307,0.86613309,0.01677892,2.07102665
-5.93996998,4.75769338,1.28069286,0.68838316,2.13184615,0.92883932,0.00448711,0.89693104,0.01632805,2.09130008
-5.93396698,4.82616409,1.30252373,0.68530171,2.21067227,0.94566271,0.00449159,0.92606824,0.01586465,2.10854634
-5.92796398,4.88563838,1.32212317,0.68102944,2.28443058,0.96031442,0.00449662,0.95323322,0.01539364,2.12260029
-5.92196098,4.93547070,1.33935002,0.67559790,2.35215265,0.97264745,0.00450209,0.97814274,0.01491936,2.13333209
-5.91595798,4.97514612,1.35410546,0.66904827,2.41297308,0.98255014,0.00450763,1.00054719,0.01444554,2.14064843
-5.90995498,5.00428857,1.36633301,0.66143004,2.46614829,0.98994737,0.00451267,1.02023541,0.01397533,2.14449410
-5.90395198,5.02266739,1.37601743,0.65280006,2.51107217,0.99480098,0.00451640,1.03703864,0.01351132,2.14485332
-5.89794897,5.03020157,1.38318235,0.64322204,2.54728801,0.99710944,0.00451783,1.05083360,0.01305568,2.14175099
-5.89194597,5.02696141,1.38788680,0.63276641,2.57449636,0.99690681,0.00451584,1.06154447,0.01261028,2.13525336
-5.88594297,5.01316717,1.39022065,0.62151043,2.59255849,0.99426092,0.00450918,1.06914371,0.01217679,2.12546812
-5.87993997,4.98918436,1.39029923,0.60953853,2.60149532,0.98927085,0.00449660,1.07365166,0.01175686,2.11254352
-5.87393697,4.95551573,1.38825722,0.59694267,2.60148203,0.98206387,0.00447683,1.07513503,0.01135221,2.09666644
-5.86793397,4.91278977,1.38424213,0.58382261,2.59283859,0.97279167,0.00444867,1.07370413,0.01096479,2.07805938
-5.86193097,4.86174610,1.37840764,0.57028596,2.57601663,0.96162632,0.00441103,1.06950919,0.01059679,2.05697621
-5.85592796,4.80321804,1.37090717,0.55644790,2.55158343,0.94875581,0.00436299,1.06273579,0.01025078,2.03369685
-5.84992496,4.73811293,1.36188785,0.54243053,2.52020352,0.93437951,0.00430385,1.05359957,0.00992963,2.00852099
-5.84392196,4.66739091,1.35148533,0.52836165,2.48261895,0.91870360,0.00423310,1.04234063,0.00963650,1.98176109
-5.83791896,4.59204303,1.33981961,0.51437319,2.43962884,0.90193666,0.00415053,1.02921764,0.00937478,1.95373483
-5.83191596,4.51306931,1.32699206,0.50059909,2.39206911,0.88428566,0.00405618,1.01450209,0.00914796,1.92475751
-5.82591296,4.43145793,1.31308388,0.48717285,2.34079313,0.86595225,0.00395037,0.99847276,0.00895946,1.89513458
-5.81990995,4.34816607,1.29815594,0.47422479,2.28665387,0.84712980,0.00383368,0.98141079,0.00881249,1.86515472
