energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
0.58529265,0.42672057,0.16231221,0.00000000,0.42624277,0.24713787,0.01753079,0.04624944
0.59129565,0.43284274,0.15971805,0.00000000,0.42972811,0.25406028,0.01916997,0.04824116
0.59729865,0.44610079,0.15970978,0.00000000,0.44003683,0.26516144,0.02106527,0.05094781
0.60330165,0.46597997,0.16208363,0.00000000,0.45664969,0.28015718,0.02319714,0.05431294
0.60930465,0.49190575,0.16661612,0.00000000,0.47898682,0.29872493,0.02554115,0.05827258
0.61530765,0.52324943,0.17306552,0.00000000,0.50641211,0.32050732,0.02806790,0.06275536
0.62131066,0.55933530,0.18117376,0.00000000,0.53823908,0.34511692,0.03074315,0.06768285
0.62731366,0.59944981,0.19066876,0.00000000,0.57373903,0.37214222,0.03352811,0.07297033
0.63331666,0.64285316,0.20126754,0.00000000,0.61215157,0.40115518,0.03637995,0.07852796
0.63931966,0.68879341,0.21268003,0.00000000,0.65269798,0.43172026,0.03925246,0.08426242
0.64532266,0.73652308,0.22461371,0.00000000,0.69459726,0.46340505,0.04209698,0.09007903
0.65132566,0.78531803,0.23677897,0.00000000,0.73708469,0.49579218,0.04486349,0.09588420
0.65732866,0.83449805,0.24889510,0.00000000,0.77943243,0.52849223,0.04750187,0.10158834
0.66333167,0.88344854,0.26069677,0.00000000,0.82097144,0.56115719,0.04996330,0.10710899
0.66933467,0.93164218,0.27194061,0.00000000,0.86111388,0.59349378,0.05220175,0.11237404
0.67533767,0.97865981,0.28241184,0.00000000,0.89937498,0.62527609,0.05417544,0.11732505
0.68134067,1.02420910,0.29193046,0.00000000,0.93539310,0.65635680,0.05584838,0.12192026
0.68734367,1.06814009,0.30035672,0.00000000,0.96894703,0.68667609,0.05719169,0.12613742
0.69334667,1.11045636,0.30759567,0.00000000,0.99996912,0.71626786,0.05818482,0.12997602
0.69934967,1.15132092,0.31360033,0.00000000,1.02855354,0.74526243,0.05881656,0.13345888
0.70535268,1.19105609,0.31837347,0.00000000,1.05495846,0.77388534,0.05908575,0.13663301
0.71135568,1.23013682,0.32196767,0.00000000,1.07960191,0.80245206,0.05900170,0.13956954
0.71735868,1.26917733,0.32448371,0.00000000,1.10305067,0.83135846,0.05858432,0.14236267
0.72336168,1.30891112,0.32606726,0.00000000,1.12600248,0.86106712,0.05786384,0.14512769
0.72936468,1.35016495,0.32690382,0.00000000,1.14926172,0.89209007,0.05688023,0.14799797
