energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,3.78173382,0.66528075,0.29226467,0.00057333,0.73684254,1.81634247,1.68894283,0.00906641,0.78511370
-5.99399700,3.74595489,0.65518240,0.28870692,0.00060311,0.73470496,1.80164930,1.67762135,0.00919644,0.76572276
-5.98799400,3.71382671,0.64647473,0.28573749,0.00063468,0.73258211,1.78636599,1.66774016,0.00930480,0.74884656
-5.98199100,3.68417307,0.63906956,0.28329931,0.00066819,0.73014999,1.76996716,1.65867774,0.00938679,0.73443935
-5.97598799,3.65578270,0.63285517,0.28132430,0.00070383,0.72709668,1.75196629,1.64979938,0.00943821,0.72240331
-5.96998499,3.62746055,0.62770222,0.27973683,0.00074185,0.72313431,1.73193607,1.64048290,0.00945553,0.71259524
-5.96398199,3.59807374,0.62346931,0.27845705,0.00078252,0.71800965,1.70952491,1.63014214,0.00943596,0.70483351
-5.95797899,3.56659074,0.62000776,0.27740372,0.00082611,0.71151268,1.68446888,1.61824712,0.00937762,0.69890473
-5.95197599,3.53211224,0.61716558,0.27649660,0.00087287,0.70348312,1.65659902,1.60434048,0.00927954,0.69457016
-5.94597299,3.49389335,0.61479053,0.27565830,0.00092303,0.69381450,1.62584377,1.58804947,0.00914169,0.69157160
-5.93996998,3.45135688,0.61273234,0.27481562,0.00097672,0.68245594,1.59222686,1.56909369,0.00896502,0.68963686
-5.93396698,3.40409832,0.61084423,0.27390035,0.00103402,0.66941164,1.55586115,1.54728847,0.00875136,0.68848479
-5.92796398,3.35188324,0.60898383,0.27284966,0.00109487,0.65473824,1.51693904,1.52254445,0.00850338,0.68783002
-5.92196098,3.29463871,0.60701378,0.27160629,0.00115909,0.63854055,1.47572025,1.49486370,0.00822449,0.68738747
-5.91595798,3.23243991,0.60480218,0.27011839,0.00122635,0.62096570,1.43251798,1.46433328,0.00791870,0.68687687
-5.90995498,3.16549393,0.60222323,0.26833950,0.00129618,0.60219645,1.38768425,1.43111677,0.00759051,0.68602723
-5.90395198,3.09412206,0.59915802,0.26622838,0.00136793,0.58244389,1.34159536,1.39544472,0.00724476,0.68458158
-5.89794897,3.01874235,0.59549586,0.26374920,0.00144082,0.56194005,1.29463841,1.35760472,0.00688650,0.68230168
-5.89194597,2.93985346,0.59113612,0.26087181,0.00151390,0.54093074,1.24719938,1.31793161,0.00652083,0.67897305
-5.88594297,2.85802085,0.58599057,0.25757229,0.00158611,0.51966900,1.19965336,1.27679850,0.00615282,0.67440983
-5.87993997,2.77386589,0.57998627,0.25383382,0.00165629,0.49840942,1.15235739,1.23460887,0.00578741,0.66845968
-5.87393697,2.68805801,0.57306878,0.24964767,0.00172321,0.47740340,1.10564580,1.19178995,0.00542931,0.66100819
