energy_ev,total_up,Cu_p_up,Cu_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.60058650,0.78395072,0.32425903,0.02783895,0.32759220,0.01399396,0.45595693
-5.99399700,1.55217956,0.77038971,0.31513503,0.02702034,0.31904043,0.01289316,0.44143030
-5.98799400,1.50755474,0.75970780,0.30688867,0.02633084,0.31122316,0.01185547,0.42806529
-5.98199100,1.46813306,0.75280729,0.29979042,0.02579391,0.30446211,0.01089226,0.41625487
-5.97598799,1.43532634,0.75057124,0.29411152,0.02543348,0.29907544,0.01001366,0.40638920
-5.96998499,1.41048843,0.75383194,0.29011488,0.02527296,0.29536672,0.00922829,0.39884218
-5.96398199,1.39486729,0.76333943,0.28804593,0.02533435,0.29361405,0.00854320,0.39395817
-5.95797899,1.38955899,0.77973129,0.28812377,0.02563725,0.29405955,0.00796374,0.39203944
-5.95197599,1.39546513,0.80350439,0.29053282,0.02619795,0.29689952,0.00749363,0.39333460
-5.94597299,1.41325501,0.83498969,0.29541524,0.02702855,0.30227574,0.00713498,0.39802840
-5.93996998,1.44333365,0.87433092,0.30286435,0.02813615,0.31026795,0.00688846,0.40623321
-5.93396698,1.48581706,0.92146811,0.31291940,0.02952212,0.32088806,0.00675342,0.41798256
-5.92796398,1.54051561,0.97612665,0.32556181,0.03118164,0.33407622,0.00672811,0.43322690
-5.92196098,1.60692656,1.03781257,0.34071318,0.03310324,0.34969892,0.00680988,0.45183185
-5.91595798,1.68423633,1.10581476,0.35823514,0.03526867,0.36754953,0.00699546,0.47357910
-5.90995498,1.77133293,1.17921420,0.37793123,0.03765293,0.38735108,0.00728116,0.49817008
-5.90395198,1.86682868,1.25690061,0.39955086,0.04022461,0.40876164,0.00766312,0.52523229
-5.89794897,1.96909296,1.33759618,0.42279519,0.04294640,0.43138202,0.00813756,0.55432831
-5.89194597,2.07629425,1.41988606,0.44732500,0.04577592,0.45476574,0.00870097,0.58496725
-5.88594297,2.18645042,1.50225491,0.47277016,0.04866680,0.47843101,0.00935026,0.61661832
-5.87993997,2.29748579,1.58312842,0.49874058,0.05156994,0.50187443,0.01008297,0.64872613
-5.87393697,2.40729300,1.66091850,0.52483807,0.05443498,0.52458580,0.01089730,0.68072719
-5.86793397,2.51379763,1.73407070,0.55066890,0.05721194,0.54606376,0.01179219,0.71206708
-5.86193097,2.61502298,1.80111196,0.57585631,0.05985287,0.56583141,0.01276731,0.74221755
-5.85592796,2.70915253,1.86069699,0.60005265,0.06231361,0.58345154,0.01382297,0.77069296
-5.84992496,2.79458747,1.91165127,0.62295053,0.06455537,0.59854070,0.01495998,0.79706537
-5.84392196,2.86999674,1.95300903,0.64429245,0.06654630,0.61078150,0.01617949,0.82097749
-5.83791896,2.93435751,1.98404436,0.66387847,0.06826271,0.61993269,0.01748268,0.84215318
-5.83191596,2.98698409,2.00429426,0.68157161,0.06969015,0.62583657,0.01887051,0.86040471
-5.82591296,3.02754392,2.01357235,0.69730055,0.07082401,0.62842329,0.02034332,0.87563669
-5.81990995,3.05605992,2.01197281,0.71105959,0.07166982,0.62771195,0.02190051,0.88784620
-5.81390695,3.07289890,1.99986420,0.72290582,0.07224307,0.62380846,0.02354016,0.89711939
-5.80790395,3.07874666,1.97787340,0.73295350,0.07256866,0.61690019,0.02525863,0.90362433
-5.80190095,3.07457067,1.94686038,0.74136604,0.07267985,0.60724774,0.02705027,0.90760076
-5.79589795,3.06157222,1.90788496,0.74834586,0.07261691,0.59517419,0.02890715,0.90934685
-5.78989495,3.04113016,1.86216697,0.75412257,0.07242534,0.58105234,0.03081881,0.90920388
-5.78389195,3.01473873,1.81104152,0.75894009,0.07215392,0.56529054,0.03277220,0.90753933
-5.77788894,2.98394246,1.75591146,0.76304339,0.07185253,0.54831776,0.03475160,0.90472916
-5.77188594,2.95027093,1.69819878,0.76666523,0.07156989,0.53056848,0.03673881,0.90114022
-5.76588294,2.91517651,1.63929737,0.77001391,0.07135139,0.51246818,0.03871324,0.89711347
-5.75987994,2.87997750,1.58052856,0.77326230,0.07123700,0.49441982,0.04065234,0.89294879
-5.75387694,2.84580938,1.52310155,0.77653886,0.07125943,0.47679206,0.04253195,0.88889212
-5.74787394,2.81358596,1.46807985,0.77992104,0.07144268,0.45990945,0.04432685,0.88512539
-5.74187094,2.78397198,1.41635506,0.78343137,0.07180091,0.44404486,0.04601132,0.88175975
-5.73586793,2.75736803,1.36862849,0.78703640,0.07233786,0.42941455,0.04755982,0.87883234
-5.72986493,2.73390812,1.32540114,0.79064862,0.07304673,0.41617565,0.04894763,0.87630667
-5.72386193,2.71346954,1.28697195,0.79413115,0.07391056,0.40442619,0.05015151,0.87407659
-5.71785893,2.69569418,1.25344385,0.79730502,0.07490315,0.39420735,0.05115038,0.87197354
-5.71185593,2.68002001,1.22473703,0.79995867,0.07599038,0.38550784,0.05192592,0.86977672
-5.70585293,2.66572073,1.20060833,0.80185921,0.07713193,0.37826984,0.05246308,0.86722570
-5.69984992,2.65195173,1.18067571,0.80276482,0.07828328,0.37239640,0.05275057,0.86403466
-5.69384692,2.63779973,1.16444629,0.80243775,0.07939791,0.36775958,0.05278114,0.85990782
-5.68784392,2.62233390,1.15134678,0.80065723,0.08042955,0.36420925,0.05255187,0.85455500
-5.68184092,2.60465586,1.14075468,0.79723166,0.08133443,0.36158182,0.05206425,0.84770688
-5.67583792,2.58394636,1.13202916,0.79200952,0.08207329,0.35970880,0.05132415,0.83912895
-5.66983492,2.55950662,1.12454009,0.78488840,0.08261320,0.35842465,0.05034172,0.82863368
-5.66383192,2.53079245,1.11769451,0.77582179,0.08292895,0.35757389,0.04913109,0.81609038
-5.65782891,2.49744008,1.11095933,0.76482331,0.08300408,0.35701696,0.04771004,0.80143220
-5.65182591,2.45928262,1.10387985,0.75196809,0.08283137,0.35663500,0.04609953,0.78466012
-5.64582291,2.41635692,1.09609363,0.73739145,0.08241286,0.35633323,0.04432320,0.76584376
-5.63981991,2.36890085,1.08733943,0.72128483,0.08175941,0.35604310,0.04240679,0.74511911
-5.63381691,2.31734160,1.07746139,0.70388918,0.08088976,0.35572309,0.04037748,0.72268333
-5.62781391,2.26227599,1.06640863,0.68548639,0.07982924,0.35535838,0.03826331,0.69878692
-5.62181091,2.20444399,1.05423063,0.66638890,0.07860817,0.35495947,0.03609253,0.67372389
-5.61580790,2.14469714,1.04106895,0.64692829,0.07726004,0.35455985,0.03389296,0.64782023
-5.60980490,2.08396344,1.02714592,0.62744324,0.07581960,0.35421299,0.03169148,0.62142148
-5.60380190,2.02321062,1.01275099,0.60826751,0.07432098,0.35398876,0.02951345,0.59487989
-5.59779890,1.96340935,0.99822526,0.58971844,0.07279589,0.35396940,0.02738232,0.56854183
-5.59179590,1.90549812,0.98394501,0.57208653,0.07127206,0.35424539,0.02531921,0.54273603
-5.58579290,1.85035110,0.97030483,0.55562646,0.06977197,0.35491104,0.02334263,0.51776303
-5.57978989,1.79875003,0.95770074,0.54054984,0.06831196,0.35606026,0.02146830,0.49388633
-5.57378689,1.75136113,0.94651390,0.52702002,0.06690170,0.35778234,0.01970896,0.47132552
-5.56778389,1.70871738,0.93709532,0.51514891,0.06554408,0.36015797,0.01807440,0.45025145
-5.56178089,1.67120638,0.92975177,0.50499585,0.06423546,0.36325549,0.01657142,0.43078359
-5.55577789,1.63906380,0.92473330,0.49656849,0.06296639,0.36712746,0.01520400,0.41298951
-5.54977489,1.61237203,0.92222252,0.48982532,0.06172248,0.37180752,0.01397337,0.39688623
-5.54377189,1.59106353,0.92232583,0.48467971,0.06048562,0.37730777,0.01287829,0.38244338
-5.53776888,1.57492833,0.92506689,0.48100514,0.05923533,0.38361645,0.01191524,0.36958771
-5.53176588,1.56362498,0.93038227,0.47864118,0.05795014,0.39069626,0.01107869,0.35820877
-5.52576288,1.55669420,0.93811971,0.47740011,0.05660901,0.39848316,0.01036141,0.34816541
-5.51975988,1.55357473,0.94803894,0.47707366,0.05519265,0.40688591,0.00975478,0.33929266
-5.51375688,1.55362074,0.95981513,0.47743978,0.05368465,0.41578626,0.00924903,0.33140899
-5.50775388,1.55612026,0.97304521,0.47826917,0.05207243,0.42504002,0.00883361,0.32432333
-5.50175088,1.56031435,0.98725689,0.47933147,0.05034795,0.43447893,0.00849744,0.31784199
