energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,3.49210009,1.13381065,2.16457271,0.00642467,0.30238745,0.26398104,0.03263498,0.65827706
-5.99399700,3.49133127,1.15021063,2.16157712,0.00604769,0.30646874,0.25601631,0.03277235,0.65419826
-5.98799400,3.48019957,1.16155150,2.15280479,0.00566420,0.30943550,0.24743109,0.03280859,0.64813656
-5.98199100,3.45875778,1.16764620,2.13832595,0.00527895,0.31123798,0.23835282,0.03274610,0.64014002
-5.97598799,3.42727628,1.16839720,2.11834251,0.00489642,0.31184358,0.22891470,0.03258983,0.63030055
-5.96998499,3.38625408,1.16380026,2.09319639,0.00452079,0.31123749,0.21925374,0.03234744,0.61875560
-5.96398199,3.33642589,1.15394625,2.06337540,0.00415582,0.30942322,0.20950889,0.03202921,0.60568908
-5.95797899,3.27876450,1.13902118,2.02951646,0.00380490,0.30642268,0.19981942,0.03164807,0.59133098
-5.95197599,3.21447812,1.11930421,1.99240554,0.00347096,0.30227610,0.19032349,0.03121934,0.57595597
-5.94597299,3.14500204,1.09516358,1.95297419,0.00315654,0.29704159,0.18115691,0.03076059,0.55988060
-5.93996998,3.07198444,1.06705050,1.91229227,0.00286377,0.29079433,0.17245190,0.03029126,0.54345928
-5.93396698,2.99726613,1.03549108,1.87155680,0.00259444,0.28362550,0.16433602,0.02983225,0.52707893
-5.92796398,2.92285440,1.00107637,1.83207683,0.00234997,0.27564083,0.15693107,0.02940548,0.51115248
-5.92196098,2.85089101,0.96445070,1.79525451,0.00213153,0.26695874,0.15035189,0.02903329,0.49611125
-5.91595798,2.78361496,0.92629860,1.76256246,0.00194004,0.25770828,0.14470519,0.02873788,0.48239645
-5.90995498,2.72332065,0.88733065,1.73551771,0.00177620,0.24802661,0.14008822,0.02854062,0.47045002
-5.90395198,2.67231212,0.84826853,1.71565287,0.00164058,0.23805638,0.13658737,0.02846148,0.46070487
-5.89794897,2.63285452,0.80982977,1.70448476,0.00153361,0.22794276,0.13427669,0.02851828,0.45357510
-5.89194597,2.60712383,0.77271265,1.70348141,0.00145561,0.21783043,0.13321635,0.02872618,0.44944615
-5.88594297,2.59715602,0.73758161,1.71402789,0.00140684,0.20786057,0.13345108,0.02909705,0.44866525
-5.87993997,2.60479698,0.70505369,1.73739194,0.00138746,0.19816775,0.13500868,0.02963902,0.45153257
-5.87393697,2.63165434,0.67568641,1.77469001,0.00139757,0.18887718,0.13789868,0.03035608,0.45829304
-5.86793397,2.67905256,0.64996731,1.82685458,0.00143720,0.18010206,0.14211109,0.03124784,0.46912930
-5.86193097,2.74799249,0.62830567,1.89460362,0.00150628,0.17194134,0.14761558,0.03230931,0.48415580
-5.85592796,2.83911627,0.61102639,1.97841289,0.00160462,0.16447790,0.15436085,0.03353100,0.50341432
-5.84992496,2.95267884,0.59836629,2.07849180,0.00173193,0.15777723,0.16227450,0.03489893,0.52687095
-5.84392196,3.08852667,0.59047276,2.19476366,0.00188775,0.15188660,0.17126337,0.03639500,0.55441469
-5.83791896,3.24608447,0.58740483,2.32685085,0.00207146,0.14683483,0.18121436,0.03799733,0.58585766
-5.83191596,3.42435043,0.58913625,2.47406548,0.00228224,0.14263252,0.19199577,0.03968080,0.62093699
-5.82591296,3.62190021,0.59556066,2.63540607,0.00251905,0.13927290,0.20345922,0.04141768,0.65931831
-5.81990995,3.83689999,0.60649825,2.80956066,0.00278067,0.13673303,0.21544201,0.04317831,0.70060088
-5.81390695,4.06712836,0.62170381,2.99491660,0.00306563,0.13497544,0.22777006,0.04493193,0.74432413
-5.80790395,4.31000703,0.64087556,3.18957720,0.00337225,0.13395009,0.24026108,0.04664741,0.78997561
