energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.85281751,0.01152444,0.23923370,0.01914861,0.92210762,0.85641488,0.03172576,0.78345822
-5.99399700,1.83647722,0.01118972,0.24524512,0.02229597,1.02773079,0.82308854,0.02984854,0.77209339
-5.98799400,1.83795347,0.01099132,0.25355618,0.02583988,1.14381093,0.79721092,0.02826810,0.76837267
-5.98199100,1.85765002,0.01093851,0.26414573,0.02979540,1.26986671,0.77903433,0.02700460,0.77253478
-5.97598799,1.89549838,0.01103775,0.27692765,0.03417147,1.40513856,0.76859937,0.02607092,0.78462195
-5.96998499,1.95096440,0.01129258,0.29175110,0.03896976,1.54858144,0.76574221,0.02547279,0.80448298
-5.96398199,2.02306798,0.01170364,0.30840284,0.04418367,1.69886739,0.77010762,0.02520915,0.83178151
-5.95797899,2.11041519,0.01226864,0.32661145,0.04979738,1.85439853,0.78116724,0.02527263,0.86600937
-5.95197599,2.21124213,0.01298250,0.34605351,0.05578519,2.01333114,0.79824232,0.02565008,0.90650443
-5.94597299,2.32346937,0.01383742,0.36636155,0.06211105,2.17361066,0.82053046,0.02632319,0.95247288
-5.93996998,2.44476588,0.01482311,0.38713367,0.06872841,2.33301706,0.84713536,0.02726923,1.00301505
-5.93396698,2.57262088,0.01592697,0.40794444,0.07558048,2.48921976,0.87709907,0.02846179,1.05715462
-5.92796398,2.70442187,0.01713438,0.42835695,0.08260072,2.63984029,0.90943581,0.02987149,1.11387021
-5.92196098,2.83753693,0.01842902,0.44793555,0.08971387,2.78252080,0.94316657,0.03146682,1.17212885
-5.91595798,2.96939920,0.01979326,0.46625897,0.09683731,2.91499599,0.97735364,0.03321496,1.23092037
-5.90995498,3.09759095,0.02120850,0.48293321,0.10388272,3.03516564,1.01113431,0.03508251,1.28929193
-5.90395198,3.21992520,0.02265567,0.49760406,0.11075816,3.14116491,1.04375277,0.03703632,1.34638159
-5.89794897,3.33452195,0.02411560,0.50996850,0.11737036,3.23142942,1.07458942,0.03904426,1.40145008
-5.89194597,3.43987693,0.02556952,0.51978479,0.12362718,3.30475235,1.10318684,0.04107591,1.45390970
-5.88594297,3.53492037,0.02699946,0.52688072,0.12944019,3.36033097,1.12927162,0.04310322,1.50334939
-5.87993997,3.61906375,0.02838865,0.53115987,0.13472725,3.39780056,1.15277141,0.04510112,1.54955508
-5.87393697,3.69223276,0.02972187,0.53260551,0.13941489,3.41725406,1.17382653,0.04704802,1.59252460
-5.86793397,3.75488509,0.03098575,0.53128202,0.14344062,3.41924662,1.19279585,0.04892619,1.63247631
-5.86193097,3.80801216,0.03216897,0.52733394,0.14675479,3.40478460,1.21025638,0.05072202,1.66985118
-5.85592796,3.85312417,0.03326240,0.52098239,0.14932211,3.37529956,1.22699656,0.05242617,1.70530776
-5.84992496,3.89221879,0.03425912,0.51251935,0.15112271,3.33260813,1.24400298,0.05403357,1.73971009
-5.84392196,3.92773367,0.03515436,0.50229975,0.15215269,3.27885948,1.26244066,0.05554321,1.77410844
-5.83791896,3.96248404,0.03594540,0.49073179,0.15242411,3.21647235,1.28362717,0.05695790,1.80971333
-5.83191596,3.99958656,0.03663130,0.47826575,0.15196450,3.14806410,1.30900066,0.05828381,1.84786307
