energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,4.50606490,0.36920290,0.00000000,2.74033760,0.00000000,1.05304981,1.22330580
-5.99399700,4.64782754,0.37350088,0.00000000,2.83881382,0.00000000,1.06761069,1.26989826
-5.98799400,4.79616733,0.37916196,0.00000000,2.93916088,0.00000000,1.08612614,1.31846293
-5.98199100,4.94961282,0.38627123,0.00000000,3.04028576,0.00000000,1.10806625,1.36864634
-5.97598799,5.10668054,0.39490384,0.00000000,3.14110138,0.00000000,1.13292724,1.42007365
-5.96998499,5.26588266,0.40511795,0.00000000,3.24053925,0.00000000,1.16024216,1.47234766
-5.96398199,5.42573356,0.41694774,0.00000000,3.33756115,0.00000000,1.18958972,1.52504824
-5.95797899,5.58475619,0.43039707,0.00000000,3.43117017,0.00000000,1.22060115,1.57773261
-5.95197599,5.74148887,0.44543386,0.00000000,3.52042111,0.00000000,1.25296496,1.62993664
-5.94597299,5.89449314,0.46198570,0.00000000,3.60443057,0.00000000,1.28642971,1.68117750
-5.93996998,6.04236335,0.47993674,0.00000000,3.68238661,0.00000000,1.32080472,1.73095775
-5.93396698,6.18373812,0.49912620,0.00000000,3.75355822,0.00000000,1.35595886,1.77877100
-5.92796398,6.31731394,0.51934855,0.00000000,3.81730445,0.00000000,1.39181734,1.82410906
-5.92196098,6.44186071,0.54035538,0.00000000,3.87308306,0.00000000,1.42835683,1.86647043
-5.91595798,6.55623875,0.56185908,0.00000000,3.92045856,0.00000000,1.46559870,1.90537005
-5.90995498,6.65941686,0.58353810,0.00000000,3.95910919,0.00000000,1.50360086,1.94034972
-5.90395198,6.75049057,0.60504374,0.00000000,3.98883260,0.00000000,1.54244815,1.97098903
-5.89794897,6.82869966,0.62600824,0.00000000,4.00954988,0.00000000,1.58224153,1.99691631
-5.89194597,6.89344411,0.64605386,0.00000000,4.02130743,0.00000000,1.62308652,2.01781903
-5.88594297,6.94429743,0.66480271,0.00000000,4.02427648,0.00000000,1.66508109,2.03345323
-5.87993997,6.98101671,0.68188691,0.00000000,4.01875000,0.00000000,1.70830337,2.04365156
-5.87393697,7.00354856,0.69695882,0.00000000,4.00513676,0.00000000,1.75279977,2.04832954
-5.86793397,7.01203054,0.70970083,0.00000000,3.98395274,0.00000000,1.79857393,2.04748959
-5.86193097,7.00678771,0.71983456,0.00000000,3.95580974,0.00000000,1.84557692,2.04122275
-5.85592796,6.98832446,0.72712889,0.00000000,3.92140175,0.00000000,1.89369939,2.02970782
-5.84992496,6.95731155,0.73140669,0.00000000,3.88148916,0.00000000,1.94276591,2.01320793
-5.84392196,6.91456908,0.73255004,0.00000000,3.83688147,0.00000000,1.99253201,1.99206469
-5.83791896,6.86104560,0.73050351,0.00000000,3.78841896,0.00000000,2.04268419,1.96668983
-5.83191596,6.79779442,0.72527569,0.00000000,3.73695384,0.00000000,2.09284305,1.93755493
-5.82591296,6.72594758,0.71693866,0.00000000,3.68333148,0.00000000,2.14256946,1.90517925
-5.81990995,6.64668847,0.70562556,0.00000000,3.62837224,0.00000000,2.19137376,1.87011622
-5.81390695,6.56122375,0.69152635,0.00000000,3.57285424,0.00000000,2.23872748,1.83293902
-5.80790395,6.47075540,0.67488185,0.00000000,3.51749764,0.00000000,2.28407723,1.79422559
-5.80190095,6.37645354,0.65597635,0.00000000,3.46295060,0.00000000,2.32686001,1.75454367
-5.79589795,6.27943051,0.63512909,0.00000000,3.40977712,0.00000000,2.36651936,1.71443624
-5.78989495,6.18071700,0.61268486,0.00000000,3.35844704,0.00000000,2.40252135,1.67440790
-5.78389195,6.08124044,0.58900415,0.00000000,3.30932817,0.00000000,2.43436985,1.63491254
-5.77788894,5.98180621,0.56445317,0.00000000,3.26268076,0.00000000,2.46162018,1.59634269
-5.77188594,5.88308217,0.53939410,0.00000000,3.21865416,0.00000000,2.48389051,1.55902094
-5.76588294,5.78558666,0.51417593,0.00000000,3.17728590,0.00000000,2.50087056,1.52319370
-5.75987994,5.68968052,0.48912624,0.00000000,3.13850311,0.00000000,2.51232715,1.48902741
-5.75387694,5.59556337,0.46454402,0.00000000,3.10212636,0.00000000,2.51810660,1.45660743
