energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,8.36594697,0.12265540,0.05117045,1.21172928,4.27708974,3.60412729,0.17417873,3.12342651
-5.99399700,8.00921561,0.11897669,0.05105931,1.14615655,4.04690056,3.43091181,0.17166394,3.02540077
-5.98799400,7.65403959,0.11560642,0.05076072,1.08405151,3.83547138,3.25729886,0.16855546,2.92321968
-5.98199100,7.30241216,0.11254438,0.05027229,1.02583916,3.64510486,3.08397418,0.16486155,2.81738349
-5.97598799,6.95611501,0.10977864,0.04959408,0.97183795,3.47748199,2.91158339,0.16060224,2.70843251
-5.96998499,6.61673204,0.10728692,0.04872875,0.92225976,3.33364926,2.74074595,0.15580934,2.59695133
-5.96398199,6.28566318,0.10503821,0.04768160,0.87721215,3.21402169,2.57206739,0.15052598,2.48356925
-5.95797899,5.96413658,0.10299462,0.04646059,0.83670288,3.11840052,2.40614847,0.14480563,2.36895660
-5.95197599,5.65321789,0.10111332,0.04507618,0.80064597,3.04600453,2.24359072,0.13871063,2.25381731
-5.94597299,5.35381621,0.09934857,0.04354122,0.76886923,2.99551346,2.08499802,0.13231046,2.13887794
-5.93996998,5.06668713,0.09765374,0.04187066,0.74112287,2.96512233,1.93097415,0.12567960,2.02487410
-5.93396698,4.79243339,0.09598318,0.04008125,0.71708910,2.95260528,1.78211680,0.11889537,1.91253511
-5.92796398,4.53150460,0.09429402,0.03819119,0.69639244,2.95538748,1.63900881,0.11203565,1.80256807
-5.92196098,4.28419731,0.09254780,0.03621976,0.67861074,2.97062363,1.50220737,0.10517667,1.69564218
-5.91595798,4.05065690,0.09071177,0.03418686,0.66328681,2.99528142,1.37223224,0.09839101,1.59237466
-5.90995498,3.83088251,0.08876004,0.03211268,0.64994040,3.02622809,1.24955403,0.09174589,1.49331874
-5.90395198,3.62473590,0.08667440,0.03001721,0.63808052,3.06031815,1.13458334,0.08530169,1.39895464
-5.89794897,3.43195476,0.08444480,0.02791992,0.62721787,3.09447997,1.02766154,0.07911095,1.30968383
-5.89194597,3.25217032,0.08206958,0.02583939,0.61687710,3.12579898,0.92905380,0.07321769,1.22582660
-5.88594297,3.08492874,0.07955541,0.02379297,0.60660861,3.15159507,0.83894460,0.06765714,1.14762293
-5.87993997,2.92971526,0.07691687,0.02179656,0.59599965,3.16949161,0.75743584,0.06245580,1.07523609
-5.87393697,2.78597960,0.07417584,0.01986436,0.58468419,3.17747405,0.68454751,0.05763184,1.00875864
-5.86793397,2.65316114,0.07136064,0.01800873,0.57235146,3.17393585,0.62022042,0.05319569,0.94821977
-5.86193097,2.53071201,0.06850487,0.01624008,0.55875265,3.15771027,0.56432077,0.04915090,0.89359356
-5.85592796,2.41811659,0.06564626,0.01456681,0.54370558,3.12808670,0.51664590,0.04549498,0.84480718
-5.84992496,2.31490592,0.06282523,0.01299533,0.52709719,3.08481123,0.47693072,0.04222042,0.80174835
-5.84392196,2.22066614,0.06008347,0.01153007,0.50888373,3.02807140,0.44485437,0.03931558,0.76427164
-5.83791896,2.13504029,0.05746246,0.01017362,0.48908859,2.95846605,0.42004660,0.03676557,0.73220310
-5.83191596,2.05772350,0.05500204,0.00892682,0.46779804,2.87696184,0.40209367,0.03455303,0.70534308
-5.82591296,1.98845210,0.05273899,0.00778893,0.44515499,2.78483833,0.39054346,0.03265872,0.68346726
-5.81990995,1.92698755,0.05070580,0.00675781,0.42135113,2.68362458,0.38490989,0.03106209,0.66632618
-5.81390695,1.87309678,0.04892952,0.00583009,0.39661778,2.57502990,0.38467669,0.02974156,0.65364352
-5.80790395,1.82653057,0.04743090,0.00500145,0.37121605,2.46087220,0.38930071,0.02867485,0.64511382
-5.80190095,1.78700191,0.04622367,0.00426675,0.34542653,2.34300707,0.39821515,0.02783911,0.64040020
-5.79589795,1.75416636,0.04531414,0.00362028,0.31953922,2.22326070,0.41083303,0.02721101,0.63913264
-5.78989495,1.72760630,0.04470104,0.00305599,0.29384393,2.10336934,0.42655129,0.02676683,0.64090762
-5.78389195,1.70682062,0.04437564,0.00256762,0.26862167,1.98492773,0.44475585,0.02648253,0.64528954
-5.77788894,1.69122118,0.04432223,0.00214894,0.24413731,1.86934827,0.46482791,0.02633386,0.65181435
-5.77188594,1.68013689,0.04451878,0.00179392,0.22063364,1.75783200,0.48615171,0.02629652,0.65999569
-5.76588294,1.67282554,0.04493790,0.00149682,0.19832715,1.65135189,0.50812375,0.02634637,0.66933361
-5.75987994,1.66849347,0.04554806,0.00125238,0.17740539,1.55064835,0.53016346,0.02645978,0.67932571
-5.75387694,1.66632193,0.04631495,0.00105593,0.15802604,1.45623608,0.55172504,0.02661394,0.68948046
-5.74787394,1.66549924,0.04720299,0.00090346,0.14031742,1.36842103,0.57231016,0.02678736,0.69933205
-5.74187094,1.66525690,0.04817697,0.00079174,0.12438037,1.28732568,0.59148102,0.02696032,0.70845627
-5.73586793,1.66490782,0.04920360,0.00071835,0.11029115,1.21292064,0.60887325,0.02711540,0.71648669
-5.72986493,1.66388448,0.05025315,0.00068175,0.09810526,1.14506035,0.62420791,0.02723797,0.72313004
-5.72386193,1.66177487,0.05130087,0.00068134,0.08786166,1.08352069,0.63730216,0.02731665,0.72818038
-5.71785893,1.65835414,0.05232824,0.00071741,0.07958725,1.02803620,0.64807769,0.02734372,0.73153078
-5.71185593,1.65360991,0.05332403,0.00079125,0.07330134,0.97833512,0.65656658,0.02731543,0.73318222
-5.70585293,1.64775970,0.05428498,0.00090502,0.06901973,0.93417037,0.66291393,0.02723219,0.73324875
-5.69984992,1.64125917,0.05521620,0.00106182,0.06675821,0.89534520,0.66737705,0.02709865,0.73195868
-5.69384692,1.63480039,0.05613114,0.00126557,0.06653541,0.86173256,0.67032076,0.02692354,0.72965144
-5.68784392,1.62929974,0.05705117,0.00152092,0.06837467,0.83328751,0.67220909,0.02671954,0.72677010
-5.68184092,1.62587553,0.05800481,0.00183322,0.07230495,0.81005256,0.67359315,0.02650279,0.72384960
-5.67583792,1.62581619,0.05902653,0.00220826,0.07836076,0.79215612,0.67509564,0.02629245,0.72150106
-5.66983492,1.63053976,0.06015526,0.00265221,0.08658096,0.77980447,0.67739245,0.02610999,0.72039274
-5.66383192,1.64154639,0.06143257,0.00317131,0.09700675,0.77326815,0.68119177,0.02597852,0.72122815
-5.65782891,1.66036540,0.06290067,0.00377171,0.10967859,0.77286369,0.68721161,0.02592189,0.72472223
-5.65182591,1.68849905,0.06460031,0.00445913,0.12463255,0.77893177,0.69615621,0.02596393,0.73157634
-5.64582291,1.72736494,0.06656857,0.00523859,0.14189597,0.79181313,0.70869247,0.02612750,0.74245311
-5.63981991,1.77823928,0.06883677,0.00611411,0.16148279,0.81182335,0.72542694,0.02643374,0.75795185
-5.63381691,1.84220321,0.07142855,0.00708831,0.18338869,0.83922775,0.74688428,0.02690119,0.77858561
-5.62781391,1.92009389,0.07435817,0.00816216,0.20758626,0.87421756,0.77348794,0.02754518,0.80476055
-5.62181091,2.01246230,0.07762916,0.00933462,0.23402045,0.91688819,0.80554359,0.02837714,0.83675837
-5.61580790,2.11953927,0.08123341,0.01060237,0.26260449,0.96722066,0.84322598,0.02940418,0.87472243
-5.60980490,2.24121062,0.08515066,0.01195957,0.29321652,1.02506668,0.88656951,0.03062870,0.91864794
-5.60380190,2.37700249,0.08934856,0.01339772,0.32569699,1.09013792,0.93546276,0.03204824,0.96837656
