energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.58373583,-3.91187130,0.83471895,-0.90746967,2.07231643,-2.16459368,0.00185761,-0.00249196,0.42305050,-0.50180109,0.66254078,-0.77228418,0.65251460,-0.76247123,0.29734210,-0.34313379,0.00000000,-0.00000000
-5.99399700,3.46530916,-3.80041553,0.80205611,-0.87832615,2.02326257,-2.12003178,0.00169816,-0.00229500,0.40378780,-0.48321019,0.63401883,-0.74535125,0.62038872,-0.73210568,0.28000936,-0.32582078,0.00000000,-0.00000000
-5.98799400,3.34738069,-3.68700237,0.76897214,-0.84805509,1.97469525,-2.07534330,0.00155110,-0.00210761,0.38432714,-0.46386149,0.60492043,-0.71711108,0.58805364,-0.70057806,0.26305080,-0.30845416,0.00000000,-0.00000000
-5.98199100,3.23053023,-3.57231355,0.73570653,-0.81689490,1.92678604,-2.03070906,0.00141655,-0.00193095,0.36479017,-0.44389410,0.57541732,-0.68773161,0.55573169,-0.66814839,0.24656630,-0.29117886,0.00000000,-0.00000000
-5.97598799,3.11527634,-3.45698896,0.70248720,-0.78508181,1.87966798,-1.98627893,0.00129441,-0.00176582,0.34529807,-0.42345021,0.54569236,-0.65739617,0.52363760,-0.63507690,0.23064049,-0.27412737,0.00000000,-0.00000000
-5.96998499,3.00207692,-3.34161997,0.66952748,-0.75284669,1.83343615,-1.94216993,0.00118437,-0.00161278,0.32597147,-0.40267359,0.51593892,-0.62630179,0.49197771,-0.60162099,0.21534297,-0.25741817,0.00000000,-0.00000000
-5.96398199,2.89133245,-3.22674589,0.63702352,-0.72041206,1.78814998,-1.89846620,0.00108599,-0.00147211,0.30693039,-0.38170855,0.48636006,-0.59465748,0.46094959,-0.56803262,0.20072902,-0.24115488,0.00000000,-0.00000000
-5.95797899,2.78339154,-3.11285328,0.60515204,-0.68798921,1.74383725,-1.85522064,0.00099872,-0.00134383,0.28829438,-0.36069890,0.45716762,-0.56268255,0.43074190,-0.53455631,0.18684050,-0.22542585,0.00000000,-0.00000000
-5.95197599,2.67855853,-3.00037827,0.57406877,-0.65577566,1.70049977,-1.81245831,0.00092195,-0.00122779,0.27018254,-0.33978733,0.42858097,-0.53060491,0.40153440,-0.50142747,0.17370714,-0.21030433,0.00000000,-0.00000000
-5.94597299,2.57710299,-2.88971138,0.54390761,-0.62395310,1.65812044,-1.77018149,0.00085505,-0.00112366,0.25271350,-0.31911476,0.40082564,-0.49865933,0.37349821,-0.46887122,0.16134796,-0.19584905,0.00000000,-0.00000000
-5.93996998,2.47927048,-2.78120474,0.51478058,-0.59268581,1.61667153,-1.72837612,0.00079740,-0.00103101,0.23600541,-0.29881999,0.37413158,-0.46708567,0.34679608,-0.43710163,0.14977290,-0.18210525,0.00000000,-0.00000000
-5.93396698,2.38529439,-2.67518113,0.48677876,-0.56211979,1.57612386,-1.68701943,0.00074845,-0.00094933,0.22017565,-0.27903927,0.34873125,-0.43612706,0.32158279,-0.40632124,0.13898457,-0.16910599,0.00000000,-0.00000000
