energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.65156436,-0.40186081,0.00038444,-0.00023298,0.02164199,-0.01314495,0.37977722,-0.24797591,0.18828359,-0.10885150,0.37872269,-0.23816760,0.00000000,-0.00000000
-5.99399700,0.71509800,-0.44835548,0.00043602,-0.00025500,0.02396702,-0.01485152,0.41962753,-0.27666283,0.20739769,-0.12207795,0.41564908,-0.26547348,0.00000000,-0.00000000
-5.98799400,0.78173974,-0.49955133,0.00049562,-0.00027979,0.02646361,-0.01679710,0.46219660,-0.30859310,0.22750234,-0.13664511,0.45438903,-0.29548092,0.00000000,-0.00000000
-5.98199100,0.85095796,-0.55517868,0.00056449,-0.00030746,0.02911884,-0.01898003,0.50726436,-0.34367720,0.24845389,-0.15249413,0.49463769,-0.32802965,0.00000000,-0.00000000
-5.97598799,0.92218895,-0.61492313,0.00064410,-0.00033822,0.03191856,-0.02139740,0.55458531,-0.38180945,0.27009587,-0.16955157,0.53607115,-0.36293398,0.00000000,-0.00000000
-5.96998499,0.99484287,-0.67842218,0.00073616,-0.00037239,0.03484728,-0.02404463,0.60388751,-0.42286373,0.29226056,-0.18772814,0.57834979,-0.39998095,0.00000000,-0.00000000
-5.96398199,1.06831115,-0.74526330,0.00084264,-0.00041045,0.03788823,-0.02691507,0.65487216,-0.46668952,0.31477112,-0.20691798,0.62112228,-0.43892939,0.00000000,-0.00000000
-5.95797899,1.14197499,-0.81498392,0.00096574,-0.00045305,0.04102341,-0.02999971,0.70721393,-0.51310813,0.33744406,-0.22699840,0.66403022,-0.47950984,0.00000000,-0.00000000
-5.95197599,1.21521458,-0.88707319,0.00110788,-0.00050105,0.04423365,-0.03328690,0.76056200,-0.56190949,0.36009219,-0.24783035,0.70671331,-0.52142563,0.00000000,-0.00000000
-5.94597299,1.28741889,-0.96097575,0.00127169,-0.00055553,0.04749875,-0.03676216,0.81454186,-0.61284950,0.38252775,-0.26925946,0.74881473,-0.56435487,0.00000000,-0.00000000
