energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.27566652,0.08759191,0.19472598,1.28229961,1.15237472,0.45653549,2.50087815,1.47729538,0.74050971
-5.99399700,7.61321695,0.09339166,0.20297346,1.34611278,1.20514435,0.47694724,2.61846238,1.53718923,0.77296407
-5.98799400,7.93038491,0.09946234,0.21033974,1.40691739,1.25430808,0.49566780,2.72961097,1.59308131,0.80330307
-5.98199100,8.22242393,0.10569896,0.21669537,1.46368270,1.29909830,0.51251213,2.83265094,1.64402531,0.83110295
-5.97598799,8.48513065,0.11199472,0.22192880,1.51545848,1.33884122,0.52733934,2.92608209,1.68919504,0.85600210
-5.96998499,8.71493531,0.11824263,0.22594950,1.56139553,1.37297276,0.54005625,3.00860780,1.72790033,0.87770847
-5.96398199,8.90897023,0.12433712,0.22869030,1.60076323,1.40105071,0.55061880,3.07915885,1.75959816,0.89600429
-5.95797899,9.06511407,0.13017574,0.23010910,1.63296359,1.42276267,0.55903153,3.13690959,1.78389875,0.91074808
-5.95197599,9.18201055,0.13566081,0.23018979,1.65754131,1.43792948,0.56534492,3.18128607,1.80056648,0.92187370
-5.94597299,9.25906176,0.14070106,0.22894233,1.67418980,1.44650409,0.56965074,3.21196612,1.80951602,0.92938669
-5.93996998,9.29639691,0.14521318,0.22640205,1.68275279,1.44856599,0.57207573,3.22887170,1.81080394,0.93335816
-5.93396698,9.29481907,0.14912329,0.22262818,1.68322185,1.44431157,0.57277382,3.23215423,1.80461650,0.93391652
-5.92796398,9.25573289,0.15236815,0.21770168,1.67572993,1.43404083,0.57191732,3.22217384,1.79125424,0.93123753
-5.92196098,9.18105747,0.15489627,0.21172256,1.66054135,1.41814132,0.56968765,3.19947371,1.77111432,0.92553330
-5.91595798,9.07312899,0.15666866,0.20480660,1.63803893,1.39706999,0.56626593,3.16475101,1.74467145,0.91704075
-5.90995498,8.93459809,0.15765938,0.19708195,1.60870865,1.37133391,0.56182411,3.11882585,1.71245834,0.90601013
-5.90395198,8.76832701,0.15785577,0.18868541,1.57312283,1.34147077,0.55651706,3.06260975,1.67504663,0.89269428
-5.89794897,8.57729128,0.15725837,0.17975883,1.53192241,1.30803008,0.55047594,2.99707500,1.63302895,0.87733907
-5.89194597,8.36449015,0.15588055,0.17044552,1.48579910,1.27155588,0.54380338,2.92322637,1.58700289,0.86017548
-5.88594297,8.13286932,0.15374783,0.16088704,1.43547810,1.23257171,0.53657052,2.84207605,1.53755742,0.84141364
-5.87993997,7.88525868,0.15089694,0.15122027,1.38170194,1.19156826,0.52881625,2.75462265,1.48526205,0.82123904
-5.87393697,7.62432639,0.14737470,0.14157499,1.32521594,1.14899431,0.52054833,2.66183488,1.43065890,0.79981103
-5.86793397,7.35255006,0.14323667,0.13207188,1.26675568,1.10525079,0.51174664,2.56463995,1.37425776,0.77726332
-5.86193097,7.07220433,0.13854567,0.12282109,1.20703652,1.06068827,0.50236803,2.46391673,1.31653381,0.75370657
-5.85592796,6.78536337,0.13337021,0.11392132,1.14674539,1.01560737,0.49235251,2.36049309,1.25792785,0.72923251
-5.84992496,6.49391595,0.12778294,0.10545931,1.08653467,0.97026197,0.48163052,2.25514703,1.19884845,0.70391931
-5.84392196,6.19959019,0.12185900,0.09750975,1.02701796,0.92486443,0.47013059,2.14861053,1.13967560,0.67783765
-5.83791896,5.90398452,0.11567458,0.09013563,0.96876742,0.87959254,0.45778707,2.04157548,1.08076521,0.65105715
-5.83191596,5.60860154,0.10930542,0.08338867,0.91231235,0.83459720,0.44454744,1.93470042,1.02245394,0.62365245
-5.82591296,5.31488111,0.10282553,0.07731002,0.85813858,0.79001055,0.43037872,1.82861744,0.96506382,0.59570876
-5.81990995,5.02422973,0.09630606,0.07193104,0.80668817,0.74595360,0.41527270,1.72393808,0.90890612,0.56732627
-5.81390695,4.73804360,0.08981424,0.06727399,0.75835922,0.70254308,0.39924969,1.62125771,0.85428408,0.53862325
-5.80790395,4.45772319,0.08341261,0.06335268,0.71350524,0.65989694,0.38236055,1.52115773,0.80149431,0.50973762
-5.80190095,4.18467828,0.07715832,0.06017302,0.67243402,0.61813830,0.36468702,1.42420521,0.75082651,0.48082686
-5.79589795,3.92032285,0.07110263,0.05773334,0.63540570,0.57739752,0.34634039,1.33094990,0.70256165,0.45206639
-5.78989495,3.66606020,0.06529058,0.05602459,0.60263018,0.53781262,0.32745849,1.24191862,0.65696853,0.42364631
-5.78389195,3.42325922,0.05976072,0.05503035,0.57426369,0.49952783,0.30820141,1.15760736,0.61429901,0.39576704
-5.77788894,3.19322350,0.05454505,0.05472668,0.55040496,0.46269080,0.28874612,1.07847147,0.57478210,0.36863376
-5.77188594,2.97715525,0.04966900,0.05508189,0.53109114,0.42744850,0.26928032,1.00491467,0.53861735,0.34245032
-5.76588294,2.77611656,0.04515155,0.05605634,0.51629372,0.39394230,0.24999586,0.93727731,0.50596786,0.31741267
-5.75987994,2.59099042,0.04100537,0.05760219,0.50591512,0.36230266,0.23108214,0.87582495,0.47695341,0.29370241
-5.75387694,2.42244406,0.03723706,0.05966330,0.49978608,0.33264373,0.21271981,0.82073771,0.45164411,0.27148064
-5.74787394,2.27089708,0.03384748,0.06217528,0.49766449,0.30505824,0.19507492,0.77210125,0.43005496,0.25088247
-5.74187094,2.13649631,0.03083203,0.06506590,0.49923584,0.27961311,0.17829403,0.72989998,0.41214179,0.23201246
-5.73586793,2.01909921,0.02818110,0.06825558,0.50411587,0.25634597,0.16250020,0.69401299,0.39779873,0.21494118
-5.72986493,1.91826692,0.02588047,0.07165844,0.51185527,0.23526284,0.14779012,0.66421311,0.38685765,0.19970297
-5.72386193,1.83326768,0.02391182,0.07518352,0.52194692,0.21633699,0.13423249,0.64016934,0.37908952,0.18629511
-5.71785893,1.76309077,0.02225318,0.07873639,0.53383534,0.19950922,0.12186741,0.62145269,0.37420790,0.17467826
-5.71185593,1.70647058,0.02087953,0.08222108,0.54692836,0.18468930,0.11070701,0.60754531,0.37187444,0.16477817
-5.70585293,1.66191993,0.01976337,0.08554218,0.56061069,0.17175867,0.10073697,0.59785283,0.37170633,0.15648856
-5.69984992,1.62777126,0.01887534,0.08860719,0.57425885,0.16057411,0.09191896,0.59171919,0.37328536,0.14967510
-5.69384692,1.60222422,0.01818479,0.09132886,0.58725720,0.15097225,0.08419366,0.58844388,0.37616844,0.14418006
-5.68784392,1.58339758,0.01766050,0.09362754,0.59901421,0.14277464,0.07748439,0.58730055,0.37989915,0.13982779
-5.68184092,1.56938338,0.01727124,0.09543341,0.60897843,0.13579324,0.07170093,0.58755662,0.38401980,0.13643042
-5.67583792,1.55830129,0.01698643,0.09668841,0.61665360,0.12983597,0.06674349,0.58849299,0.38808376,0.13379382
-5.66983492,1.54835100,0.01677675,0.09734792,0.62161207,0.12471214,0.06250672,0.58942318,0.39166746,0.13172354
-5.66383192,1.53786061,0.01661463,0.09738194,0.62350611,0.12023753,0.05888340,0.58971120,0.39438157,0.13003042
-5.65782891,1.52532932,0.01647480,0.09677582,0.62207655,0.11623904,0.05576791,0.58878744,0.39588107,0.12853583
-5.65182591,1.50946298,0.01633470,0.09553051,0.61715844,0.11255856,0.05305923,0.58616211,0.39587371,0.12707616
-5.64582291,1.48920123,0.01617480,0.09366218,0.60868347,0.10905612,0.05066347,0.58143563,0.39412666,0.12550673
-5.63981991,1.46373558,0.01597886,0.09120142,0.59667906,0.10561220,0.04849590,0.57430584,0.39047097,0.12370475
-5.63381691,1.43251816,0.01573410,0.08819194,0.58126429,0.10212916,0.04648242,0.56457164,0.38480387,0.12157134
-5.62781391,1.39526102,0.01543118,0.08468880,0.56264277,0.09853181,0.04456043,0.55213315,0.37708875,0.11903270
-5.62181091,1.35192662,0.01506424,0.08075637,0.54109299,0.09476713,0.04267930,0.53698851,0.36735297,0.11604027
-5.61580790,1.30271031,0.01463068,0.07646605,0.51695647,0.09080333,0.04080024,0.51922753,0.35568355,0.11257009
-5.60980490,1.24801584,0.01413092,0.07189378,0.49062434,0.08662821,0.03889590,0.49902261,0.34222112,0.10862129
-5.60380190,1.18842533,0.01356814,0.06711769,0.46252304,0.08224698,0.03694944,0.47661734,0.32715230,0.10421395
-5.59779890,1.12466531,0.01294783,0.06221561,0.43309952,0.07767976,0.03495354,0.45231352,0.31070099,0.09938636
-5.59179590,1.05757027,0.01227745,0.05726295,0.40280691,0.07295879,0.03290900,0.42645699,0.29311892,0.09419193
-5.58579290,0.98804549,0.01156589,0.05233073,0.37209086,0.06812550,0.03082336,0.39942305,0.27467589,0.08869575
-5.57978989,0.91703057,0.01082310,0.04748389,0.34137729,0.06322766,0.02870944,0.37160202,0.25565008,0.08297117
-5.57378689,0.84546518,0.01005959,0.04278006,0.31106179,0.05831655,0.02658383,0.34338550,0.23631884,0.07709627
-5.56778389,0.77425807,0.00928601,0.03826862,0.28150102,0.05344447,0.02446553,0.31515381,0.21695028,0.07115067
-5.56178089,0.70426038,0.00851280,0.03399017,0.25300626,0.04866246,0.02237469,0.28726506,0.19779591,0.06521250
-5.55577789,0.63624385,0.00774983,0.02997633,0.22583915,0.04401842,0.02033148,0.26004607,0.17908456,0.05935581
-5.54977489,0.57088441,0.00700614,0.02624995,0.20020959,0.03955564,0.01835517,0.23378535,0.16101768,0.05364843
-5.54377189,0.50875120,0.00628972,0.02282550,0.17627563,0.03531173,0.01646339,0.20872834,0.14376610,0.04815032
-5.53776888,0.45030081,0.00560741,0.01970980,0.15414516,0.03131794,0.01467166,0.18507457,0.12746817,0.04291238
-5.53176588,0.39587660,0.00496476,0.01690287,0.13387911,0.02759894,0.01299305,0.16297706,0.11222931,0.03797579
-5.52576288,0.34571235,0.00436607,0.01439894,0.11549588,0.02417285,0.01143806,0.14254331,0.09812269,0.03337181
-5.51975988,0.29993972,0.00381442,0.01218748,0.09897662,0.02105172,0.01001467,0.12383804,0.08519102,0.02912197
-5.51375688,0.25859874,0.00331173,0.01025437,0.08427114,0.01824217,0.00872859,0.10688707,0.07344914,0.02523863
-5.50775388,0.22165056,0.00285893,0.00858287,0.07130404,0.01574627,0.00758356,0.09168221,0.06288723,0.02172582
-5.50175088,0.18899171,0.00245611,0.00715474,0.05998091,0.01356263,0.00658186,0.07818683,0.05347446,0.01858027
-5.49574787,0.16046911,0.00210269,0.00595112,0.05019423,0.01168751,0.00572474,0.06634178,0.04516286,0.01579259
-5.48974487,0.13589534,0.00179763,0.00495337,0.04182898,0.01011608,0.00501312,0.05607137,0.03789117,0.01334856
-5.48374187,0.11506335,0.00153964,0.00414378,0.03476763,0.00884361,0.00444810,0.04728926,0.03158867,0.01123033
-5.47773887,0.09776045,0.00132739,0.00350622,0.02889454,0.00786672,0.00403163,0.03990404,0.02617866,0.00941774
-5.47173587,0.08378095,0.00115970,0.00302655,0.02409973,0.00718448,0.00376712,0.03382425,0.02158170,0.00788937
-5.46573287,0.07293747,0.00103578,0.00269303,0.02028184,0.00679948,0.00366000,0.02896290,0.01771837,0.00662364
-5.45972986,0.06507045,0.00095539,0.00249656,0.01735056,0.00671884,0.00371826,0.02524133,0.01451164,0.00559968
-5.45372686,0.06005599,0.00091903,0.00243083,0.01522830,0.00695495,0.00395293,0.02259228,0.01188883,0.00479808
-5.44772386,0.05781187,0.00092813,0.00249233,0.01385134,0.00752621,0.00437848,0.02096237,0.00978306,0.00420151
-5.44172086,0.05830173,0.00098523,0.00268037,0.01317037,0.00845745,0.00501312,0.02031378,0.00813437,0.00379515
-5.43571786,0.06153743,0.00109408,0.00299689,0.01315058,0.00978034,0.00587903,0.02062532,0.00689047,0.00356702
-5.42971486,0.06757973,0.00125986,0.00344625,0.01377130,0.01153338,0.00700240,0.02189276,0.00600716,0.00350814
-5.42371186,0.07653709,0.00148927,0.00403496,0.01502530,0.01376188,0.00841343,0.02412861,0.00544850,0.00361257
-5.41770885,0.08856297,0.00179066,0.00477128,0.01691765,0.01651750,0.01014615,0.02736124,0.00518677,0.00387739
-5.41170585,0.10385133,0.00217416,0.00566479,0.01946443,0.01985769,0.01223802,0.03163353,0.00520226,0.00430250
-5.40570285,0.12263073,0.00265175,0.00672585,0.02269101,0.02384476,0.01472946,0.03700090,0.00548290,0.00489042
-5.39969985,0.14515682,0.00323733,0.00796502,0.02663031,0.02854473,0.01766315,0.04352895,0.00602385,0.00564594
-5.39369685,0.17170355,0.00394677,0.00939245,0.03132068,0.03402586,0.02108317,0.05129063,0.00682698,0.00657578
-5.38769385,0.20255315,0.00479786,0.01101719,0.03680378,0.04035698,0.02503396,0.06036305,0.00790027,0.00768812
-5.38169085,0.23798508,0.00581028,0.01284651,0.04312232,0.04760549,0.02955912,0.07082403,0.00925729,0.00899218
-5.37568784,0.27826419,0.00700546,0.01488522,0.05031774,0.05583525,0.03470007,0.08274832,0.01091650,0.01049768
-5.36968484,0.32362842,0.00840639,0.01713503,0.05842799,0.06510421,0.04049458,0.09620387,0.01290065,0.01221436
-5.36368184,0.37427641,0.01003736,0.01959395,0.06748537,0.07546201,0.04697524,0.11124792,0.01523613,0.01415142
-5.35767884,0.43035529,0.01192351,0.02225583,0.07751455,0.08694746,0.05416780,0.12792334,0.01795233,0.01631704
-5.35167584,0.49194929,0.01409046,0.02511000,0.08853095,0.09958610,0.06208963,0.14625515,0.02108099,0.01871784
-5.34567284,0.55906946,0.01656361,0.02814113,0.10053942,0.11338788,0.07074812,0.16624755,0.02465562,0.02135840
-5.33966983,0.63164508,0.01936752,0.03132921,0.11353343,0.12834497,0.08013921,0.18788139,0.02871090,0.02424088
-5.33366683,0.70951717,0.02252507,0.03464989,0.12749484,0.14443001,0.09024614,0.21111245,0.03328227,0.02736457
-5.32766383,0.79243450,0.02605658,0.03807490,0.14239425,0.16159455,0.10103831,0.23587055,0.03840545,0.03072563
-5.32166083,0.88005255,0.02997884,0.04157290,0.15819208,0.17976811,0.11247049,0.26205954,0.04411625,0.03431685
