energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.25782087,0.03392888,0.01396244,0.00936650,0.87882227,0.57838674,0.23303164,0.50130406,0.11383482
-5.99399700,1.16431725,0.03261918,0.01222492,0.00878765,0.81369759,0.53627007,0.21897259,0.47136127,0.10342574
-5.98799400,1.07830404,0.03135300,0.01066098,0.00824094,0.75371583,0.49687420,0.20633482,0.44371992,0.09387928
-5.98199100,0.99957059,0.03013637,0.00926599,0.00772808,0.69873008,0.46015883,0.19505443,0.41833620,0.08516115
-5.97598799,0.92785446,0.02897408,0.00803390,0.00725054,0.64855778,0.42606079,0.18506316,0.39514286,0.07723215
-5.96998499,0.86285816,0.02786974,0.00695767,0.00680969,0.60299239,0.39450064,0.17629113,0.37405317,0.07005024
-5.96398199,0.80426399,0.02682566,0.00602975,0.00640683,0.56181371,0.36538831,0.16866916,0.35496435,0.06357256
-5.95797899,0.75174659,0.02584289,0.00524237,0.00604330,0.52479654,0.33862808,0.16213042,0.33776061,0.05775699
-5.95197599,0.70498334,0.02492113,0.00458800,0.00572049,0.49171782,0.31412245,0.15661178,0.32231566,0.05256354
-5.94597299,0.66366239,0.02405874,0.00405956,0.00543992,0.46236217,0.29177535,0.15205463,0.30849503,0.04795539
-5.93996998,0.62748887,0.02325278,0.00365074,0.00520321,0.43652612,0.27149449,0.14840546,0.29615816,0.04389953
-5.93396698,0.59618932,0.02249904,0.00335613,0.00501211,0.41402109,0.25319310,0.14561619,0.28516049,0.04036732
-5.92796398,0.56951459,0.02179215,0.00317135,0.00486847,0.39467545,0.23679123,0.14364427,0.27535559,0.03733458
-5.92196098,0.54724168,0.02112574,0.00309311,0.00477419,0.37833576,0.22221666,0.14245266,0.26659752,0.03478168
-5.91595798,0.52917447,0.02049262,0.00311920,0.00473118,0.36486740,0.20940552,0.14200971,0.25874326,0.03269329
-5.90995498,0.51514356,0.01988504,0.00324839,0.00474129,0.35415459,0.19830283,0.14228888,0.25165548,0.03105802
-5.90395198,0.50500538,0.01929498,0.00348026,0.00480622,0.34609992,0.18886274,0.14326834,0.24520528,0.02986803
-5.89794897,0.49864034,0.01871441,0.00381508,0.00492742,0.34062339,0.18104875,0.14493041,0.23927507,0.02911837
-5.89194597,0.49595020,0.01813560,0.00425348,0.00510598,0.33766081,0.17483359,0.14726074,0.23376122,0.02880637
-5.88594297,0.49685432,0.01755147,0.00479622,0.00534248,0.33716161,0.17019892,0.15024724,0.22857653,0.02893088
-5.87993997,0.50128501,0.01695582,0.00544382,0.00563692,0.33908583,0.16713454,0.15387879,0.22365213,0.02949141
-5.87393697,0.50918162,0.01634356,0.00619625,0.00598852,0.34340046,0.16563723,0.15814356,0.21893887,0.03048732
-5.86793397,0.52048365,0.01571098,0.00705258,0.00639564,0.35007486,0.16570901,0.16302718,0.21440793,0.03191685
-5.86193097,0.53512289,0.01505577,0.00801059,0.00685562,0.35907556,0.16735482,0.16851056,0.21005056,0.03377613
-5.85592796,0.55301479,0.01437719,0.00906650,0.00736472,0.37036033,0.17057962,0.17456767,0.20587697,0.03605825
-5.84992496,0.57404944,0.01367599,0.01021466,0.00791800,0.38387194,0.17538494,0.18116331,0.20191435,0.03875228
-5.84392196,0.59808254,0.01295440,0.01144730,0.00850931,0.39953170,0.18176503,0.18825092,0.19820405,0.04184235
-5.83791896,0.62492684,0.01221599,0.01275442,0.00913125,0.41723322,0.18970262,0.19577073,0.19479810,0.04530683
-5.83191596,0.65434477,0.01146548,0.01412363,0.00977526,0.43683677,0.19916464,0.20364835,0.19175515,0.04911766
-5.82591296,0.68604255,0.01070853,0.01554024,0.01043166,0.45816454,0.21009814,0.21179390,0.18913617,0.05323984
-5.81990995,0.71966665,0.00995155,0.01698734,0.01108983,0.48099739,0.22242644,0.22010194,0.18700001,0.05763116
-5.81390695,0.75480278,0.00920140,0.01844605,0.01173840,0.50507317,0.23604613,0.22845214,0.18539912,0.06224217
-5.80790395,0.79097811,0.00846519,0.01989584,0.01236551,0.53008730,0.25082488,0.23671095,0.18437568,0.06701653
-5.80190095,0.82766668,0.00775002,0.02131499,0.01295909,0.55569541,0.26660050,0.24473408,0.18395838,0.07189156
-5.79589795,0.86429826,0.00706281,0.02268110,0.01350720,0.58151849,0.28318133,0.25236987,0.18415995,0.07679925
-5.78989495,0.90027049,0.00641015,0.02397174,0.01399838,0.60715028,0.30034819,0.25946343,0.18497569,0.08166752
-5.78389195,0.93496401,0.00579815,0.02516507,0.01442199,0.63216700,0.31785786,0.26586140,0.18638308,0.08642177
-5.77788894,0.96776006,0.00523239,0.02624059,0.01476857,0.65613885,0.33544813,0.27141711,0.18834243,0.09098677
-5.77188594,0.99806000,0.00471786,0.02717980,0.01503019,0.67864314,0.35284431,0.27599591,0.19079863,0.09528869
-5.76588294,1.02530585,0.00425899,0.02796689,0.01520070,0.69927841,0.36976702,0.27948047,0.19368388,0.09925724
-5.75987994,1.04900100,0.00385968,0.02858937,0.01527596,0.71767890,0.38594085,0.28177574,0.19692132,0.10282797
-5.75387694,1.06873022,0.00352337,0.02903859,0.01525404,0.73352890,0.40110376,0.28281340,0.20042920,0.10594440
-5.74787394,1.08417785,0.00325310,0.02931018,0.01513528,0.74657609,0.41501662,0.28255540,0.20412558,0.10856010
-5.74187094,1.09514339,0.00305159,0.02940433,0.01492230,0.75664337,0.42747250,0.28099662,0.20793314,0.11064049
-5.73586793,1.10155361,0.00292135,0.02932598,0.01461995,0.76363846,0.43830527,0.27816636,0.21178388,0.11216436
-5.72986493,1.10347048,0.00286472,0.02908472,0.01423513,0.76756075,0.44739700,0.27412855,0.21562346,0.11312494
-5.72386193,1.10109432,0.00288391,0.02869471,0.01377657,0.76850505,0.45468380,0.26898083,0.21941477,0.11353056
-5.71785893,1.09476195,0.00298100,0.02817430,0.01325457,0.76666168,0.46015967,0.26285220,0.22314072,0.11340475
-5.71185593,1.08493953,0.00315795,0.02754554,0.01268063,0.76231304,0.46387805,0.25589967,0.22680586,0.11278582
-5.70585293,1.07221033,0.00341649,0.02683360,0.01206707,0.75582638,0.46595102,0.24830375,0.23043671,0.11172588
-5.69984992,1.05725758,0.00375807,0.02606600,0.01142669,0.74764307,0.46654592,0.24026311,0.23408085,0.11028938
-5.69384692,1.04084304,0.00418366,0.02527180,0.01077230,0.73826455,0.46587945,0.23198854,0.23780453,0.10855106
-5.68784392,1.02378185,0.00469366,0.02448075,0.01011640,0.72823550,0.46420954,0.22369650,0.24168914,0.10659362
-5.68184092,1.00691464,0.00528765,0.02372231,0.00947079,0.71812479,0.46182514,0.21560233,0.24582635,0.10450489
-5.67583792,0.99107780,0.00596422,0.02302478,0.00884627,0.70850485,0.45903441,0.20791364,0.25031244,0.10237487
-5.66983492,0.97707308,0.00672079,0.02241442,0.00825236,0.69993020,0.45615171,0.20082382,0.25524184,0.10029259
-5.66383192,0.96563759,0.00755337,0.02191457,0.00769711,0.69291618,0.45348407,0.19450608,0.26070035,0.09834292
-5.65782891,0.95741546,0.00845648,0.02154491,0.00718693,0.68791843,0.45131762,0.18910814,0.26675833,0.09660354
-5.65182591,0.95293221,0.00942296,0.02132085,0.00672654,0.68531420,0.44990468,0.18474785,0.27346423,0.09514207
-5.64582291,0.95257302,0.01044399,0.02125298,0.00631891,0.68538625,0.44945206,0.18150971,0.28083882,0.09401361
-5.63981991,0.95656569,0.01150903,0.02134672,0.00596532,0.68830995,0.45011121,0.17944256,0.28887055,0.09325862
-5.63381691,0.96496926,0.01260595,0.02160209,0.00566545,0.69414433,0.45197055,0.17855855,0.29751221,0.09290143
-5.62781391,0.97766875,0.01372117,0.02201367,0.00541753,0.70282748,0.45505060,0.17883320,0.30667930,0.09294925
-5.62181091,0.99437653,0.01483994,0.02257077,0.00521847,0.71417666,0.45930194,0.18020688,0.31625007,0.09339190
-5.61580790,1.01464030,0.01594663,0.02325765,0.00506412,0.72789314,0.46460628,0.18258744,0.32606757,0.09420216
-5.60980490,1.03785765,0.01702515,0.02405407,0.00494946,0.74357182,0.47078063,0.18585398,0.33594342,0.09533677
-5.60380190,1.06329671,0.01805944,0.02493586,0.00486888,0.76071519,0.47758431,0.18986166,0.34566339,0.09673811
-5.59779890,1.09012223,0.01903391,0.02587568,0.00481638,0.77875134,0.48472863,0.19444744,0.35499451,0.09833638
-5.59179590,1.11742608,0.01993403,0.02684392,0.00478582,0.79705512,0.49188869,0.19943644,0.36369331,0.10005234
-5.58579290,1.14426107,0.02074683,0.02780963,0.00477117,0.81497178,0.49871690,0.20464874,0.37151502,0.10180038
-5.57978989,1.16967673,0.02146138,0.02874158,0.00476668,0.83184207,0.50485752,0.20990643,0.37822309,0.10349187
-5.57378689,1.19275547,0.02206931,0.02960928,0.00476711,0.84702773,0.50996154,0.21504055,0.38359876,0.10503865
-5.56778389,1.21264781,0.02256513,0.03038401,0.00476782,0.85993630,0.51370134,0.21989770,0.38745003,0.10635652
-5.56178089,1.22860499,0.02294653,0.03103986,0.00476494,0.87004423,0.51578430,0.22434596,0.38961979,0.10736853
-5.55577789,1.24000761,0.02321455,0.03155455,0.00475543,0.87691712,0.51596493,0.22827998,0.38999253,0.10800807
-5.54977489,1.24638913,0.02337364,0.03191032,0.00473712,0.88022647,0.51405483,0.23162491,0.38849940,0.10822150
-5.54377189,1.24745307,0.02343151,0.03209449,0.00470874,0.87976188,0.50993019,0.23433899,0.38512139,0.10797029
-5.53776888,1.24308335,0.02339893,0.03209999,0.00466988,0.87543858,0.50353645,0.23641479,0.37989038,0.10723262
-5.53176588,1.23334727,0.02328935,0.03192564,0.00462092,0.86729969,0.49489003,0.23787881,0.37288815,0.10600429
-5.52576288,1.21849110,0.02311841,0.03157624,0.00456294,0.85551335,0.48407719,0.23878967,0.36424337,0.10429902
-5.51975988,1.19892870,0.02290334,0.03106246,0.00449764,0.84036492,0.47125004,0.23923481,0.35412667,0.10214813
-5.51375688,1.17522365,0.02266226,0.03040061,0.00442714,0.82224477,0.45662012,0.23932592,0.34274424,0.09959956
-5.50775388,1.14806609,0.02241352,0.02961209,0.00435390,0.80163222,0.44044985,0.23919325,0.33033010,0.09671638
-5.50175088,1.11824522,0.02217490,0.02872285,0.00428051,0.77907660,0.42304251,0.23897920,0.31713764,0.09357483
-5.49574787,1.08661915,0.02196288,0.02776258,0.00420954,0.75517645,0.40473107,0.23883132,0.30343065,0.09026202
-5.48974487,1.05408334,0.02179200,0.02676388,0.00414345,0.73055780,0.38586670,0.23889524,0.28947457,0.08687336
-5.48374187,1.02153941,0.02167425,0.02576132,0.00408435,0.70585267,0.36680737,0.23930774,0.27552807,0.08350981
-5.47773887,0.98986561,0.02161857,0.02479049,0.00403398,0.68167885,0.34790720,0.24019046,0.26183563,0.08027520
-5.47173587,0.95989041,0.02163049,0.02388699,0.00399355,0.65862189,0.32950696,0.24164437,0.24862127,0.07727350
-5.46573287,0.93237021,0.02171197,0.02308549,0.00396372,0.63721996,0.31192620,0.24374551,0.23608382,0.07460633
-5.45972986,0.90797230,0.02186131,0.02241878,0.00394452,0.61795234,0.29545718,0.24654198,0.22439374,0.07237070
-5.45372686,0.88726324,0.02207333,0.02191696,0.00393539,0.60123185,0.28036095,0.25005255,0.21369177,0.07065703
-5.44772386,0.87070337,0.02233963,0.02160663,0.00393517,0.58740132,0.26686543,0.25426676,0.20408925,0.06954748
-5.44172086,0.85864696,0.02264905,0.02151028,0.00394215,0.57673411,0.25516556,0.25914658,0.19567000,0.06911472
-5.43571786,0.85134788,0.02298821,0.02164571,0.00395419,0.56943836,0.24542524,0.26462957,0.18849366,0.06942095
-5.42971486,0.84897004,0.02334224,0.02202564,0.00396878,0.56566440,0.23778091,0.27063329,0.18260014,0.07051738
-5.42371186,0.85160161,0.02369549,0.02265745,0.00398316,0.56551484,0.23234619,0.27706074,0.17801483,0.07244401
-5.41770885,0.85927216,0.02403230,0.02354304,0.00399449,0.56905632,0.22921739,0.28380653,0.17475432,0.07522969
-5.41170585,0.87197126,0.02433781,0.02467892,0.00399993,0.57633229,0.22847928,0.29076348,0.17283212,0.07889249
-5.40570285,0.88966749,0.02459871,0.02605636,0.00399678,0.58737578,0.23021068,0.29782927,0.17226404,0.08344034
-5.39969985,0.91232657,0.02480385,0.02766179,0.00398262,0.60222136,0.23448948,0.30491280,0.17307288,0.08887178
-5.39369685,0.93992743,0.02494484,0.02947731,0.00395541,0.62091539,0.24139663,0.31193994,0.17529206,0.09517695
-5.38769385,0.97247528,0.02501645,0.03148138,0.00391357,0.64352397,0.25101872,0.31885834,0.17896790,0.10233867
-5.38169085,1.01001076,0.02501688,0.03364965,0.00385607,0.67013790,0.26344893,0.32564109,0.18416043,0.11033353
-5.37568784,1.05261462,0.02494784,0.03595585,0.00378243,0.70087431,0.27878619,0.33228903,0.19094253,0.11913308
-5.36968484,1.10040758,0.02481445,0.03837290,0.00369278,0.73587463,0.29713235,0.33883161,0.19939735,0.12870499
-5.36368184,1.15354517,0.02462500,0.04087394,0.00358785,0.77529905,0.31858750,0.34532620,0.20961416,0.13901403
-5.35767884,1.21220783,0.02439054,0.04343348,0.00346891,0.81931738,0.34324363,0.35185592,0.22168270,0.15002311
-5.35167584,1.27658655,0.02412430,0.04602848,0.00333774,0.86809686,0.37117669,0.35852610,0.23568630,0.16169397
-5.34567284,1.34686475,0.02384107,0.04863934,0.00319656,0.92178739,0.40243755,0.36545944,0.25169416,0.17398780
-5.33966983,1.42319723,0.02355642,0.05125078,0.00304795,0.98050474,0.43704228,0.37279017,0.26975302,0.18686548
-5.33366683,1.50568712,0.02328594,0.05385249,0.00289471,1.04431269,0.47496217,0.38065741,0.28987886,0.20028766
-5.32766383,1.59436205,0.02304447,0.05643961,0.00273984,1.11320485,0.51611411,0.38919798,0.31204894,0.21421441
-5.32166083,1.68915055,0.02284535,0.05901284,0.00258636,1.18708719,0.56035177,0.39853907,0.33619468,0.22860463
-5.31565783,1.78986005,0.02269975,0.06157830,0.00243725,1.26576206,0.60745834,0.40879088,0.36219594,0.24341512
-5.30965483,1.89615756,0.02261610,0.06414703,0.00229536,1.34891476,0.65714108,0.42003970,0.38987691,0.25859934
-5.30365183,2.00755403,0.02259968,0.06673420,0.00216331,1.43610330,0.70902835,0.43234170,0.41900417,0.27410602
-5.29764882,2.12339356,0.02265233,0.06935793,0.00204341,1.52675224,0.76266933,0.44571747,0.44928693,0.28987746
-5.29164582,2.24284804,0.02277232,0.07203793,0.00193764,1.62015094,0.81753677,0.46014786,0.48037986,0.30584794
-5.28564282,2.36491786,0.02295442,0.07479391,0.00184759,1.71545682,0.87303282,0.47557105,0.51188828,0.32194198
-5.27963982,2.48843924,0.02319011,0.07764381,0.00177440,1.81170367,0.92849799,0.49188109,0.54337583,0.33807293
-5.27363682,2.61209797,0.02346792,0.08060201,0.00171879,1.90781502,0.98322300,0.50892798,0.57437424,0.35414170
