energy_ev,total_up,Ga_p_up,Ga_d_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,0.67793495,0.04535011,0.00000000,0.63149846,0.17611006,0.36958317,0.00000000
-5.99399700,0.68377991,0.04520594,0.00000000,0.65098966,0.17502186,0.37633272,0.00000000
-5.98799400,0.68965182,0.04519832,0.00000000,0.67000224,0.17406738,0.38298265,0.00000000
-5.98199100,0.69570098,0.04538076,0.00000000,0.68827981,0.17336238,0.38953265,0.00000000
-5.97598799,0.70206690,0.04580662,0.00000000,0.70555402,0.17302082,0.39597729,0.00000000
-5.96998499,0.70887783,0.04652814,0.00000000,0.72155335,0.17315297,0.40230803,0.00000000
-5.96398199,0.71625162,0.04759541,0.00000000,0.73601318,0.17386378,0.40851598,0.00000000
-5.95797899,0.72429739,0.04905534,0.00000000,0.74868664,0.17525138,0.41459509,0.00000000
-5.95197599,0.73311754,0.05095061,0.00000000,0.75935560,0.17740578,0.42054531,0.00000000
-5.94597299,0.74280973,0.05331859,0.00000000,0.76784094,0.18040747,0.42637563,0.00000000
-5.93996998,0.75346818,0.05619027,0.00000000,0.77401165,0.18432607,0.43210645,0.00000000
-5.93396698,0.76518394,0.05958915,0.00000000,0.77779192,0.18921878,0.43777098,0.00000000
-5.92796398,0.77804377,0.06353015,0.00000000,0.77916586,0.19512860,0.44341561,0.00000000
-5.92196098,0.79212741,0.06801859,0.00000000,0.77817930,0.20208248,0.44909889,0.00000000
-5.91595798,0.80750322,0.07304919,0.00000000,0.77493871,0.21008921,0.45488914,0.00000000
-5.90995498,0.82422235,0.07860529,0.00000000,0.76960697,0.21913730,0.46086082,0.00000000
-5.90395198,0.84231174,0.08465823,0.00000000,0.76239638,0.22919284,0.46708967,0.00000000
-5.89794897,0.86176633,0.09116692,0.00000000,0.75355924,0.24019760,0.47364707,0.00000000
-5.89194597,0.88254128,0.09807781,0.00000000,0.74337644,0.25206753,0.48059380,0.00000000
-5.88594297,0.90454456,0.10532518,0.00000000,0.73214488,0.26469173,0.48797376,0.00000000
-5.87993997,0.92763084,0.11283180,0.00000000,0.72016426,0.27793229,0.49580799,0.00000000
-5.87393697,0.95159722,0.12051004,0.00000000,0.70772416,0.29162490,0.50408947,0.00000000
-5.86793397,0.97618128,0.12826340,0.00000000,0.69509197,0.30558061,0.51277906,0.00000000
-5.86193097,1.00106204,0.13598836,0.00000000,0.68250250,0.31958865,0.52180302,0.00000000
-5.85592796,1.02586389,0.14357669,0.00000000,0.67014954,0.33342029,0.53105217,0.00000000
-5.84992496,1.05016366,0.15091793,0.00000000,0.65818004,0.34683389,0.54038303,0.00000000
-5.84392196,1.07350062,0.15790211,0.00000000,0.64669093,0.35958078,0.54962083,0.00000000
-5.83791896,1.09538906,0.16442254,0.00000000,0.63572869,0.37141187,0.55856431,0.00000000
-5.83191596,1.11533290,0.17037858,0.00000000,0.62529156,0.38208484,0.56699213,0.00000000
-5.82591296,1.13284173,0.17567819,0.00000000,0.61533413,0.39137146,0.57467053,0.00000000
-5.81990995,1.14744740,0.18024038,0.00000000,0.60577397,0.39906478,0.58136200,0.00000000
-5.81390695,1.15872049,0.18399711,0.00000000,0.59649974,0.40498596,0.58683426,0.00000000
-5.80790395,1.16628579,0.18689491,0.00000000,0.58738034,0.40899033,0.59086944,0.00000000
-5.80190095,1.16983609,0.18889595,0.00000000,0.57827462,0.41097241,0.59327278,0.00000000
-5.79589795,1.16914370,0.18997857,0.00000000,0.56904099,0.41086974,0.59388053,0.00000000
-5.78989495,1.16406922,0.19013738,0.00000000,0.55954664,0.40866530,0.59256679,0.00000000
-5.78389195,1.15456720,0.18938271,0.00000000,0.54967583,0.40438844,0.58924886,0.00000000
-5.77788894,1.14068867,0.18773983,0.00000000,0.53933713,0.39811431,0.58389112,0.00000000
-5.77188594,1.12258052,0.18524760,0.00000000,0.52846911,0.38996183,0.57650718,0.00000000
-5.76588294,1.10048189,0.18195698,0.00000000,0.51704466,0.38009037,0.56716043,0.00000000
-5.75987994,1.07471794,0.17792923,0.00000000,0.50507366,0.36869520,0.55596295,0.00000000
-5.75387694,1.04569141,0.17323415,0.00000000,0.49260413,0.35600213,0.54307302,0.00000000
-5.74787394,1.01387235,0.16794814,0.00000000,0.47972186,0.34226133,0.52869129,0.00000000
-5.74187094,0.97978662,0.16215249,0.00000000,0.46654870,0.32774080,0.51305595,0.00000000
-5.73586793,0.94400349,0.15593167,0.00000000,0.45323962,0.31271962,0.49643700,0.00000000
-5.72986493,0.90712294,0.14937185,0.00000000,0.43997861,0.29748130,0.47912992,0.00000000
-5.72386193,0.86976278,0.14255963,0.00000000,0.42697374,0.28230726,0.46144893,0.00000000
-5.71785893,0.83254617,0.13558096,0.00000000,0.41445134,0.26747086,0.44372002,0.00000000
-5.71185593,0.79608962,0.12852024,0.00000000,0.40264959,0.25323188,0.42627382,0.00000000
