energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
0.98749375,1.20634538,0.45774105,0.04063180,0.00495513,0.25968376,0.12559777,0.51994990,0.09919251,0.24846052
0.99349675,1.24545546,0.46915589,0.04161571,0.00510889,0.26699041,0.12918320,0.53831944,0.10141805,0.26019752
0.99949975,1.28240415,0.47912889,0.04253432,0.00523658,0.27326443,0.13281504,0.55638513,0.10329145,0.27150499
1.00550275,1.31647341,0.48749474,0.04336461,0.00533599,0.27837876,0.13638725,0.57379604,0.10475845,0.28220909
1.01150575,1.34703988,0.49414657,0.04408902,0.00540575,0.28222982,0.13980197,0.59022603,0.10577531,0.29215440
1.01750875,1.37359791,0.49904330,0.04469609,0.00544536,0.28474199,0.14297243,0.60538457,0.10631075,0.30120845
1.02351176,1.39577867,0.50221474,0.04518095,0.00545525,0.28587110,0.14582546,0.61902626,0.10634756,0.30926537
1.02951476,1.41336429,0.50376386,0.04554553,0.00543671,0.28560681,0.14830367,0.63095874,0.10588373,0.31624857
1.03551776,1.42629649,0.50386628,0.04579853,0.00539194,0.28397371,0.15036701,0.64104857,0.10493299,0.32211248
1.04152076,1.43467920,0.50276679,0.04595506,0.00532389,0.28103126,0.15199397,0.64922495,0.10352486,0.32684299
1.04752376,1.43877510,0.50077285,0.04603613,0.00523622,0.27687228,0.15318204,0.65548099,0.10170406,0.33045689
1.05352676,1.43899607,0.49824548,0.04606784,0.00513312,0.27162035,0.15394772,0.65987258,0.09952941,0.33300006
1.05952976,1.43588789,0.49558766,0.04608036,0.00501917,0.26542607,0.15432583,0.66251482,0.09707220,0.33454467
1.06553277,1.43010969,0.49323068,0.04610674,0.00489918,0.25846233,0.15436825,0.66357619,0.09441411,0.33518534
1.07153577,1.42240903,0.49161896,0.04618162,0.00477798,0.25091894,0.15414209,0.66327068,0.09164473,0.33503462
1.07753877,1.41359347,0.49119393,0.04633984,0.00466027,0.24299664,0.15372733,0.66184817,0.08885880,0.33421777
1.08354177,1.40449967,0.49237745,0.04661496,0.00455041,0.23490084,0.15321398,0.65958352,0.08615331,0.33286724
1.08954477,1.39596139,0.49555550,0.04703790,0.00445231,0.22683534,0.15269883,0.65676478,0.08362440,0.33111704
1.09554777,1.38877745,0.50106271,0.04763558,0.00436920,0.21899615,0.15228194,0.65368105,0.08136438,0.32909723
1.10155078,1.38368099,0.50916834,0.04842971,0.00430360,0.21156574,0.15206290,0.65061050,0.07945878,0.32692889
1.10755378,1.38131119,0.52006414,0.04943577,0.00425717,0.20470777,0.15213712,0.64780908,0.07798358,0.32471970
1.11355678,1.38218867,0.53385474,0.05066214,0.00423071,0.19856261,0.15259205,0.64550037,0.07700277,0.32256048
1.11955978,1.38669541,0.55055078,0.05210957,0.00422407,0.19324361,0.15350378,0.64386718,0.07656619,0.32052276
1.12556278,1.39506008,0.57006516,0.05377087,0.00423624,0.18883431,0.15493385,0.64304500,0.07670782,0.31865761
1.13156578,1.40734943,0.59221260,0.05563084,0.00426535,0.18538662,0.15692669,0.64311790,0.07744446,0.31699575
1.13756878,1.42346605,0.61671252,0.05766664,0.00430879,0.18292002,0.15950752,0.64411686,0.07877492,0.31554896
1.14357179,1.44315265,0.64319528,0.05984831,0.00436330,0.18142166,0.16268114,0.64602068,0.08067976,0.31431276
1.14957479,1.46600283,0.67121159,0.06213963,0.00442510,0.18084757,0.16643131,0.64875947,0.08312151,0.31327020
1.15557779,1.49147784,0.70024482,0.06449923,0.00449006,0.18112461,0.17072118,0.65222049,0.08604540,0.31239659
1.16158079,1.51892881,0.72972575,0.06688189,0.00455387,0.18215338,0.17549440,0.65625613,0.08938071,0.31166496
1.16758379,1.54762355,0.75904958,0.06924006,0.00461218,0.18381181,0.18067720,0.66069364,0.09304246,0.31105188
1.17358679,1.57677688,0.78759419,0.07152535,0.00466080,0.18595932,0.18618110,0.66534617,0.09693373,0.31054337
1.17958979,1.60558333,0.81473951,0.07369031,0.00469582,0.18844159,0.19190643,0.67002449,0.10094824,0.31014057
1.18559280,1.63325072,0.83988691,0.07568992,0.00471377,0.19109555,0.19774624,0.67454907,0.10497332,0.30986477
1.19159580,1.65903343,0.86247827,0.07748325,0.00471174,0.19375465,0.20359060,0.67876159,0.10889314,0.30976154
1.19759880,1.68226371,0.88201375,0.07903483,0.00468748,0.19625408,0.20933113,0.68253563,0.11259207,0.30990362
1.20360180,1.70237989,0.89806780,0.08031587,0.00463945,0.19843596,0.21486530,0.68578568,0.11595808,0.31039236
1.20960480,1.71895001,0.91030273,0.08130522,0.00456688,0.20015414,0.22010065,0.68847430,0.11888606,0.31135750
1.21560780,1.73168995,0.91847929,0.08199009,0.00446976,0.20127858,0.22495835,0.69061671,0.12128100,0.31295522
1.22161081,1.74047505,0.92246400,0.08236634,0.00434883,0.20169917,0.22937617,0.69228277,0.12306075,0.31536444
1.22761381,1.74534479,0.92223272,0.08243858,0.00420552,0.20132876,0.23331063,0.69359599,0.12415855,0.31878137
1.23361681,1.74650007,0.91787062,0.08221975,0.00404193,0.20010545,0.23673811,0.69472968,0.12452484,0.32341259
1.23961981,1.74429333,0.90956837,0.08173055,0.00386069,0.19799393,0.23965502,0.69590019,0.12412872,0.32946678
1.24562281,1.73921173,0.89761481,0.08099848,0.00366489,0.19498597,0.24207688,0.69735761,0.12295857,0.33714551
1.25162581,1.73185432,0.88238654,0.08005660,0.00345799,0.19109990,0.24403648,0.69937434,0.12102219,0.34663342
1.25762881,1.72290411,0.86433473,0.07894216,0.00324368,0.18637931,0.24558106,0.70223187,0.11834621,0.35808829
1.26363182,1.71309644,0.84396992,0.07769507,0.00302581,0.18089090,0.24676890,0.70620655,0.11497491,0.37163139
1.26963482,1.70318520,0.82184541,0.07635625,0.00280829,0.17472161,0.24766525,0.71155504,0.11096849,0.38733871
1.27563782,1.69390847,0.79853994,0.07496611,0.00259497,0.16797526,0.24833806,0.71850007,0.10640087,0.40523345
1.28164082,1.68595543,0.77464048,0.07356299,0.00238963,0.16076870,0.24885371,0.72721733,0.10135714,0.42528026
1.28764382,1.67993607,0.75072572,0.07218182,0.00219586,0.15322784,0.24927285,0.73782425,0.09593073,0.44738162
1.29364682,1.67635536,0.72735104,0.07085302,0.00201707,0.14548348,0.24964679,0.75037120,0.09022047,0.47137665
1.29964982,1.67559308,0.70503535,0.06960155,0.00185642,0.13766733,0.25001456,0.76483576,0.08432761,0.49704250
1.30565283,1.67789025,0.68425026,0.06844639,0.00171684,0.12990824,0.25040082,0.78112038,0.07835301,0.52409852
1.31165583,1.68334299,0.66541183,0.06740025,0.00160099,0.12232883,0.25081466,0.79905362,0.07239441,0.55221301
1.31765883,1.69190373,0.64887493,0.06646964,0.00151130,0.11504255,0.25124952,0.81839514,0.06654413,0.58101246
1.32366183,1.70338976,0.63493023,0.06565518,0.00144992,0.10815132,0.25168401,0.83884399,0.06088696,0.61009288
1.32966483,1.71749832,0.62380349,0.06495224,0.00141878,0.10174371,0.25208370,0.86005008,0.05549860,0.63903283
1.33566783,1.73382731,0.61565680,0.06435176,0.00141954,0.09589373,0.25240369,0.88162814,0.05044437,0.66740744
1.34167084,1.75190014,0.61059146,0.06384125,0.00145362,0.09066016,0.25259169,0.90317340,0.04577840,0.69480301
1.34767384,1.77119323,0.60865181,0.06340583,0.00152215,0.08608636,0.25259159,0.92427828,0.04154321,0.72083125
1.35367684,1.79116432,0.60982960,0.06302938,0.00162597,0.08220053,0.25234709,0.94454906,0.03776961,0.74514259
1.35967984,1.81127994,0.61406845,0.06269558,0.00176556,0.07901630,0.25180517,0.96362166,0.03447693,0.76743780
1.36568284,1.83104026,0.62126786,0.06238888,0.00194104,0.07653357,0.25091932,0.98117568,0.03167348,0.78747747
1.37168584,1.84999997,0.63128659,0.06209528,0.00215205,0.07473959,0.24965214,0.99694584,0.02935729,0.80508859
1.37768884,1.86778394,0.64394507,0.06180296,0.00239776,0.07361005,0.24797732,1.01073027,0.02751693,0.82016811
1.38369185,1.88409688,0.65902699,0.06150266,0.00267674,0.07311026,0.24588075,1.02239518,0.02613244,0.83268322
1.38969485,1.89872669,0.67628003,0.06118783,0.00298695,0.07319632,0.24336086,1.03187570,0.02517640,0.84266829
1.39569785,1.91154157,0.69541594,0.06085455,0.00332570,0.07381627,0.24042815,1.03917290,0.02461496,0.85021872
1.40170085,1.92248129,0.71611057,0.06050129,0.00368956,0.07491114,0.23710396,1.04434725,0.02440893,0.85548206
1.40770385,1.93154379,0.73800392,0.06012847,0.00407442,0.07641607,0.23341869,1.04750909,0.02451486,0.85864691
1.41370685,1.93876806,0.76070104,0.05973789,0.00447543,0.07826133,0.22940954,1.04880665,0.02488606,0.85993027
1.41970985,1.94421506,0.78377404,0.05933214,0.00488709,0.08037339,0.22511806,1.04841250,0.02547370,0.85956405
1.42571286,1.94794796,0.80676562,0.05891399,0.00530332,0.08267603,0.22058767,1.04650940,0.02622779,0.85778154
1.43171586,1.95001370,0.82919467,0.05848578,0.00571753,0.08509155,0.21586132,1.04327633,0.02709820,0.85480467
