energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.42232031,3.06961615,1.54022298,0.03050793,1.51975813,0.14286827,3.44144415,1.64369489,0.82798358
-5.99399700,7.32201691,3.01670204,1.52100282,0.03002065,1.49938254,0.14162632,3.40312717,1.64782011,0.80842779
-5.98799400,7.21259228,2.96195393,1.49857256,0.02947013,1.47905201,0.14021544,3.35816284,1.64945324,0.78715770
-5.98199100,7.09485745,2.90541457,1.47293071,0.02885145,1.45868846,0.13866910,3.30716803,1.64867748,0.76458971
-5.97598799,6.96989907,2.84724287,1.44417487,0.02816197,1.43826530,0.13701994,3.25089188,1.64567566,0.74115364
-5.96998499,6.83903440,2.78770586,1.41249757,0.02740153,1.41780712,0.13529861,3.19018549,1.64071662,0.71727870
-5.96398199,6.70375605,2.72716486,1.37817804,0.02657238,1.39738606,0.13353269,3.12596850,1.63413785,0.69337974
-5.95797899,6.56566952,2.66605687,1.34157054,0.02567909,1.37711531,0.13174593,3.05919412,1.62632544,0.66984442
-5.95197599,6.42642732,2.60487270,1.30308975,0.02472830,1.35714036,0.12995768,2.99081453,1.61769236,0.64702179
-5.94597299,6.28766296,2.54413321,1.26319442,0.02372845,1.33762860,0.12818253,2.92174824,1.60865649,0.62521274
-5.93996998,6.15092854,2.48436523,1.22236969,0.02268939,1.31875801,0.12643036,2.85285083,1.59961935,0.60466264
-5.93396698,6.01763890,2.42607847,1.18110943,0.02162202,1.30070578,0.12470651,2.78489053,1.59094684,0.58555650
-5.92796398,5.88902489,2.36974474,1.13989914,0.02053782,1.28363726,0.12301230,2.71852945,1.58295275,0.56801659
-5.92196098,5.76609794,2.31578038,1.09920022,0.01944848,1.26769617,0.12134570,2.65431108,1.57588601,0.55210275
-5.91595798,5.64962679,2.26453259,1.05943634,0.01836549,1.25299630,0.11970218,2.59265447,1.56992192,0.53781512
-5.90995498,5.54012729,2.21627013,1.02098226,0.01729979,1.23961512,0.11807567,2.53385468,1.56515778,0.52509907
-5.90395198,5.43786452,2.17117837,0.98415547,0.01626148,1.22758959,0.11645959,2.47808929,1.56161291,0.51385212
-5.89794897,5.34286664,2.12935863,0.94921075,0.01525958,1.21691420,0.11484782,2.42542997,1.55923263,0.50393239
-5.89194597,5.25494867,2.09083137,0.91633764,0.01430185,1.20754114,0.11323569,2.37585813,1.55789578,0.49516813
-5.88594297,5.17374424,2.05554270,0.88566074,0.01339468,1.19938260,0.11162073,2.32928342,1.55742522,0.48736793
-5.87993997,5.09874299,2.02337341,0.85724244,0.01254305,1.19231484,0.11000339,2.28556369,1.55760020,0.48033106
-5.87393697,5.02933103,1.99414992,0.83108781,0.01175052,1.18618380,0.10838738,2.24452503,1.55816995,0.47385746
-5.86793397,4.96483210,1.96765634,0.80715125,0.01101930,1.18081184,0.10677994,2.20598074,1.55886745,0.46775706
-5.86193097,4.90454688,1.94364684,0.78534429,0.01035031,1.17600536,0.10519174,2.16974783,1.55942259,0.46185793
-5.85592796,4.84778853,1.92185782,0.76554425,0.00974337,1.17156275,0.10363658,2.13566028,1.55957385,0.45601295
-5.84992496,4.79391264,1.90201923,0.74760323,0.00919724,1.16728247,0.10213082,2.10357836,1.55907796,0.45010482
-5.84392196,4.74234042,1.88386466,0.73135698,0.00870985,1.16297077,0.10069262,2.07339350,1.55771712,0.44404928
-5.83791896,4.69257423,1.86713981,0.71663332,0.00827841,1.15844879,0.09934099,2.04502876,1.55530342,0.43779632
-5.83191596,4.64420531,1.85160926,0.70325981,0.00789954,1.15355878,0.09809469,2.01843508,1.55168061,0.43132968
-5.82591296,4.59691399,1.83706127,0.69107029,0.00756943,1.14816913,0.09697112,1.99358375,1.54672317,0.42466445
-5.81990995,4.55046281,1.82331075,0.67991030,0.00728397,1.14217806,0.09598513,1.97045605,1.54033330,0.41784326
-5.81390695,4.50468394,1.81020036,0.66964115,0.00703880,1.13551581,0.09514793,1.94903080,1.53243603,0.41093111
-5.80790395,4.45946207,1.79759998,0.66014251,0.00682946,1.12814530,0.09446608,1.92927103,1.52297331,0.40400930
-5.80190095,4.41471429,1.78540457,0.65131374,0.00665143,1.12006118,0.09394066,1.91111088,1.51189760,0.39716872
-5.79589795,4.37036889,1.77353093,0.64307385,0.00650020,1.11128742,0.09356672,1.89444385,1.49916558,0.39050297
-5.78989495,4.32634443,1.76191327,0.63536031,0.00637134,1.10187346,0.09333289,1.87911333,1.48473277,0.38410155
-5.78389195,4.28253090,1.75049825,0.62812686,0.00626052,1.09188924,0.09322138,1.86490645,1.46854937,0.37804365
-5.77788894,4.23877430,1.73923946,0.62134052,0.00616356,1.08141922,0.09320821,1.85155170,1.45055790,0.37239265
-5.77188594,4.19486571,1.72809196,0.61497808,0.00607649,1.07055585,0.09326381,1.83872082,1.43069278,0.36719177
-5.76588294,4.15053572,1.71700695,0.60902223,0.00599556,1.05939272,0.09335385,1.82603514,1.40888202,0.36246101
-5.75987994,4.10545477,1.70592707,0.60345770,0.00591729,1.04801784,0.09344038,1.81307602,1.38505086,0.35819541
-5.75387694,4.05923932,1.69478248,0.59826758,0.00583848,1.03650731,0.09348312,1.79939912,1.35912717,0.35436489
-5.74787394,4.01146373,1.68348808,0.59343010,0.00575628,1.02491990,0.09344097,1.78455171,1.33104825,0.35091543
-5.74187094,3.96167720,1.67194200,0.58891596,0.00566820,1.01329272,0.09327354,1.76809229,1.30076850,0.34777169
-5.73586793,3.90942480,1.66002558,0.58468655,0.00557215,1.00163829,0.09294279,1.74961120,1.26826745,0.34484067
-5.72986493,3.85427150,1.64760480,0.58069297,0.00546642,0.98994315,0.09241452,1.72875150,1.23355761,0.34201650
-5.72386193,3.79582779,1.63453332,0.57687599,0.00534978,0.97816828,0.09165979,1.70522864,1.19669146,0.33918581
-5.71785893,3.73377551,1.62065696,0.57316702,0.00522141,0.96625100,0.09065614,1.67884802,1.15776716,0.33623354
-5.71185593,3.66789238,1.60581941,0.56948985,0.00508095,0.95410866,0.08938859,1.64951943,1.11693252,0.33304887
-5.70585293,3.59807389,1.58986904,0.56576319,0.00492849,0.94164362,0.08785026,1.61726754,1.07438689,0.32953099
-5.69984992,3.52435124,1.57266645,0.56190385,0.00476453,0.92874937,0.08604277,1.58223783,1.03038075,0.32559434
-5.69384692,3.44690425,1.55409247,0.55783029,0.00459000,0.91531754,0.08397625,1.54469758,0.98521299,0.32117316
-5.68784392,3.36606857,1.53405606,0.55346643,0.00440619,0.90124530,0.08166899,1.50503182,0.93922583,0.31622516
-5.68184092,3.28233655,1.51250202,0.54874544,0.00421475,0.88644280,0.07914680,1.46373437,0.89279774,0.31073402
-5.67583792,3.19635163,1.48941778,0.54361343,0.00401764,0.87084027,0.07644206,1.42139423,0.84633450,0.30471084
-5.66983492,3.10889646,1.46483928,0.53803260,0.00381708,0.85439444,0.07359253,1.37867813,0.80025887,0.29819432
-5.66383192,3.02087514,1.43885537,0.53198408,0.00361554,0.83709383,0.07063993,1.33630973,0.75499935,0.29124973
-5.65782891,2.93329033,1.41161067,0.52546990,0.00341567,0.81896289,0.06762841,1.29504655,0.71097842,0.28396689
-5.65182591,2.84721624,1.38330673,0.51851445,0.00322028,0.80006450,0.06460297,1.25565563,0.66860092,0.27645709
-5.64582291,2.76376871,1.35420143,0.51116503,0.00303232,0.78050104,0.06160785,1.21888875,0.62824286,0.26884924
-5.63981991,2.68407355,1.32460663,0.50349173,0.00285481,0.76041378,0.05868497,1.18545849,0.59024133,0.26128546
-5.63381691,2.60923466,1.29488429,0.49558661,0.00269089,0.73998086,0.05587261,1.15601586,0.55488570,0.25391617
-5.62781391,2.54030314,1.26544115,0.48756226,0.00254373,0.71941385,0.05320411,1.13113046,0.52241058,0.24689511
-5.62181091,2.47824870,1.23672226,0.47954977,0.00241657,0.69895318,0.05070693,1.11127388,0.49299072,0.24037433
-5.61580790,2.42393448,1.20920361,0.47169640,0.00231266,0.67886272,0.04840197,1.09680679,0.46673793,0.23449939
-5.60980490,2.37809616,1.18338419,0.46416279,0.00223529,0.65942371,0.04630306,1.08797021,0.44370024,0.22940498
-5.60380190,2.34132605,1.15977769,0.45712005,0.00218777,0.64092831,0.04441691,1.08488104,0.42386311,0.22521102
-5.59779890,2.31406256,1.13890405,0.45074665,0.00217339,0.62367312,0.04274323,1.08753183,0.40715269,0.22201939
-5.59179590,2.29658515,1.12128115,0.44522521,0.00219542,0.60795283,0.04127516,1.09579463,0.39344088,0.21991135
-5.58579290,2.28901463,1.10741662,0.44073923,0.00225707,0.59405413,0.03999994,1.10942850,0.38255190,0.21894562
