energy_ev,total_up,As_p_up,As_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.87214803,0.86869374,0.00000000,2.31550657,3.69703816,0.06612651,3.60013177
-5.99399700,7.77869574,0.83540038,0.00000000,2.28270944,3.66308755,0.06477504,3.57866418
-5.98799400,7.68893589,0.80418912,0.00000000,2.25134542,3.63068176,0.06355547,3.55718615
-5.98199100,7.60367414,0.77521348,0.00000000,2.22180540,3.60009362,0.06249899,3.53610032
-5.97598799,7.52376160,0.74860017,0.00000000,2.19446373,3.57162487,0.06163702,3.51585621
-5.96998499,7.45007714,0.72444825,0.00000000,2.16966991,3.54559914,0.06100055,3.49693713
-5.96398199,7.38350595,0.70282843,0.00000000,2.14774073,3.52235269,0.06061948,3.47984521
-5.95797899,7.32491512,0.68378281,0.00000000,2.12895300,3.50222317,0.06052191,3.46508488
-5.95197599,7.27512713,0.66732481,0.00000000,2.11353710,3.48553704,0.06073329,3.45314565
-5.94597299,7.23489192,0.65343962,0.00000000,2.10167175,3.47259601,0.06127559,3.44448455
-5.93996998,7.20485872,0.64208506,0.00000000,2.09347976,3.46366305,0.06216643,3.43950909
-5.93396698,7.18554850,0.63319288,0.00000000,2.08902523,3.45894864,0.06341817,3.43856105
-5.92796398,7.17732796,0.62667051,0.00000000,2.08831199,3.45859764,0.06503708,3.44190197
-5.92196098,7.18038600,0.62240331,0.00000000,2.09128331,3.46267751,0.06702255,3.44970045
-5.91595798,7.19471333,0.62025706,0.00000000,2.09782286,3.47116809,0.06936641,3.46202181
-5.90995498,7.22008621,0.62008081,0.00000000,2.10775675,3.48395357,0.07205242,3.47882048
-5.90395198,7.25605462,0.62170993,0.00000000,2.12085646,3.50081680,0.07505591,3.49993495
-5.89794897,7.30193556,0.62496921,0.00000000,2.13684260,3.52143628,0.07834367,3.52508581
-5.89194597,7.35681178,0.62967596,0.00000000,2.15538926,3.54538595,0.08187408,3.55387654
-5.88594297,7.41953630,0.63564297,0.00000000,2.17612880,3.57213784,0.08559754,3.58579722
-5.87993997,7.48874265,0.64268131,0.00000000,2.19865692,3.60106771,0.08945714,3.62023093
-5.87393697,7.56286120,0.65060278,0.00000000,2.22253800,3.63146344,0.09338966,3.65646277
-5.86793397,7.64014111,0.65922213,0.00000000,2.24731051,3.66253612,0.09732684,3.69369122
-5.86193097,7.71867799,0.66835890,0.00000000,2.27249260,3.69343377,0.10119685,3.73104181
-5.85592796,7.79644664,0.67783890,0.00000000,2.29758784,3.72325715,0.10492604,3.76758269
-5.84992496,7.87133863,0.68749543,0.00000000,2.32209106,3.75107763,0.10844077,3.80234196
-5.84392196,7.94120387,0.69717023,0.00000000,2.34549460,3.77595663,0.11166944,3.83432657
-5.83791896,8.00389557,0.70671422,0.00000000,2.36729476,3.79696626,0.11454441,3.86254234
-5.83191596,8.05731754,0.71598808,0.00000000,2.38699882,3.81321068,0.11700402,3.88601505
-5.82591296,8.09947298,0.72486276,0.00000000,2.40413241,3.82384775,0.11899441,3.90381202
-5.81990995,8.12851345,0.73321998,0.00000000,2.41824741,3.82811050,0.12047116,3.91506405
-5.81390695,8.14278700,0.74095263,0.00000000,2.42893032,3.82532784,0.12140071,3.91898710
-5.80790395,8.14088401,0.74796529,0.00000000,2.43581090,3.81494399,0.12176150,3.91490348
-5.80190095,8.12167959,0.75417476,0.00000000,2.43857107,3.79653620,0.12154470,3.90226187
-5.79589795,8.08437128,0.75951054,0.00000000,2.43695366,3.76983018,0.12075461,3.88065579
-5.78989495,8.02851059,0.76391536,0.00000000,2.43077087,3.73471276,0.11940870,3.84983990
