energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,9.76726035,0.02316559,0.69021263,2.11438337,5.68060148,0.36125861,3.64835714,0.00000000
-5.99399700,9.72285753,0.02310995,0.69374964,2.08181437,5.67828746,0.35897307,3.61900217,0.00000000
-5.98799400,9.65140685,0.02297210,0.69611975,2.04431735,5.66074430,0.35588581,3.57792247,0.00000000
-5.98199100,9.55472807,0.02275796,0.69734785,2.00220443,5.62898248,0.35206939,3.52585304,0.00000000
-5.97598799,9.43499127,0.02247517,0.69745767,1.95587892,5.58422040,0.34760239,3.46369572,0.00000000
-5.96998499,9.29468187,0.02213300,0.69647010,1.90582965,5.52786585,0.34256872,3.39250530,0.00000000
-5.96398199,9.13655738,0.02174226,0.69440186,1.85262255,5.46149197,0.33705672,3.31347177,0.00000000
-5.95797899,8.96359622,0.02131502,0.69126471,1.79688964,5.38680769,0.33115818,3.22789883,0.00000000
-5.95197599,8.77893953,0.02086447,0.68706521,1.73931558,5.30562325,0.32496719,3.13717897,0.00000000
-5.94597299,8.58582688,0.02040450,0.68180501,1.68062232,5.21981119,0.31857878,3.04276550,0.00000000
-5.93996998,8.38752762,0.01994943,0.67548189,1.62155211,5.13126405,0.31208748,2.94614228,0.00000000
-5.93396698,8.18726941,0.01951358,0.66809120,1.56284944,5.04184961,0.30558565,2.84879176,0.00000000
-5.92796398,7.98816619,0.01911085,0.65962786,1.50524244,4.95336522,0.29916183,2.75216233,0.00000000
-5.92196098,7.79314758,0.01875429,0.65008882,1.44942436,4.86749259,0.29289889,2.65763598,0.00000000
-5.91595798,7.60489230,0.01845571,0.63947559,1.39603571,4.78575476,0.28687230,2.56649734,0.00000000
-5.90995498,7.42576777,0.01822527,0.62779703,1.34564777,4.70947663,0.28114834,2.47990523,0.00000000
-5.90395198,7.25777813,0.01807112,0.61507193,1.29874794,4.63975079,0.27578254,2.39886785,0.00000000
-5.89794897,7.10252286,0.01799912,0.60133139,1.25572753,4.57741011,0.27081816,2.32422246,0.00000000
-5.89194597,6.96116761,0.01801266,0.58662073,1.21687260,4.52300807,0.26628499,2.25662068,0.00000000
-5.88594297,6.83442869,0.01811251,0.57100089,1.18235789,4.47680827,0.26219848,2.19651977,0.00000000
-5.87993997,6.72257209,0.01829680,0.55454909,1.15224449,4.43878337,0.25855912,2.14418060,0.00000000
-5.87393697,6.62542736,0.01856116,0.53735881,1.12648109,4.40862428,0.25535235,2.09967226,0.00000000
-5.86793397,6.54241631,0.01889887,0.51953896,1.10490891,4.38575922,0.25254888,2.06288341,0.00000000
-5.86193097,6.47259562,0.01930121,0.50121238,1.08727020,4.36938254,0.25010548,2.03353972,0.00000000
-5.85592796,6.41471203,0.01975784,0.48251360,1.07321995,4.35849222,0.24796630,2.01122684,0.00000000
-5.84992496,6.36726822,0.02025728,0.46358618,1.06234044,4.35193506,0.24606472,1.99541795,0.00000000
-5.84392196,6.32859686,0.02078753,0.44457949,1.05415798,4.34845781,0.24432560,1.98550450,0.00000000
